State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2025-06-29
Average Price,Average Price,41.68,,31.09,36.86,84.45,119.47,114.93,109.55,87.05,45.74,58.63,187.05,173.15,154.93,147.1,160.06,131.42,54.99,264.39,21.57,24.94,26.43,35.31,37.38,42.43,40.64,54.1,44.59,95.69,651.55,58.61,76.55,37.56,86.32,36.58,41.88,27.72,16.04,48.25,,,2025-06-29
Maximum Price,Maximum Price,61,,53,68,120,180,157,148,110,60,82,254,242,231,187,231,182,150,600,32,50,83,120,60,65,63,103,100,160,883,75,120,115,120,100,90,68,42,100,,,2025-06-29
Minimum Price,Minimum Price,27,,25,29,70,95,84,82,75,39,40,151,135,103,119,122,88,35,152,10,11,11,15,23,26,31,32,32,63,495,52,45,16,62,22,24,13,10,25,,,2025-06-29
Modal Price,Modal Price,40,,28,35,80.5,120,115,110,90,45,55,198,176,145,143,159,132,52.5,240,20,20,25,40,35,40,35,52,40,90,714,60,72,40,85,30,40,30,15,50,,,2025-06-29
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-06-29
Chandigarh,Chandigarh,42,,33,39,86,125,116,111,88,46,59,211,189,169,163,176,147,55,270,28,24,29,45,37,43,41,54,46,96,714,58,77,38,87,37,45,28,16,49,,,2025-06-29
Delhi,Delhi,39,,33,35,87,130,122,119,88,45,57,203,181,170,159,174,148,60,257,27,22,32,48,29,38,41,53,43,105,540,58,73,42,88,35,37,30,16,40,,,2025-06-29
Haryana,Hisar,40,,28,33,85,133,112,109,80,45,61,212,164,158,158,177,136,49,243,28,20,22,30,26,37,39,59,40,91,624,60,76,40,81,43,39,35,15,60,,,2025-06-29
Haryana,Karnal,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Haryana,Panchkula,40,,30,41,87,135,122,116,93,47,63,196,156,129,130,136,100,54,211,27,27,40,30,26,38,32,55,40,85,607,54,70,30,80,35,40,35,20,51,,,2025-06-29
Haryana,Gurgaon,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Himachal Pradesh,Shimla,42,,NR,35,83,130,138,115,84,48,60,220,192,170,154,NR,NR,52,230,30,30,30,40,38,NR,39,NR,40,108,666,58,66,40,85,38,42,26,17,52,,,2025-06-29
Himachal Pradesh,Mandi,38,,NR,34,81,120,130,109,82,48,50,222,191,168,152,169,NR,48,270,30,24,30,30,36,NR,35,NR,35,100,676,60,72,30,87,43,43,28,16,57,,,2025-06-29
Himachal Pradesh,Dharamshala,32,,NR,29,84,130,128,119,89,47,40,NR,192,175,170,NR,NR,51,230,28,20,30,30,32,NR,34,55,40,93,590,59,70,30,97,49,42,34,15,60,,,2025-06-29
Himachal Pradesh,Solan,36,,NR,33,79,119,125,108,81,47,57,203,191,172,148,176,NR,52,230,30,22,27,30,33,35,36,NR,37,100,611,60,80,37,87,42,37,33,19,53,,,2025-06-29
Himachal Pradesh,Una,43,,NR,30,81,117,109,101,86,46,69,NR,166,163,137,NR,NR,55,232,29,21,29,37,34,NR,34,NR,33,92,677,59,85,25,97,53,36,29,15,48,,,2025-06-29
Himachal Pradesh,Bilaspur-hp,35,,NR,34,82,120,124,113,85,47,64,NR,166,170,142,NR,NR,47,235,29,28,30,40,30,NR,35,58,35,84,692,60,84,33,86,32,32,29,12,49,,,2025-06-29
Himachal Pradesh,Chamba,36,,NR,35,81,128,120,110,84,50,55,NR,188,179,159,NR,NR,52,240,29,25,30,49,42,59,38,70,37,90,651,58,84,26,67,48,45,40,20,60,,,2025-06-29
Himachal Pradesh,Hamirpur-HP,40,,NR,33,78,119,116,109,81,47,67,NR,190,169,146,NR,NR,52,265,30,23,30,37,37,45,35,NR,35,88,495,60,75,32,85,39,37,30,15,52,,,2025-06-29
Himachal Pradesh,Kullu,40,,NR,34,83,123,117,111,87,50,40,NR,191,177,138,139,NR,46,257,30,30,30,43,NR,NR,35,NR,35,118,703,60,80,43,90,35,34,25,15,63,,,2025-06-29
Himachal Pradesh,Sirmour,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Himachal Pradesh,Kinnaur,38,,NR,38,80,119,110,111,88,49,50,NR,205,175,148,NR,NR,48,290,29,30,33,47,NR,NR,40,NR,42,87,559,58,90,50,81,47,38,37,14,57,,,2025-06-29
Himachal Pradesh,Lahaul & Spiti,45,,NR,45,96,156,128,126,98,54,52,NR,197,175,NR,NR,NR,54,480,28,39,45,48,NR,NR,36,NR,36,80,600,55,73,59,85,27,33,26,15,69,,,2025-06-29
Jammu and Kashmir,Srinagar,44,,40,46,90,170,145,115,100,55,50,NR,198,152,154,176,NR,52,300,28,30,35,45,NR,NR,46,NR,44,120,670,60,60,40,88,45,74,38,16,90,,,2025-06-29
Jammu and Kashmir,Jammu,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Poonch,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Kupwara,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Udhampur,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Shopian,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Samba,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Ramban,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Rajouri,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Kishtwar,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
Jammu and Kashmir,Doda,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-06-29
