State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-06-23
Average Price,Average Price,44.87,,31,36.28,87.73,164.73,127.03,118.83,94.2,44.41,58.55,186.92,138.63,124.48,120.44,121.96,99.68,52.35,270.82,22.8,32.2,37.97,47.65,,,,,,,,,,,,,,,,,,,2024-06-23
Maximum Price,Maximum Price,70,,52,65,140,197,176,165,148,60,80,253,235,220,175,210,168,100,559,30,63,70,100,,,,,,,,,,,,,,,,,,,2024-06-23
Minimum Price,Minimum Price,25,,22,28,60,87,85,90,72,38,39,118,106,91,99,104,82,36,160,9,12,16,16,,,,,,,,,,,,,,,,,,,2024-06-23
Modal Price,Modal Price,40,,26,33.5,90,167.5,120,120,90,44,60,200,130,122.5,120,125,98,50,260,28,30,40,40,,,,,,,,,,,,,,,,,,,2024-06-23
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-23
Chandigarh,Chandigarh,40,,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,38,35,,,,,,,,,,,,,,,,,,,2024-06-23
Delhi,Delhi,40,,29,32,100,180,150,130,90,45,56,212,151,132,129,143,104,60,245,26,30,50,35,,,,,,,,,,,,,,,,,,,2024-06-23
Haryana,Hisar,32,,27,28,77,160,110,112,75,44,57,186,129,110,116,124,92,49,242,25,22,25,22,,,,,,,,,,,,,,,,,,,2024-06-23
Haryana,Karnal,48,,30,32,88,170,121,113,88,49,67,190,121,115,106,115,95,50,258,25,30,40,30,,,,,,,,,,,,,,,,,,,2024-06-23
Haryana,Panchkula,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-06-23
Haryana,Gurgaon,40,,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,15,25,20,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Shimla,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Mandi,43,,NR,34,92,182,144,125,90,46,47,227,167,132,126,145,115,48,270,28,30,43,28,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Dharamshala,28,,NR,30,86,165,131,125,85,45,40,NR,165,137,138,NR,NR,49,220,28,25,30,30,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Solan,40,,NR,32,88,169,137,116,84,46,50,214,163,130,119,137,NR,51,220,28,35,43,33,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Una,43,,NR,31,95,183,144,117,91,43,64,NR,141,129,129,NR,NR,49,228,27,31,44,31,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Bilaspur-hp,44,,NR,31,92,167,135,119,89,46,60,NR,165,132,139,NR,NR,49,323,27,30,40,28,,,,,,,,,,,,,,,,,,,2024-06-23
Himachal Pradesh,Chamba,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-06-23
