State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-04-12
Average Price,Average Price,44.49,,30.62,35.97,83.68,149.86,123.89,117.38,93.28,44.37,58.56,191.19,136.14,125.98,124.28,124.15,102.52,52.76,281.43,22.53,26.11,31.91,32.77,,,,,,,,,,,,,,,,,,,2024-04-12
Maximum Price,Maximum Price,72,,62,69,140,203,180,170,158,70,83,262,235,220,185,230,175,167,560,33,60,73,97,,,,,,,,,,,,,,,,,,,2024-04-12
Minimum Price,Minimum Price,25,,22,25,60,87,80,85,70,37,37,115,108,90,98,101,83,36,157,9,10,14,11,,,,,,,,,,,,,,,,,,,2024-04-12
Modal Price,Modal Price,40,,28,35,80,160,120,120,100,44,60,200,140,120,130,115,100,50,280,28,20,30,30,,,,,,,,,,,,,,,,,,,2024-04-12
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-12
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40,,,,,,,,,,,,,,,,,,,2024-04-12
Delhi,Delhi,40,,29,31,82,158,145,127,88,44,54,209,143,130,132,135,104,57,243,26,27,33,40,,,,,,,,,,,,,,,,,,,2024-04-12
Haryana,Hisar,34,,27,29,75,145,106,105,75,42,57,190,120,115,120,120,100,44,243,25,12,23,27,,,,,,,,,,,,,,,,,,,2024-04-12
Haryana,Karnal,65,,34,38,87,125,120,122,125,46,66,180,133,141,147,175,130,48,283,30,20,45,35,,,,,,,,,,,,,,,,,,,2024-04-12
Haryana,Panchkula,35,,33,36,82,134,101,110,95,44,60,151,127,128,111,154,91,52,213,27,25,55,32,,,,,,,,,,,,,,,,,,,2024-04-12
Haryana,Gurgaon,40,,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Shimla,44,,NR,37,85,165,143,126,91,50,60,214,165,131,121,NR,NR,55,220,28,30,30,30,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Mandi,42,,NR,34,78,158,145,126,78,46,47,224,163,136,129,145,119,45,270,28,25,38,37,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Dharamshala,28,,NR,30,82,154,135,129,93,45,40,NR,160,136,137,NR,NR,47,220,28,24,30,40,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Solan,41,,NR,32,83,157,135,115,84,46,50,214,161,133,124,137,NR,47,220,28,25,35,37,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Una,41,,NR,32,83,156,131,121,86,44,64,NR,141,133,117,NR,NR,50,225,28,24,35,39,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Bilaspur-hp,44,,NR,31,81,160,132,118,89,46,58,NR,161,134,130,NR,NR,45,318,27,25,30,37,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Chamba,37,,NR,36,85,159,131,123,89,50,55,NR,160,139,129,NR,NR,44,235,28,21,35,40,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Hamirpur-HP,39,,NR,31,79,162,122,118,82,47,65,NR,163,141,NR,NR,NR,48,259,28,23,32,30,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Kullu,39,,NR,33,81,163,129,111,80,46,40,NR,159,115,119,137,NR,42,220,28,20,40,40,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Sirmour,42,,22,35,80,127,127,107,98,45,50,228,165,135,143,155,121,41,327,25,27,37,42,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Kinnaur,40,,NR,36,80,149,131,114,85,47,45,NR,144,131,117,NR,NR,45,229,27,28,40,47,,,,,,,,,,,,,,,,,,,2024-04-12
Himachal Pradesh,Lahaul & Spiti,40,,NR,40,90,163,117,95,100,50,63,NR,187,165,NR,NR,NR,53,480,28,40,55,60,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Srinagar,40,,35,52,97,137,130,140,107,50,45,NR,148,137,132,173,NR,48,290,28,35,38,40,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Jammu,45,,32,35,83,173,133,120,100,48,50,NR,153,137,137,137,108,49,297,28,27,37,43,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Poonch,44,,27,38,77,118,119,110,100,48,64,NR,180,153,167,170,156,46,306,20,21,40,45,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Kupwara,36,,26,34,90,110,110,120,100,60,48,NR,148,145,143,148,142,50,307,24,22,37,43,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Udhampur,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Shopian,40,,44,46,120,123,118,117,118,50,49,NR,153,145,145,142,NR,48,337,28,27,37,40,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Samba,60,,28,34,79,160,130,120,98,45,55,NR,120,125,120,130,105,50,300,28,20,30,40,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Ramban,60,,NR,36,85,153,120,117,100,50,60,NR,153,137,122,NR,NR,52,320,25,25,40,42,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Rajouri,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Kishtwar,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Doda,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Baramulla,35,,30,36,90,140,120,120,100,50,51,NR,140,130,130,NR,140,52,363,28,30,34,48,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Reasi,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Jammu and Kashmir,Kathua,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Amritsar,36,,29,38,78,168,110,113,100,44,54,197,121,115,115,113,NR,46,260,26,20,26,26,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Ludhiana,37,,24,32,82,160,140,115,95,43,60,200,132,122,123,130,NR,55,320,27,22,28,30,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Bathinda,40,,23,30,90,175,145,120,100,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,20,34,40,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Barnala,40,,23,27,86,162,123,115,85,44,54,208,113,110,105,120,90,42,317,28,19,30,32,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Hoshiarpur,34,,26,30,90,140,115,120,110,43,62,200,120,140,125,140,110,64,263,20,20,25,40,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Faridkot,42,,23,32,87,153,132,127,92,45,55,233,127,122,112,132,98,52,313,28,22,28,33,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Mansa,41,,24,27,92,127,110,100,98,49,52,NR,120,122,130,NR,NR,55,280,28,22,36,41,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Sri Muktsar Sahib,41,,26,30,82,160,118,125,93,43,62,203,112,113,112,112,94,47,247,27,22,32,32,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Dera Bassi,38,,22,30,86,160,120,120,110,43,55,NR,128,117,120,NR,NR,53,247,28,19,30,37,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Sangrur,42,,27,30,80,159,117,111,81,44,60,162,125,115,117,126,101,43,220,29,20,25,30,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Ropar,36,,28,33,87,160,147,122,95,42,61,197,123,115,113,132,105,54,253,28,25,32,37,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Amargarh,42,,25,30,80,160,120,120,80,45,60,160,115,120,120,130,100,42,250,28,20,25,30,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Fatehgarh Sahib,48,,25,35,90,120,120,105,105,45,65,200,125,118,117,162,115,50,243,26,25,32,35,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Ferozepur,42,,25,32,92,192,143,126,101,43,60,223,122,125,121,144,96,50,280,28,17,25,24,,,,,,,,,,,,,,,,,,,2024-04-12
Punjab,Kapurthala,33,,25,31,81,124,128,130,113,44,67,213,121,130,133,143,111,65,277,21,23,37,47,,,,,,,,,,,,,,,,,,,2024-04-12
Uttar Pradesh,Lucknow,40,,30,34,84,160,129,125,83,44,66,200,130,118,120,120,117,50,280,28,25,30,33,,,,,,,,,,,,,,,,,,,2024-04-12
Uttar Pradesh,Kanpur,35,,27,32,82,145,108,108,74,46,60,196,150,113,126,140,117,56,234,26,22,30,35,,,,,,,,,,,,,,,,,,,2024-04-12
Uttar Pradesh,Varanasi,42,,27,34,85,158,130,122,84,47,70,207,135,136,127,131,116,56,282,28,22,25,40,,,,,,,,,,,,,,,,,,,2024-04-12
Uttar Pradesh,Agra,44,,28,29,83,141,108,104,82,44,66,176,131,128,121,120,118,39,250,27,20,30,35,,,,,,,,,,,,,,,,,,,2024-04-12
Uttar Pradesh,Jhansi,43,,23,30,79,145,101,108,81,45,52,181,121,112,98,116,108,43,210,26,21,22,25,,,,,,,,,,,,,,,,,,,2024-04-12
