State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-08-20
Average Price,Average Price,43.62,,30.77,35.74,89.52,164.9,124.72,115.72,89.7,44.81,59.09,182.61,139.76,122.87,119.45,119.93,98.74,54.53,269.52,22.41,36.96,45.43,48.94,37.77,46.99,39.88,56.99,44.57,97.89,617.85,57.49,75.73,46.66,101.36,28.15,61.65,39.27,30.58,49.87,,,2024-08-20
Maximum Price,Maximum Price,68,,51,70,120,190,167,160,123,60,82,262,214,183,180,210,165,130,520,31,65,80,127,80,250,90,223,100,160,1100,145,240,115,240,95,151,113,200,147,,,2024-08-20
Minimum Price,Minimum Price,28,,22,28,67,123,85,88,65,37,40,120,110,93,99,102,86,38,160,9,22,28,11,17,25,29,29,25,40,70,20,32,18,24,14,20,18,16,18,,,2024-08-20
Modal Price,Modal Price,40,,28,35,90,160,130,120,90,44,60,170,140,120,120,120,100,50,300,27,35,40,40,40,40,35,60,40,100,650,58,72,40,100,20,60,30,30,40,,,2024-08-20
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-20
Chandigarh,Chandigarh,44,,31,36,88,165,126,117,91,45,60,186,140,122,117,119,99,55,270,28,40,42,56,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2024-08-20
Delhi,Delhi,40,,30,32,93,173,147,125,90,45,56,207,152,128,130,141,102,60,245,27,40,50,53,30,40,39,57,39,95,513,58,71,47,87,26,47,38,26,44,,,2024-08-20
Haryana,Hisar,35,,28,30,88,161,117,109,81,44,59,208,143,121,127,138,102,49,243,26,37,48,53,28,37,38,51,39,96,527,58,72,38,83,20,41,36,25,65,,,2024-08-20
Haryana,Karnal,43,,35,38,91,123,124,119,91,43,66,181,130,116,109,109,90,50,224,26,42,43,45,27,45,43,42,41,108,595,61,72,43,75,23,40,41,28,75,,,2024-08-20
