State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2025-02-11
Average Price,Average Price,42.49,,32.63,37.78,90.47,142.98,121.5,112.82,88.76,45.16,58.62,192.89,168.54,148.5,143.99,155.57,135.58,54.13,271.4,21.5,25.63,35.71,23.62,37.53,43.51,41.8,54.58,46.04,98.72,636.24,58.36,80.81,36.43,87.74,38.32,47.14,31.49,17.52,49.34,,,2025-02-11
Maximum Price,Maximum Price,67,,59,71,140,187,161,150,130,60,83,280,228,209,202,211,176,130,520,31,65,80,100,99,90,97,185,103,165,930,120,220,173,165,225,125,69,48,150,,,2025-02-11
Minimum Price,Minimum Price,27,,23,29,70,100,87,80,73,38,40,128,129,92,102,115,91,33,152,10,10,14,5,21,22,30,26,28,34,374,36,43,9,37,13,18,14,9,19,,,2025-02-11
Modal Price,Modal Price,40,,30,35,90,160,120,110,90,44,60,176,165,148,154,158,143,50,260,28,20,30,20,40,40,40,51,40,100,650,58,72,40,80,30,40,30,15,40,,,2025-02-11
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-11
Chandigarh,Chandigarh,44,,31,36,90,165,125,116,90,45,60,183,139,124,119,120,100,55,269,28,15,36,20,28,47,30,44,50,85,497,57,72,60,95,50,60,40,21,35,,,2025-02-11
Delhi,Delhi,38,,36,38,88,120,130,117,87,45,56,208,174,179,163,181,144,60,242,27,18,38,19,29,37,40,54,43,115,515,58,76,36,90,42,39,37,14,30,,,2025-02-11
Haryana,Hisar,40,,29,35,87,146,110,110,80,45,59,216,167,158,156,167,135,50,243,28,20,35,22,27,37,39,53,40,91,568,60,74,40,83,44,39,35,15,62,,,2025-02-11
Haryana,Karnal,43,,26,40,89,146,119,106,99,43,65,189,172,154,132,152,136,48,280,29,17,36,20,22,36,40,66,39,97,643,60,90,40,79,40,40,28,14,45,,,2025-02-11
Haryana,Panchkula,40,,28,40,90,167,122,116,90,47,62,192,142,117,126,132,100,53,210,27,25,40,30,26,38,32,55,40,85,607,54,70,30,80,35,40,50,25,51,,,2025-02-11
Haryana,Gurgaon,36,,29,32,86,165,115,116,80,42,56,222,153,123,129,142,104,55,227,20,17,26,20,25,37,35,37,36,92,550,58,96,35,70,37,32,26,15,65,,,2025-02-11
Himachal Pradesh,Shimla,44,,NR,37,94,143,133,115,83,48,60,231,198,168,154,NR,NR,55,213,28,16,40,30,37,NR,38,NR,40,108,631,58,72,30,90,43,47,24,17,58,,,2025-02-11
Himachal Pradesh,Mandi,43,,NR,40,94,152,135,114,85,46,49,231,190,162,153,161,129,50,270,30,15,34,25,33,NR,36,NR,34,107,676,60,75,30,85,48,41,31,16,56,,,2025-02-11
Himachal Pradesh,Dharamshala,30,,NR,29,90,148,134,120,90,47,40,NR,187,159,165,NR,NR,51,230,28,21,35,25,32,NR,34,55,40,99,590,59,90,40,103,49,45,34,15,60,,,2025-02-11
Himachal Pradesh,Solan,38,,NR,37,91,153,125,109,87,48,53,220,190,163,143,165,NR,51,240,30,17,40,20,34,37,41,NR,40,110,586,59,82,35,88,54,37,33,19,60,,,2025-02-11
Himachal Pradesh,Una,42,,NR,35,89,123,124,111,83,44,69,NR,180,177,146,NR,NR,51,242,29,18,38,26,37,NR,37,NR,37,99,659,59,84,25,99,45,37,35,14,57,,,2025-02-11
Himachal Pradesh,Bilaspur-hp,46,,NR,36,86,157,139,116,86,46,62,NR,165,177,160,NR,NR,47,344,28,15,40,30,32,NR,39,58,40,98,677,60,84,33,83,32,34,30,12,53,,,2025-02-11
Himachal Pradesh,Chamba,37,,NR,35,93,167,129,117,88,50,55,NR,193,168,151,NR,NR,50,243,29,32,40,34,41,56,38,69,37,88,645,58,83,36,111,56,52,40,22,59,,,2025-02-11
Himachal Pradesh,Hamirpur-HP,41,,NR,37,85,136,113,112,81,46,65,NR,189,178,152,NR,NR,49,260,28,24,33,28,37,52,38,NR,37,98,495,60,79,33,85,39,38,31,15,55,,,2025-02-11
Himachal Pradesh,Kullu,40,,NR,39,89,160,125,110,88,48,40,NR,192,167,144,137,NR,45,240,30,33,40,30,NR,NR,41,NR,41,118,703,60,90,45,89,37,35,32,15,67,,,2025-02-11
Himachal Pradesh,Sirmour,45,,27,38,91,168,134,105,90,46,50,212,179,150,150,146,108,45,273,28,30,40,27,35,NR,35,NR,36,100,627,58,70,40,88,30,45,32,20,52,,,2025-02-11
Himachal Pradesh,Kinnaur,38,,NR,43,97,138,133,117,80,48,50,NR,180,172,148,186,NR,43,257,27,30,42,30,NR,NR,42,NR,43,112,542,54,90,48,80,45,47,38,16,57,,,2025-02-11
Himachal Pradesh,Lahaul & Spiti,43,,NR,40,103,160,130,117,92,53,51,NR,192,165,NR,NR,NR,54,480,28,40,60,57,NR,NR,36,NR,36,83,600,55,80,58,87,31,40,26,15,76,,,2025-02-11
Jammu and Kashmir,Srinagar,41,,39,45,85,178,140,118,115,51,50,NR,186,144,145,166,NR,58,283,28,34,41,40,NR,NR,47,NR,41,117,642,60,81,35,85,50,68,32,16,87,,,2025-02-11
Jammu and Kashmir,Jammu,48,,36,40,95,145,130,120,95,49,51,NR,194,168,159,146,118,56,302,28,22,40,25,36,58,57,68,60,128,564,60,84,42,87,47,50,34,17,50,,,2025-02-11
Jammu and Kashmir,Poonch,59,,32,43,114,178,125,121,111,49,76,NR,209,195,192,NR,NR,53,321,27,35,42,49,NR,NR,56,NR,57,110,683,69,89,38,61,55,36,17,15,100,,,2025-02-11
Jammu and Kashmir,Kupwara,48,,35,43,100,NR,130,125,105,55,51,NR,NR,169,167,165,126,48,310,28,37,47,53,NR,NR,35,NR,39,117,660,60,87,52,83,24,49,53,15,105,,,2025-02-11
Jammu and Kashmir,Udhampur,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Jammu and Kashmir,Shopian,39,,NR,45,110,178,130,130,107,48,47,NR,186,134,137,NR,NR,49,333,28,32,33,33,NR,NR,42,NR,60,134,692,59,79,37,100,60,51,45,16,81,,,2025-02-11
Jammu and Kashmir,Samba,60,,32,39,82,130,130,120,93,47,55,NR,170,181,154,194,148,55,300,30,19,37,30,33,60,45,65,45,105,637,60,80,40,90,43,40,30,14,58,,,2025-02-11
Jammu and Kashmir,Ramban,39,,NR,40,103,167,120,113,100,50,60,NR,196,154,154,NR,NR,55,320,29,23,40,30,40,NR,42,NR,43,120,637,60,84,45,91,48,50,34,13,60,,,2025-02-11
Jammu and Kashmir,Rajouri,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Jammu and Kashmir,Kishtwar,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Jammu and Kashmir,Doda,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Jammu and Kashmir,Baramulla,36,,35,43,95,150,120,123,100,50,48,NR,197,178,NR,194,140,50,377,28,40,45,43,NR,NR,42,NR,49,127,674,60,81,45,96,42,56,33,20,112,,,2025-02-11
Jammu and Kashmir,Reasi,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Jammu and Kashmir,Kathua,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Punjab,Amritsar,40,,31,36,93,148,138,118,93,46,55,245,176,172,165,159,NR,52,280,28,19,40,28,40,41,40,62,39,100,584,60,80,38,93,43,43,31,14,50,,,2025-02-11
Punjab,Ludhiana,38,,26,36,93,168,128,115,97,46,62,218,178,175,167,179,NR,57,285,28,19,38,25,37,48,37,62,42,110,560,57,71,40,79,37,42,23,20,43,,,2025-02-11
Punjab,Bathinda,40,,30,35,92,145,138,118,90,46,55,240,178,175,159,159,148,52,267,28,17,38,28,40,40,40,58,40,102,637,59,82,38,92,42,41,31,14,47,,,2025-02-11
Punjab,Barnala,40,,32,35,95,150,123,107,88,45,64,209,165,176,147,159,145,44,297,30,18,35,21,34,45,40,NR,42,95,619,60,85,25,90,42,40,30,15,48,,,2025-02-11
Punjab,Hoshiarpur,41,,30,34,85,127,113,111,96,46,65,208,155,175,142,136,143,49,288,21,15,35,31,37,33,40,65,36,102,602,55,79,30,99,55,45,35,16,58,,,2025-02-11
Punjab,Faridkot,42,,30,35,92,145,137,115,92,46,55,242,178,176,156,161,148,51,287,29,18,38,27,40,44,40,63,40,100,637,59,83,38,95,43,42,33,14,48,,,2025-02-11
Punjab,Mansa,40,,35,37,95,150,135,115,90,44,64,NR,170,172,159,157,145,48,273,29,20,35,22,42,50,38,67,42,100,622,60,87,35,90,45,41,32,16,50,,,2025-02-11
Punjab,Sri Muktsar Sahib,40,,29,34,85,153,133,113,90,45,63,224,148,167,147,152,143,46,280,28,22,38,28,30,48,39,78,39,92,593,60,71,36,88,35,37,26,13,50,,,2025-02-11
Punjab,Dera Bassi,40,,31,36,95,155,140,120,90,44,60,NR,174,179,165,NR,NR,55,257,28,20,35,27,30,38,35,50,40,97,550,55,70,40,97,42,55,37,17,43,,,2025-02-11
Punjab,Sangrur,41,,31,35,86,129,130,109,86,46,60,232,171,159,148,169,146,51,263,27,20,25,20,35,40,40,62,40,98,557,58,72,32,93,40,47,32,15,50,,,2025-02-11
Punjab,Ropar,40,,30,35,92,147,137,120,93,46,60,234,168,175,159,NR,148,52,263,28,18,38,28,42,47,39,62,40,100,639,59,83,38,92,43,41,33,15,48,,,2025-02-11
Punjab,Amargarh,42,,30,34,85,138,135,110,90,47,60,233,167,167,160,163,143,47,250,28,17,25,20,36,45,40,NR,40,100,604,58,72,25,100,40,49,27,15,48,,,2025-02-11
Punjab,Fatehgarh Sahib,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-02-11
Punjab,Ferozepur,40,,32,38,86,140,122,109,90,45,61,233,165,177,146,185,138,49,269,28,17,35,18,36,44,42,67,41,102,632,59,99,30,87,44,41,24,13,50,,,2025-02-11
