State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-10-02
Average Price,Average Price,42.79,,31.06,36.2,93.32,162.83,123.91,115.4,89.45,44.93,59.26,186.69,154.36,130.52,129.5,131.83,114.48,55.4,266.64,21.89,36.04,53.61,55.03,37,44.11,39.95,54.96,44.68,99.54,617.94,57.5,79.34,44.37,90.5,36.5,52.97,34.88,21.61,50.01,,,2024-10-02
Maximum Price,Maximum Price,65,,58,70,113,200,170,145,124,60,83,262,200,168,180,192,156,127,520,30,71,80,120,66,78,83,100,100,150,900,120,237,120,170,130,125,79,46,122,,,2024-10-02
Minimum Price,Minimum Price,28,,22,28,70,127,85,87,74,39,40,130,117,98,92,105,90,38,154,10,25,26,20,17,22,30,29,28,47,392,20,48,16,41,16,20,17,10,19,,,2024-10-02
Modal Price,Modal Price,40,,28,35,90,160,120,120,90,44,60,180,160,120,140,132,110,50,300,27,35,60,60,38,40,35,50,40,100,650,58,72,40,90,30,40,30,15,50,,,2024-10-02
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-10-02
Chandigarh,Chandigarh,44,,31,36,90,165,125,116,90,45,60,183,139,124,119,120,100,55,269,28,39,52,57,28,47,30,44,50,85,497,35,72,60,95,50,60,40,23,35,,,2024-10-02
Delhi,Delhi,40,,30,33,100,175,145,127,90,45,56,216,170,152,148,150,132,63,245,28,40,58,63,29,38,38,52,40,112,515,58,71,57,87,42,38,38,15,35,,,2024-10-02
Haryana,Hisar,36,,28,32,98,160,112,109,80,44,59,215,164,144,143,148,119,50,243,26,37,62,55,27,37,39,51,40,101,540,58,72,40,83,50,41,40,15,65,,,2024-10-02
Haryana,Karnal,43,,31,33,95,157,123,120,95,45,56,192,141,132,120,135,114,55,260,25,33,55,68,26,35,35,62,35,103,598,54,75,40,78,35,37,31,15,70,,,2024-10-02
Haryana,Panchkula,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2024-10-02
Haryana,Gurgaon,36,,29,32,86,165,115,116,80,44,56,222,153,123,129,142,104,55,230,20,27,50,47,25,37,35,37,36,92,550,58,96,35,70,37,32,26,15,65,,,2024-10-02
Himachal Pradesh,Shimla,44,,NR,37,97,172,142,118,90,48,60,225,189,152,142,NR,NR,55,210,28,40,60,58,37,NR,38,NR,38,107,603,58,72,49,98,42,45,26,20,50,,,2024-10-02
Himachal Pradesh,Mandi,43,,NR,34,98,175,135,120,90,46,47,224,179,146,137,150,121,50,270,28,40,63,65,32,NR,34,NR,34,110,676,58,72,38,83,46,39,31,16,53,,,2024-10-02
Himachal Pradesh,Dharamshala,30,,NR,29,97,172,131,119,87,45,40,NR,184,146,143,NR,NR,49,230,28,35,60,70,32,NR,34,55,35,98,590,59,70,40,90,49,48,34,15,60,,,2024-10-02
Himachal Pradesh,Solan,39,,NR,33,98,170,128,113,85,46,50,231,174,139,129,159,NR,51,220,28,35,60,57,34,37,36,NR,35,105,547,58,78,45,83,49,41,33,19,53,,,2024-10-02
Himachal Pradesh,Una,41,,NR,35,99,164,127,117,83,45,66,NR,164,161,144,NR,NR,49,246,27,31,59,61,39,NR,35,NR,34,108,613,59,84,27,99,38,37,42,15,54,,,2024-10-02
Himachal Pradesh,Bilaspur-hp,45,,NR,33,102,169,139,117,86,46,60,NR,159,142,146,NR,NR,50,335,27,37,60,80,32,NR,34,58,33,105,678,58,84,40,82,32,35,36,13,59,,,2024-10-02
Himachal Pradesh,Chamba,36,,NR,35,105,176,133,122,90,50,55,NR,187,158,149,NR,NR,50,232,29,38,70,76,41,58,38,71,37,88,645,58,83,37,111,33,50,40,34,59,,,2024-10-02
Himachal Pradesh,Hamirpur-HP,41,,NR,33,98,175,132,117,83,46,65,NR,178,141,NR,NR,NR,52,265,28,39,60,70,36,58,34,NR,33,102,495,58,74,37,88,34,45,34,15,56,,,2024-10-02
Himachal Pradesh,Kullu,43,,NR,35,104,177,132,123,87,47,40,NR,187,151,143,137,NR,48,213,28,37,70,60,NR,NR,35,NR,35,110,537,58,80,40,88,41,35,31,15,57,,,2024-10-02
Himachal Pradesh,Sirmour,45,,24,37,89,176,140,110,90,46,50,214,174,148,150,148,111,45,273,28,40,63,47,35,NR,35,NR,36,100,627,58,70,40,81,30,48,32,20,52,,,2024-10-02
Himachal Pradesh,Kinnaur,42,,NR,36,98,172,126,106,80,48,50,NR,180,155,148,NR,NR,50,229,27,37,70,73,NR,NR,36,NR,38,96,552,53,88,53,80,35,43,36,15,57,,,2024-10-02
Himachal Pradesh,Lahaul & Spiti,44,,NR,43,90,160,130,90,95,43,50,NR,187,165,NR,NR,NR,53,480,28,40,60,56,NR,NR,34,NR,35,85,600,55,77,80,130,36,46,28,18,66,,,2024-10-02
Jammu and Kashmir,Srinagar,42,,39,44,88,177,140,128,120,50,50,NR,165,130,132,147,NR,60,285,28,33,69,70,NR,NR,50,NR,41,120,623,59,75,32,90,50,77,37,16,113,,,2024-10-02
