State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2025-12-07
Average Price,Average Price,41.9,,31.78,37.11,84.81,113.13,113.12,108.82,87.63,46.17,58.27,187.29,185.82,154.47,147.03,165.05,132.64,55.76,264.59,21.7,25.3,24.77,47.16,37.44,42.29,40.72,54.35,44.31,95.48,669.31,58.63,82.47,43.05,86.62,36.56,40.11,27.56,15.8,45.41,,,2025-12-07
Maximum Price,Maximum Price,63,,54,67,130,190,152,140,142,60,84,286,242,231,191,231,165,137,650,35,52,60,120,60,62,59,103,91,140,916,82,106,98,123,100,90,60,41,107,,,2025-12-07
Minimum Price,Minimum Price,31,,24,28,70,83,82,87,70,38,40,152,136,118,113,125,98,40,155,10,13,10,23,22,26,31,31,32,61,508,50,49,20,62,22,23,13,10,20,,,2025-12-07
Modal Price,Modal Price,40,,28,35,80,110,110,110,90,45,58,189,192,165,143,165,132,55,260,20,20,20,50,35,40,40,52.5,40,90,659,60,84,40,80,40,40,30,15,40,,,2025-12-07
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-07
Chandigarh,Chandigarh,43,,35,40,87,115,114,110,89,46,59,211,208,171,164,182,145,57,270,28,25,25,68,38,43,42,54,47,96,731,59,79,43,87,37,41,28,16,49,,,2025-12-07
Delhi,Delhi,43,,32,35,88,102,130,105,90,46,57,203,193,163,166,189,145,58,257,28,23,27,48,35,40,38,46,39,98,614,58,73,55,93,37,31,30,15,47,,,2025-12-07
Haryana,Hisar,39,,29,34,85,122,110,109,87,45,61,203,183,163,149,183,131,54,243,28,27,27,58,27,38,39,62,40,90,613,59,76,50,82,40,39,34,15,68,,,2025-12-07
Haryana,Karnal,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2025-12-07
