State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-08-21
Average Price,Average Price,44.04,,30.58,35.56,90.03,165.06,125.3,116.21,90.17,44.83,59.06,183.5,139.03,123.51,119.41,120.45,99.28,54.87,268.61,21.93,37.37,45.69,48.12,38.12,47.55,40.05,56.62,44.9,98.78,618.22,57.8,75.15,47.13,101.31,28.36,61.74,38.71,30.52,50.64,,,2024-08-21
Maximum Price,Maximum Price,68,,55,70,120,190,167,160,124,60,82,262,215,183,180,210,165,130,520,30,65,80,125,80,250,90,223,100,160,883,145,230,115,240,145,151,120,200,145,,,2024-08-21
Minimum Price,Minimum Price,28,,22,28,70,120,85,88,65,37,33,120,110,93,99,102,88,38,160,9,22,27,12,17,25,29,29,25,40,70,20,32,18,24,14,20,18,16,18,,,2024-08-21
Modal Price,Modal Price,40,,28,35,90,160,130,120,90,44,60,170,130,120,120,125,100,52.5,250,27,35,40,40,40,40,35,60,40,100,650,58,72,40,100,20,50,30,30,40,,,2024-08-21
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-08-21
Chandigarh,Chandigarh,44,,31,36,88,165,126,117,91,45,60,186,140,122,117,119,99,55,270,28,40,42,56,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2024-08-21
Delhi,Delhi,40,,30,32,95,175,147,125,90,45,56,207,154,128,130,141,102,60,245,27,38,52,53,30,40,39,57,39,95,517,58,71,48,87,26,47,38,26,42,,,2024-08-21
Haryana,Hisar,35,,28,31,88,161,117,109,81,44,59,208,143,121,127,138,102,49,243,26,37,48,53,28,37,38,51,39,98,527,58,72,38,83,20,41,36,25,65,,,2024-08-21
Haryana,Karnal,40,,32,39,99,129,126,120,99,45,60,185,124,114,100,113,89,53,209,25,37,41,41,28,43,44,45,42,110,603,59,75,43,79,24,41,41,29,77,,,2024-08-21
Haryana,Panchkula,40,,28,38,88,165,120,115,88,45,62,190,140,115,125,130,100,53,210,27,35,40,58,26,38,32,55,40,85,607,54,70,30,80,35,40,50,25,51,,,2024-08-21
Haryana,Gurgaon,36,,29,32,86,165,115,116,80,44,56,222,153,123,129,142,104,55,230,20,32,36,46,26,38,62,37,55,105,652,58,96,40,115,59,67,58,26,60,,,2024-08-21
Himachal Pradesh,Shimla,45,,NR,37,95,177,140,121,92,48,60,220,172,140,129,NR,NR,57,213,28,45,53,50,35,NR,38,NR,38,103,603,58,80,39,143,40,50,50,32,52,,,2024-08-21
Himachal Pradesh,Mandi,43,,NR,34,87,177,137,120,88,44,47,220,165,129,122,141,115,48,270,28,37,44,45,32,NR,34,NR,34,116,676,62,72,38,143,43,95,64,28,49,,,2024-08-21
Himachal Pradesh,Dharamshala,30,,NR,29,89,172,129,119,89,45,40,NR,165,136,137,NR,NR,49,230,28,34,45,60,33,NR,34,55,35,98,590,59,70,40,90,34,48,33,31,60,,,2024-08-21
Himachal Pradesh,Solan,40,,NR,32,93,175,133,111,86,NR,NR,220,164,133,121,141,NR,NR,NR,NR,40,53,40,33,37,34,NR,34,111,522,59,78,40,133,38,72,60,35,53,,,2024-08-21
Himachal Pradesh,Una,42,,NR,32,91,167,124,113,89,43,66,NR,154,134,129,NR,NR,49,235,27,31,51,50,36,NR,34,NR,32,89,605,57,83,34,93,37,48,39,29,54,,,2024-08-21
Himachal Pradesh,Bilaspur-hp,45,,NR,31,92,178,142,116,89,46,60,NR,144,134,119,NR,NR,49,323,27,40,52,60,32,NR,33,58,33,98,617,58,84,43,90,19,NR,33,24,54,,,2024-08-21
Himachal Pradesh,Chamba,37,,NR,35,94,176,133,119,89,50,55,NR,167,134,130,NR,NR,48,232,29,35,52,53,41,58,38,68,37,88,643,58,79,43,111,33,50,40,34,59,,,2024-08-21
Himachal Pradesh,Hamirpur-HP,42,,NR,32,95,179,137,117,87,46,65,NR,167,133,NR,NR,NR,51,265,28,42,48,57,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,2024-08-21
Himachal Pradesh,Kullu,42,,NR,35,95,178,135,124,90,49,40,NR,167,132,121,137,NR,55,213,28,40,60,58,NR,NR,35,NR,35,110,528,58,75,42,100,24,80,38,28,54,,,2024-08-21
