State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2026-03-22
Average Price,Average Price,42.09,,31.59,37.27,83.87,120.44,117.1,109.57,87.5,45.83,58.12,198.25,185.48,155.83,153.82,181.25,142.16,55.66,261.13,21.96,19.62,24.18,25.17,37.65,43.79,41.04,55.12,44.31,94.53,679.25,58.84,77.5,36.53,86.65,36.64,39.59,27.93,15.91,46.79,24.33,35.62,2026-03-22
Maximum Price,Maximum Price,63,,53,68,125,180,180,148,117,60,82,276,257,220,209,224,185,133,500,38,43,60,120,72,75,62,103,90,140,908,76,125,80,132,100,90,60,40,100,50,70,2026-03-22
Minimum Price,Minimum Price,27,,20,26,69,94,90,81,69,42,40,160,136,118,121,125,100,39,155,10,5,11,8,15,26,28,31,31,70,510,46,49,10,58,20,23,13,10,23,15,17,2026-03-22
Modal Price,Modal Price,40,,28,35,80,120,118,110,90,45,58,198,187,148,159,188,137,50,250,30,20,20,20,35,40,40,55,40,90,714,58,84,40,80,40,40,25,15,40,20,40,2026-03-22
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-22
Chandigarh,Chandigarh,43,,35,40,87,115,114,110,89,46,59,211,208,171,164,182,145,57,270,28,22,25,35,38,43,42,54,47,96,731,59,79,43,87,37,41,28,16,49,30,40,2026-03-22
Delhi,Delhi,42,,33,34,87,130,123,110,90,47,57,207,194,175,183,206,160,57,233,28,14,28,33,33,38,39,50,41,95,644,58,72,50,93,36,30,30,14,48,28,48,2026-03-22
Haryana,Hisar,40,,30,34,85,127,112,110,88,45,61,205,183,165,150,183,132,55,243,28,19,27,33,27,38,39,62,40,90,624,59,76,48,82,40,39,34,15,68,28,50,2026-03-22
Haryana,Karnal,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2026-03-22
Haryana,Panchkula,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2026-03-22
Haryana,Gurgaon,39,,32,34,81,144,NR,119,86,45,57,NR,186,NR,153,185,119,55,300,26,12,25,35,25,28,35,37,45,85,534,60,62,25,90,36,50,30,16,70,50,50,2026-03-22
Himachal Pradesh,Shimla,40,,NR,32,86,120,127,113,87,51,60,225,214,172,159,NR,NR,54,250,30,16,30,30,30,NR,36,NR,35,107,710,58,84,30,83,38,41,25,17,57,23,50,2026-03-22
Himachal Pradesh,Mandi,39,,NR,34,81,118,125,116,84,48,55,222,210,175,158,177,NR,53,270,30,17,28,38,31,NR,37,NR,35,100,676,58,84,35,85,40,43,28,16,64,30,45,2026-03-22
Himachal Pradesh,Dharamshala,35,,NR,29,84,126,125,118,85,48,44,NR,213,163,159,NR,NR,53,235,28,20,25,40,32,NR,34,55,40,93,590,59,70,40,97,49,42,34,15,60,30,40,2026-03-22
Himachal Pradesh,Solan,39,,NR,33,76,114,121,109,86,48,55,212,214,172,151,181,NR,51,230,30,15,28,40,35,37,37,NR,38,98,626,59,81,40,88,39,33,34,17,46,25,40,2026-03-22
Himachal Pradesh,Una,39,,NR,33,81,124,121,109,92,46,71,NR,190,165,155,NR,NR,51,227,29,15,27,31,34,NR,35,NR,34,89,692,58,84,25,95,44,33,28,15,53,24,37,2026-03-22
Himachal Pradesh,Bilaspur-hp,40,,NR,35,77,121,130,116,86,48,64,NR,173,174,166,NR,NR,47,200,29,15,27,42,35,NR,37,62,37,79,725,58,96,40,85,39,30,25,13,50,22,43,2026-03-22
Himachal Pradesh,Chamba,35,,NR,36,86,120,121,119,88,51,55,NR,193,167,161,NR,NR,55,208,30,20,30,37,58,75,38,78,38,89,632,62,82,36,86,49,37,37,19,55,37,54,2026-03-22
