State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-06-22
Average Price,Average Price,45.17,,30.88,36.16,88.24,163.24,127.93,119.52,94.74,44.86,59.73,188.1,138.69,126.83,121.1,123.22,100.64,53.99,274.54,22.3,32.95,39.1,49.07,,,,,,,,,,,,,,,,,,,2024-06-22
Maximum Price,Maximum Price,70,,53,70,153,207,190,165,166,70,80,262,235,220,180,210,175,120,559,32,65,70,120,,,,,,,,,,,,,,,,,,,2024-06-22
Minimum Price,Minimum Price,25,,22,27,60,87,85,85,72,38,40,118,110,91,99,104,82,36,160,9,12,17,16,,,,,,,,,,,,,,,,,,,2024-06-22
Modal Price,Modal Price,40,,28,35,87.5,168.33,120,120,100,44,60,170,130,120,130,125,98,50,250,28,30,40,40,,,,,,,,,,,,,,,,,,,2024-06-22
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-06-22
Chandigarh,Chandigarh,40,,32,34,95,179,130,125,98,44,62,190,148,120,129,135,105,55,253,28,24,38,35,,,,,,,,,,,,,,,,,,,2024-06-22
Delhi,Delhi,40,,29,31,97,177,147,127,90,44,56,209,148,130,128,139,104,58,243,26,30,50,33,,,,,,,,,,,,,,,,,,,2024-06-22
Haryana,Hisar,32,,27,28,77,160,110,112,75,44,57,186,129,110,116,124,92,49,242,25,22,25,22,,,,,,,,,,,,,,,,,,,2024-06-22
Haryana,Karnal,48,,30,32,88,170,121,113,88,49,67,190,121,115,106,115,95,50,258,25,30,40,30,,,,,,,,,,,,,,,,,,,2024-06-22
