State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-04-26
Average Price,Average Price,44.38,,30.82,36.13,84.03,152.51,124.49,117.7,92.79,44.53,58.8,188.98,136.3,125.67,123.85,122.95,101.93,52.83,282.58,22.72,27.73,31.44,33.37,,,,,,,,,,,,,,,,,,,2024-04-26
Maximum Price,Maximum Price,75,,67,69,140,203,180,180,158,70,83,262,235,220,185,230,175,167,560,33,70,73,97,,,,,,,,,,,,,,,,,,,2024-04-26
Minimum Price,Minimum Price,25,,22,26,60,87,80,84,70,37,37,110,110,91,98,103,82,37,156,8,11,15,12,,,,,,,,,,,,,,,,,,,2024-04-26
Modal Price,Modal Price,40,,28,35,80,160,120,120,100,44,60,200,127.5,120,110,115,100,47.5,300,28,25,30,30,,,,,,,,,,,,,,,,,,,2024-04-26
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-04-26
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,20,33,40,,,,,,,,,,,,,,,,,,,2024-04-26
Delhi,Delhi,40,,29,31,87,170,147,127,90,44,54,209,143,132,132,135,106,57,243,26,27,32,38,,,,,,,,,,,,,,,,,,,2024-04-26
Haryana,Hisar,32,,28,30,75,145,105,105,75,42,57,190,120,115,120,120,100,44,243,25,14,22,27,,,,,,,,,,,,,,,,,,,2024-04-26
Haryana,Karnal,65,,34,38,87,125,120,122,125,46,66,180,133,141,147,175,130,48,283,30,20,45,35,,,,,,,,,,,,,,,,,,,2024-04-26
