State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-02-21
Average Price,Average Price,43.98,,30.98,36.11,83.15,148.68,122.78,116.37,93.45,44.44,58.69,189.42,135.74,125.32,122.4,123.29,98.81,52.69,281.38,22.36,22.1,32.75,31.98,,,,,,,,,,,,,,,,,,,2024-02-21
Maximum Price,Maximum Price,70,,62,69,139,207,176,180,157,70,83,262,235,220,189,240,175,167,559,33,65,77,88,,,,,,,,,,,,,,,,,,,2024-02-21
Minimum Price,Minimum Price,27,,21,27,60,87,80,81,70,37,37,115,103,90,93,93,75,36,157,9,9,17,8,,,,,,,,,,,,,,,,,,,2024-02-21
Modal Price,Modal Price,40,,28,35,80,160,120,120,100,44,60,180,135,120,120,118.25,90,50,300,28,20,30,30,,,,,,,,,,,,,,,,,,,2024-02-21
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-21
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,37,45,,,,,,,,,,,,,,,,,,,2024-02-21
Delhi,Delhi,40,,29,31,82,157,140,122,87,44,54,211,143,119,128,135,98,57,248,26,15,33,43,,,,,,,,,,,,,,,,,,,2024-02-21
Haryana,Hisar,34,,27,28,74,150,105,104,75,42,57,191,118,104,115,123,101,41,241,24,12,22,32,,,,,,,,,,,,,,,,,,,2024-02-21
Haryana,Karnal,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-02-21
Haryana,Panchkula,35,,33,36,82,135,101,110,95,45,59,151,128,127,111,153,91,51,218,26,24,55,30,,,,,,,,,,,,,,,,,,,2024-02-21
Haryana,Gurgaon,40,,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,15,35,30,,,,,,,,,,,,,,,,,,,2024-02-21
Himachal Pradesh,Shimla,42,,NR,37,85,165,143,122,95,50,60,214,164,129,121,NR,NR,55,218,28,19,30,45,,,,,,,,,,,,,,,,,,,2024-02-21
Himachal Pradesh,Mandi,40,,NR,32,80,167,135,122,80,46,47,220,159,122,119,143,116,47,270,28,12,30,44,,,,,,,,,,,,,,,,,,,2024-02-21
Himachal Pradesh,Dharamshala,28,,NR,30,82,153,128,127,93,45,40,NR,159,137,138,NR,NR,47,220,28,24,28,50,,,,,,,,,,,,,,,,,,,2024-02-21
Himachal Pradesh,Solan,40,,NR,32,81,157,129,113,83,46,50,214,161,129,117,135,NR,49,220,28,15,32,42,,,,,,,,,,,,,,,,,,,2024-02-21
Himachal Pradesh,Una,39,,NR,31,79,141,121,116,86,43,62,NR,141,119,117,NR,NR,46,224,28,16,30,37,,,,,,,,,,,,,,,,,,,2024-02-21
