State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2023-12-22
Average Price,Average Price,43.58,,30.99,36.13,83.44,153.79,123.03,116.47,93.97,44.72,58.33,192.78,137.98,126.54,124.67,124.68,99.64,52.88,281.72,22.42,23.76,46.83,35.47,,,,,,,,,,,,,,,,,,,2023-12-22
Maximum Price,Maximum Price,71,,58,67,133,216,173,180,153,70,83,262,235,220,189,245,176,167,560,33,70,90,90,,,,,,,,,,,,,,,,,,,2023-12-22
Minimum Price,Minimum Price,23,,21,27,58,87,80,80,70,38,40,115,110,92,95,105,82,35,157,9,9,23,9,,,,,,,,,,,,,,,,,,,2023-12-22
Modal Price,Modal Price,40,,28,35,80,160,110,120,100,43,60,200,130,120,125,120,100,50,280,28,20,40,30,,,,,,,,,,,,,,,,,,,2023-12-22
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-12-22
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,22,50,50,,,,,,,,,,,,,,,,,,,2023-12-22
Delhi,Delhi,39,,30,32,82,158,140,118,83,45,54,212,145,124,128,137,99,57,243,26,15,40,27,,,,,,,,,,,,,,,,,,,2023-12-22
Haryana,Hisar,36,,27,29,79,161,111,105,77,44,57,196,120,108,113,125,105,41,242,25,14,38,32,,,,,,,,,,,,,,,,,,,2023-12-22
Haryana,Karnal,61,,31,38,86,125,122,121,125,45,66,183,140,143,144,174,133,49,280,30,23,55,43,,,,,,,,,,,,,,,,,,,2023-12-22
Haryana,Panchkula,33,,30,34,80,129,100,106,94,44,59,150,127,129,108,150,90,51,208,25,24,56,30,,,,,,,,,,,,,,,,,,,2023-12-22
Haryana,Gurgaon,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Shimla,42,,NR,37,89,175,145,127,97,50,60,220,167,138,124,NR,NR,54,217,28,20,40,40,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Mandi,40,,NR,34,85,175,138,126,85,48,47,220,167,132,125,150,120,48,270,28,16,40,35,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Dharamshala,28,,NR,30,83,153,128,127,93,45,40,NR,165,137,138,NR,NR,47,217,28,25,35,40,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Solan,40,,NR,32,85,176,133,113,89,47,50,214,163,131,125,135,NR,49,220,28,13,38,31,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Una,39,,NR,30,84,155,123,115,83,44,62,NR,141,121,118,NR,NR,45,229,28,16,43,38,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Bilaspur-hp,44,,NR,31,81,163,132,115,89,47,58,NR,161,130,134,NR,NR,42,318,27,15,40,38,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Chamba,36,,NR,35,87,156,130,119,89,50,55,NR,161,134,124,164,101,44,235,28,25,39,39,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Hamirpur-HP,39,,NR,31,79,158,136,114,94,46,65,NR,168,133,NR,NR,NR,47,259,28,21,36,37,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Kullu,40,,NR,34,87,158,139,117,87,47,40,NR,159,124,115,141,NR,40,230,27,20,40,40,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Sirmour,37,,21,34,62,110,97,91,96,42,50,228,165,135,143,155,121,41,327,25,29,65,67,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Kinnaur,40,,NR,35,84,148,131,110,80,50,45,NR,136,127,134,132,NR,42,229,27,28,48,50,,,,,,,,,,,,,,,,,,,2023-12-22
Himachal Pradesh,Lahaul & Spiti,40,,NR,37,90,165,120,110,100,50,70,NR,187,157,NR,NR,NR,55,365,28,40,53,60,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Srinagar,40,,45,58,97,120,117,130,108,50,46,243,142,145,140,182,NR,49,340,28,32,43,37,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Jammu,40,,34,35,87,173,130,120,100,49,50,NR,148,125,127,132,100,49,280,28,15,40,32,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Poonch,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Kupwara,36,,26,33,90,110,110,120,100,60,48,NR,148,145,143,148,142,50,307,24,27,57,48,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Udhampur,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-12-22
Jammu and Kashmir,Shopian,37,,52,42,110,135,137,123,108,49,47,NR,150,130,133,127,NR,49,325,28,39,63,64,,,,,,,,,,,,,,,,,,,2023-12-22
