State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2023-11-11
Average Price,Average Price,42.62,,30.66,36.36,83.07,155.63,122.13,116.36,93.83,44.77,58.48,192.6,138.24,125.92,121.86,123.97,99.91,52.76,277.9,22.64,24.3,59.48,36.97,,,,,,,,,,,,,,,,,,,2023-11-11
Maximum Price,Maximum Price,71,,54,70,133,192,181,166,152,70,80,257,258,220,200,244,198,167,559,31,70,90,83,,,,,,,,,,,,,,,,,,,2023-11-11
Minimum Price,Minimum Price,28,,21,27,60,87,85,87,70,37,40,125,110,94,98,99,80,34,155,9,12,25,10,,,,,,,,,,,,,,,,,,,2023-11-11
Modal Price,Modal Price,38,,28,32,80,160,120,120,90,44,60,191.67,130,120,115,125,100,50,200,28,20,60,40,,,,,,,,,,,,,,,,,,,2023-11-11
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-11
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,43,59,192,150,128,130,148,107,51,276,27,25,70,40,,,,,,,,,,,,,,,,,,,2023-11-11
Delhi,Delhi,39,,30,33,88,173,140,125,90,45,53,214,143,126,124,139,99,57,243,26,30,62,45,,,,,,,,,,,,,,,,,,,2023-11-11
Haryana,Hisar,34,,27,30,75,159,113,108,78,46,57,187,112,107,107,154,92,39,248,27,13,55,27,,,,,,,,,,,,,,,,,,,2023-11-11
Haryana,Karnal,60,,30,38,85,125,122,120,125,45,66,183,145,143,144,175,134,50,279,30,23,65,40,,,,,,,,,,,,,,,,,,,2023-11-11
Haryana,Panchkula,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Haryana,Gurgaon,40,,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,15,35,30,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Shimla,42,,NR,36,88,170,147,127,95,49,60,220,165,144,122,NR,NR,54,217,28,35,55,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Mandi,39,,NR,34,90,175,140,128,87,47,47,218,162,132,121,151,116,48,270,28,36,60,37,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Dharamshala,28,,NR,30,82,152,121,119,92,45,40,NR,163,140,141,NR,NR,47,217,28,25,60,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Solan,39,,NR,32,89,172,131,117,95,46,50,214,163,137,119,132,NR,49,220,28,28,53,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Una,40,,NR,31,85,151,126,118,87,47,62,NR,141,123,115,NR,NR,45,237,28,23,59,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Bilaspur-hp,44,,NR,31,85,167,130,119,91,47,58,NR,159,131,131,NR,NR,45,318,27,40,63,48,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Chamba,36,,NR,35,86,149,123,120,88,49,55,NR,158,131,122,164,101,47,235,28,24,55,45,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Hamirpur-HP,39,,NR,32,83,157,119,114,94,45,65,NR,163,130,NR,NR,NR,47,265,28,37,58,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Kullu,40,,NR,33,86,175,124,112,87,47,40,NR,159,110,115,141,NR,45,230,28,30,60,40,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Sirmour,37,,21,34,62,110,97,91,96,42,50,228,165,135,143,155,121,41,327,25,29,65,27,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Kinnaur,40,,NR,34,84,148,120,107,81,46,45,NR,141,138,125,132,NR,48,206,27,28,65,48,,,,,,,,,,,,,,,,,,,2023-11-11
Himachal Pradesh,Lahaul & Spiti,40,,NR,37,90,165,120,113,100,50,70,NR,192,157,NR,NR,NR,55,365,28,40,77,50,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Srinagar,41,,43,57,95,120,120,122,105,50,48,243,155,148,137,192,NR,49,355,28,34,42,41,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Jammu,38,,31,36,85,177,130,120,100,50,50,NR,148,122,125,128,100,48,277,28,28,58,28,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Poonch,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Kupwara,36,,26,34,90,110,110,120,100,60,48,NR,148,145,143,148,142,50,307,24,26,55,45,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Udhampur,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Shopian,NR,,NR,NR,NR,NR,NR,NR,NR,50,50,NR,NR,NR,NR,NR,NR,49,330,28,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Samba,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Ramban,52,,NR,34,90,147,117,110,97,50,60,NR,133,140,127,NR,NR,50,417,25,25,63,50,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Rajouri,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Kishtwar,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Doda,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2023-11-11
Jammu and Kashmir,Baramulla,35,,33,35,98,151,122,122,112,52,50,NR,130,127,123,137,143,52,363,28,30,43,30,,,,,,,,,,,,,,,,,,,2023-11-11
