State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-05-02
Average Price,Average Price,44.36,,30.56,35.88,84.18,152.32,124.55,117.4,93.08,44.5,58.72,188.37,135.46,126.31,124.05,123.05,101.77,53.13,282.65,22.43,28.27,31.4,32.84,,,,,,,,,,,,,,,,,,,2024-05-02
Maximum Price,Maximum Price,75,,55,69,140,201,180,180,158,70,83,262,230,220,185,230,175,167,560,33,70,73,97,,,,,,,,,,,,,,,,,,,2024-05-02
Minimum Price,Minimum Price,23,,22,25,60,87,80,83,70,37,38,120,107,91,100,101,80,36,156,9,12,15,15,,,,,,,,,,,,,,,,,,,2024-05-02
Modal Price,Modal Price,40,,28,35,80,160,120,120,100,44,60,200,140,120,110,115,100,50,300,28,30,30,30,,,,,,,,,,,,,,,,,,,2024-05-02
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-05-02
Chandigarh,Chandigarh,NR,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,,,,,,,,,,,,,,,,,,,2024-05-02
Delhi,Delhi,38,,29,31,88,170,145,120,90,45,54,212,146,132,132,131,106,60,245,26,30,40,40,,,,,,,,,,,,,,,,,,,2024-05-02
Haryana,Hisar,32,,28,30,75,145,105,105,75,42,57,190,120,115,120,120,100,43,243,25,13,22,31,,,,,,,,,,,,,,,,,,,2024-05-02
Haryana,Karnal,67,,33,39,88,126,123,124,125,47,67,183,136,144,145,175,133,49,280,30,20,43,33,,,,,,,,,,,,,,,,,,,2024-05-02
Haryana,Panchkula,35,,33,36,82,134,101,110,95,44,60,151,127,128,111,154,91,52,213,27,25,55,32,,,,,,,,,,,,,,,,,,,2024-05-02
Haryana,Gurgaon,40,,25,35,65,100,95,90,88,42,56,185,165,130,137,163,100,44,190,20,15,35,25,,,,,,,,,,,,,,,,,,,2024-05-02
Himachal Pradesh,Shimla,44,,NR,37,88,168,148,125,95,50,60,214,165,139,123,NR,NR,55,220,28,33,32,40,,,,,,,,,,,,,,,,,,,2024-05-02
