State,Centre,Rice,Broken Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Bajra (whole),Jowar (whole),Maida (wheat),Ragi (whole),Suji (whole),Besan,Desi Ghee,Butter (Pasteurised),Eggs,Brinjal,Black Pepper (whole),Coriander (whole),Cummin Seed (whole),Red Chillies (whole),Turmeric (powder),Banana,Ginger,Garlic,Date
Unit,Qty,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 ltr,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,1 Kg,100 gm,Dozen,1 Kg,100 gm,250 gm,100 gm,100 gm,50 gm,1 Kg,100 gm,100 gm,2024-02-28
Average Price,Average Price,44.21,,30.95,36.17,83.61,149,123.53,116.84,93.55,44.41,58.71,190.04,135.27,125.07,122.51,123.22,98.65,52.78,282.23,22.5,22.6,33.42,31.18,,,,,,,,,,,,,,,,,,,2024-02-28
Maximum Price,Maximum Price,75,,62,69,139,203,179,180,157,70,83,262,235,220,180,240,175,167,560,33,65,77,113,,,,,,,,,,,,,,,,,,,2024-02-28
Minimum Price,Minimum Price,25,,21,27,60,87,80,85,69,37,38,114,103,90,93,95,77,32,157,9,9,17,8,,,,,,,,,,,,,,,,,,,2024-02-28
Modal Price,Modal Price,40,,28,35,80,160,120,120,100,44,60,195,130,120,120,120,90,50,300,28,20,30,30,,,,,,,,,,,,,,,,,,,2024-02-28
NORTH ZONE,NORTH ZONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-02-28
Chandigarh,Chandigarh,42,,32,36,80,135,115,113,94,45,59,190,150,128,130,145,105,51,276,27,12,37,45,,,,,,,,,,,,,,,,,,,2024-02-28
Delhi,Delhi,40,,29,31,80,157,143,122,85,44,54,211,135,119,122,133,98,57,248,26,17,40,45,,,,,,,,,,,,,,,,,,,2024-02-28
Haryana,Hisar,35,,27,29,74,151,105,105,75,42,57,191,118,104,115,123,101,41,241,24,12,23,33,,,,,,,,,,,,,,,,,,,2024-02-28
Haryana,Karnal,63,,32,39,86,126,120,122,125,46,66,180,135,135,143,175,132,43,279,30,18,45,29,,,,,,,,,,,,,,,,,,,2024-02-28
