வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
55,திரு,நவீன்,லத்திப்,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,
55,திரு,சுலைமான் ,சுல்தான் ,ஆண்,48,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
55,திரு,கணேஷ்,தூண்டில்,ஆண்,34,சுயேட்சை வேட்பாளர்,
55,திரு,இரவி ,லக்ஷ்மிபதி,ஆண்,57,Desiya Makkal Sakthi Katchi,
55,திரு,அருண்,சேகர்,ஆண்,38,சுயேட்சை வேட்பாளர்,
55,திரு,அப்பாஸ்,கா.தோப்பு முகம்மது,ஆண்,64,சுயேட்சை வேட்பாளர்,
55,திரு,அப்துல் கபார் கான்,நாகூர் மஜித் ,ஆண்,51,சுயேட்சை வேட்பாளர்,
55,திரு,ஸ்ரீதர்,புரசைகுமரன்,ஆண்,57,Amma Makkal Munnettra Kazagam,
55,திரு,ஜோசப் விமல் ராஜ்,புஷ்பாநாதன்,ஆண்,38,Makkal Needhi Maiam,
55,திரு,தனபால் ,பாண்டியன்,ஆண்,61,சுயேட்சை வேட்பாளர்,
55,திரு,ஷேக் அப்துல்லா,முகமது,ஆண்,55,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
55,திரு,வெங்கடேஷ்,எஸ். மாரியப்பன் ,ஆண்,36,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
55,திரு,முசமில் பாஷா,ஹலில் பாஷா,ஆண்,32,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
55,திரு,முகம்மது ரசூல்,இர்சாத்,ஆண்,49,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
55,திரு,தரணி,நா . ராமலிங்கம்,ஆண்,52,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
55,திரு,சீனி முகம்மது,சாகுல் ஹமிது,ஆண்,42,Amma Makkal Munnettra Kazagam, திரும்பப்பெறப் பட்டது 
55,திரு,சாய் பிரியன்,ப. பரமசிவம்,ஆண்,31,சுயேட்சை வேட்பாளர், நிராகரிக்கப் பட்டது 
55,திரு,முகம்மது இஸ்மாயில்,நாகூர் அனிபா,ஆண்,29,Manithaneya Jananayaga Katchi, திரும்பப்பெறப் பட்டது 
55,திரு,முகமது யாசர் கனி ,சம்சு உசேன் ,ஆண்,33,Social Democratic Party of India, நிராகரிக்கப் பட்டது 
56,திரு,ஜாகிர் உசேன்,அப்துல் ரஹிம்,ஆண்,44,சுயேட்சை வேட்பாளர்,
56,திரு,ராஜா,என்.இ.எம். ஷாஜஹான்,ஆண்,39,Social Democratic Party of India,
56,திரு,பிரபாகரன்,ஜி. அருள்சுடர்,ஆண்,35,சுயேட்சை வேட்பாளர்,
56,திரு,தினகரன் ,து.கிருஷ்ணன் ,ஆண்,48,Pattali Makkal Katchi,
56,திரு,டேவிட்,டோம்னிகசாவியோ,ஆண்,41,Naam Tamilar Katchi,
56,திரு,கோபி,ரா.பன்னீர்செல்வம்,ஆண்,43,பகுஜன் சமாஜ் கட்சி,
56,திரு,கார்மேகம்,க.கந்தசாமி,ஆண்,59,பாரதிய ஜனதா கட்சி,
56,திரு,இஸ்மாயில் கனி ,எம்.எ.எம்.முகமது இக்பால் ,ஆண்,50,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
56,திரு,மோகன்ராஜ்,பத்மநாபன் ஆர்,ஆண்,43,சுயேட்சை வேட்பாளர்,
56,திரு,முகமது ரபி,இஸ்மாயில்,ஆண்,58,Amma Makkal Munnettra Kazagam,
56,திரு,ரகு,ஆறுமுகம்,ஆண்,52,Makkal Needhi Maiam,
56,திரு,பரிமளம்,வெங்கடேசன் டி,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,
56,திரு,ரெங்கராஜா,பிஆர். ராஜகோபால்,ஆண்,43,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
56,திரு,தண்டபாணி,சண்முகம்,ஆண்,41,Amma Makkal Munnettra Kazagam, திரும்பப்பெறப் பட்டது 
56,திரு,சகாயராஜ்,பாக்கிய இருதயம்,ஆண்,54,தேசிய முற்போக்கு திராவிட கழகம், திரும்பப்பெறப் பட்டது 
