வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,வேட்புமனுவின் நிலை
1,திரு,மணிவர்மா,குமார்,ஆண்,33,Pattali Makkal Katchi,
1,திரு,சிவக்குமார் ,முருகேசன் ந ,ஆண்,43,திராவிட முன்னேற்றக் கழகம்,
1,திரு,கௌஸ் பாஷா,அப்துல் சத்தார்,ஆண்,45,Makkal Needhi Maiam,
1,திரு,கண்ணன்,கண்னையன்,ஆண்,46,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
1,திரு,தேவசகாயம்,லோ அம்பிகாபதி,ஆண்,47,Amma Makkal Munnettra Kazagam,
1,திரு,ஞானபிரகாஷ்,விஸ்வநாதன்,ஆண்,40,Naam Tamilar Katchi,
1,திரு,மகேந்திரன்,பூபதி,ஆண்,64,பாரதிய ஜனதா கட்சி,
1,திருமதி,சரிதா,எம்  சிவகுமார்,பெண்,37,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
2,திருமதி,கோமதி சந்தோஷ்குமார்,கே  சந்தோஷ்குமார்,பெண்,38,சுயேட்சை வேட்பாளர்,
2,திருமதி,ஜெரோமி  வெர்ஜினியா,எடின் பரோ,பெண்,36,Indiya Jananayaka Katchi,
2,திருமதி,லதா,ஆ  சின்னப்பிள்ளை,பெண்,45,Amma Makkal Munnettra Kazagam,
2,திருமதி,ராஜாத்தி,சிலம்புவேந்தன்   சே,பெண்,36,Naam Tamilar Katchi,
2,திருமதி,பூங்கோதை,எம்.தங்கராஜ்,பெண்,67,பாரதிய ஜனதா கட்சி,
2,திருமதி,சாந்தி,த.கோ. மோகன்,பெண்,47,Pattali Makkal Katchi,
2,திருமதி,பவானி,கோவிந்தராஜ்,பெண்,40,தேசிய முற்போக்கு திராவிட கழகம்,
2,திருமதி,பாண்டியம்மாள்,ரவி   மு,பெண்,41,சுயேட்சை வேட்பாளர்,
2,திருமதி,நித்திய ஸ்ரீ,ஆண்டனி பாலன்,பெண்,31,Makkal Needhi Maiam,
2,திருமதி,மித்ரா,எ. முருகவேல்,பெண்,39,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
2,திருமதி,மோகனா,ந. திரிசங்கு,பெண்,45,திராவிட முன்னேற்றக் கழகம்,
2,திருமதி,லட்சுமி,எம்  வஜ்ஜிரவேலு,பெண்,35,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
3,திரு,அரவிந்தன்,என். வீரப்பன்,ஆண்,52,Naam Tamilar Katchi,
3,திரு,சார்லஸ்,வெற்றிசெல்வன்,ஆண்,33,Indiya Jananayaka Katchi,
3,திரு,சண்முகம்,முருகேசன்,ஆண்,56,Makkal Needhi Maiam,
3,திரு,தமிழரசன்,யு  போஸ்,ஆண்,47,திராவிட முன்னேற்றக் கழகம்,
3,திரு,மணிவண்ணன்,கண்ணைய்யா,ஆண்,51,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
3,திரு,சூர்யா,சிவசுந்தரம் ,ஆண்,23,Pattali Makkal Katchi,
3,திரு,ஜெயபிரகாஷ்,யு.தங்கராஜ்,ஆண்,44,பாரதிய ஜனதா கட்சி,
3,திரு,முரளிகிருஷ்ணன்,கே.மணிவண்ணன்,ஆண்,24,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
4,திரு,பாலயோகீஸ்வரன்,சண்முகம்,ஆண்,46,சுயேட்சை வேட்பாளர்,
4,திரு,செல்வம்,பரசுராமன்,ஆண்,51,Amma Makkal Munnettra Kazagam,
4,திரு,ராஜ்குமார்,சுமித்ரா,ஆண்,26,சுயேட்சை வேட்பாளர்,
4,திரு,மகேஷ்,ஆறுமுகம்  தெ,ஆண்,37,Makkal Needhi Maiam,
4,திரு,பிரசாத்,சி  ஹரி,ஆண்,27,சுயேட்சை வேட்பாளர்,
4,திரு,பவுல்ராஜ்,அந்தோணி சாமி,ஆண்,39,தேசிய முற்போக்கு திராவிட கழகம்,
4,திரு,நரேந்திரன்,தயாளன் வ,ஆண்,32,பகுஜன் சமாஜ் கட்சி,
4,திரு,சீதாராமன்,முருகேசன்,ஆண்,72,Aam Aadmi Party,
4,திரு,சரவணன்,சண்முகம்,ஆண்,50,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
4,திரு,இளஞ்செழியன்,எ  எல்   ராஜபாண்டியன்,ஆண்,50,Naam Tamilar Katchi,
4,திரு,சிவசங்கர்,குருசாமி,ஆண்,42,பாரதிய ஜனதா கட்சி,
4,திரு,ஜெயராமன்,சி. இரத்தினம்,ஆண்,69,இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்),
4,திரு,சரவணன்,ரா. ப பரசுராமன்,ஆண்,38,சுயேட்சை வேட்பாளர்,
4,திரு,ரவி,வி.கணேசன்,ஆண்,51,சுயேட்சை வேட்பாளர்,
4,திரு,கோபால்,வி.கே.கண்ணபிரான்,ஆண்,40,Pattali Makkal Katchi,
4,திரு,அருமைராஜ் ,அய்யாக்கண்ணு ,ஆண்,48,இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்), திரும்பப்பெறப் பட்டது 
4,திருமதி,பூங்கொடி,சரவணன்,பெண்,47,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
5,திரு,சொக்கலிங்கம்,பரசுராமன்,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,
5,திரு,ஸ்ரீ  திருமலை,ர  ராமு  ,ஆண்,38,Pattali Makkal Katchi,
5,திரு,லெனின்,ஜீ. காசி,ஆண்,49,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
5,திரு,மைக்கேல்ராஜ்,முத்து ஆபிரகாம்,ஆண்,52,சுயேட்சை வேட்பாளர்,
5,திரு,திருமுருகன்,அகஸ்திய  சொருபலிங்கம் ,ஆண்,41,பாரதிய ஜனதா கட்சி,
5,திரு,முகமது பாஷா,இஸ்மாயில்  ஷே,ஆண்,51,Makkal Needhi Maiam,
5,திரு,சதிஷ் குமார்,பி  வேலு பிச்சை,ஆண்,40,Naam Tamilar Katchi,
5,திரு,செல்லபாண்டியன்,எஸ். பெரியசாமி,ஆண்,61,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
5,திரு,ஸ்டீபன்,சுமதி,ஆண்,23,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
6,திருமதி,ஹம்சவேணி,ச  சுந்தரம்,பெண்,45,பாரதிய ஜனதா கட்சி,
6,திரு,ஜேம்ஸ் மார்டின்,செ மார்க்,ஆண்,34,Tamil Nadu Ilangyar Katchi,
6,திரு,டில்லி,அ  நாகப்பன் ,ஆண்,63,Pattali Makkal Katchi,
6,திரு,சாமுவேல்  திரவியம் ,மி மனுவேல்  ராஜ்  ,ஆண்,53,இந்திய தேசிய காங்கிரஸ் ,
6,திருமதி,செல்லம் ,மனோகரன்,பெண்,53,சுயேட்சை வேட்பாளர்,
6,திரு,இன்பராஜ்,செல்வராஜ்,ஆண்,31,தேசிய முற்போக்கு திராவிட கழகம்,
6,திருமதி,மோகனசுந்தரி,ஆறுமுகம்,பெண்,50,Makkal Needhi Maiam,
6,திரு,மணிக்குமார்,ராஜாராம்,ஆண்,50,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
6,திரு,ஆனந்தன் ,எஸ் சம்பந்தம்,ஆண்,48,Amma Makkal Munnettra Kazagam,
6,திரு,பிரகாஷ்,ராமலிங்கம்,ஆண்,50,சுயேட்சை வேட்பாளர்,
6,திரு,ஆதிஅழகு ராமமூர்த்தி,முத்துபாண்டி,ஆண்,55,Naam Tamilar Katchi,
6,திரு,கிருஷ்ணகுமார்,மணிக்குமார்,ஆண்,21,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
6,திரு,சக்கரபாணி,பி.எஸ்.மணி,ஆண்,50,Pattali Makkal Katchi, திரும்பப்பெறப் பட்டது 
7,திரு,லோகநாதன்,பக்தவச்சலம்,ஆண்,39,Pattali Makkal Katchi,
7,திரு,ராம்கி,சங்கர்,ஆண்,29,சுயேட்சை வேட்பாளர்,
7,திரு,பாலாஜி,கிருஷ்ணமூர்த்தி,ஆண்,37,Makkal Needhi Maiam,
7,திரு,தியாகராஜன் ,அ  வாசுதேவன் ,ஆண்,37,சுயேட்சை வேட்பாளர்,
7,திரு,தியாகராஜன்,பி.லோகநாதன்,ஆண்,39,பாரதிய ஜனதா கட்சி,
7,திரு,செந்தில் குமார்,நாகராஜன் வே,ஆண்,42,Amma Makkal Munnettra Kazagam,
7,திரு,சீனிவாசன்,சேகர்,ஆண்,38,சுயேட்சை வேட்பாளர்,
7,திருமதி,கோமளவள்ளி  ,சொ  மணிகண்டன்,பெண்,38,திராவிட முன்னேற்றக் கழகம்,
7,திரு,கார்த்திக்,கே குப்பன்,ஆண்,38,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
7,திருமதி,கலைமதி,வ. நெடுஞ்செழியன்,பெண்,46,சுயேட்சை வேட்பாளர்,
7,திரு,ஆதித்தியன்,சந்திரன்,ஆண்,28,Naam Tamilar Katchi,
7,திரு,ஆதிசேஷ், பொ  ஆதிகுருசாமி,ஆண்,27,சுயேட்சை வேட்பாளர்,
7,திரு,ஆதிகுருசாமி,பொன்மாடசாமி,ஆண்,56,சுயேட்சை வேட்பாளர்,
7,திரு,முரளி ,ச  மாடசாமி  ,ஆண்,30,தேசிய முற்போக்கு திராவிட கழகம்,
7,திரு,அபினேஷ்,ந.ரமேஷ்,ஆண்,24,சுயேட்சை வேட்பாளர்,
7,திரு,ஜனகராஜ்,எஸ் மாடக்கண்,ஆண்,43,சுயேட்சை வேட்பாளர்,
7,திரு,கார்த்திகேயன்,மொங்கன்,ஆண்,24,சுயேட்சை வேட்பாளர்,
7,திரு,ஸ்டீபன்,எல். சௌந்தர்ராஜன்,ஆண்,45,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
7,திரு,மணிகண்டன்,சொக்கலிங்கம் ,ஆண்,40,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
8,திருமதி,ராஜகுமாரி,விஜயன்,பெண்,60,திராவிட முன்னேற்றக் கழகம்,
8,திருமதி,தில்லை ராதிகா,எம். ஆர். சந்திர மோகன்,பெண்,41,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
8,திருமதி,கௌதமி,என் .சிவராஜ்,பெண்,32,Amma Makkal Munnettra Kazagam,
8,திருமதி,சாமந்தி,முருகன்,பெண்,38,Pattali Makkal Katchi,
8,திருமதி,ஜெயலட்சுமி,ஆர். விட்டல்ராஜ்,பெண்,53,பாரதிய ஜனதா கட்சி,
8,திருமதி,உஷாராணி,டி. ஆனந்த ராஜ்,பெண்,45,Makkal Needhi Maiam,
8,திருமதி,ஆனந்தி,சி. வேலு,பெண்,48,Naam Tamilar Katchi,
8,திருமதி,வாசுகி,கு இளவரசன்,பெண்,47,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
8,திருமதி,சுகந்தா,கி. முனுசாமி,பெண்,57,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
8,திருமதி,பிரியா அன்பரசன்,எம். ஆர். அன்பரசன்,பெண்,38,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
8,திருமதி,ஜெயலட்சுமி,மணிகண்டன்,பெண்,27,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
9,திருமதி,முத்துச்செல்வி,எஸ். பி. சந்திரன்,பெண்,42,பாரதிய ஜனதா கட்சி,
9,திருமதி,மீனாட்சி,சீனிவாசன்,பெண்,40,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
9,திருமதி,தேவி ,தட்சணாமூர்த்தி ,பெண்,35,Naam Tamilar Katchi,
9,திருமதி,கீர்த்தனா சரவணன்,எம். எல். சரவணன்,பெண்,28,சுயேட்சை வேட்பாளர்,
9,திருமதி,உமா சரவணன்,எம் எல் சரவணன்,பெண்,50,திராவிட முன்னேற்றக் கழகம்,
9,திருமதி,சித்ரா,தியாகராஜன்,பெண்,31,சுயேட்சை வேட்பாளர்,
9,திருமதி,சாமந்தி,முருகன்,பெண்,38,Pattali Makkal Katchi,
9,திருமதி,ஆர்த்தி,கே. சேகர்,பெண்,50,சுயேட்சை வேட்பாளர்,
9,திருமதி,மதிவதனம் ,இரா. ஜெயகுமார்,பெண்,68,Amma Makkal Munnettra Kazagam,
9,திருமதி,உமாராணி  ,பிரபாகரன் ,பெண்,37,Makkal Needhi Maiam,
9,செல்வி,சௌந்தர்யா,பா முருகேசன்,பெண்,22,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
9,திருமதி,திலகவதி,எம். சிற்றரசு,பெண்,33,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
10,திரு,நிரஞ்சன் பிரசாந்த்,ஸ்ரீ ஜெயன்,ஆண்,29,சுயேட்சை வேட்பாளர்,
10,திரு,ரவிசந்திரன்,ஆர். ராஜன்,ஆண்,53,Pattali Makkal Katchi,
10,திரு,தனியரசு,முருகேசன்,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,
10,திரு,சுதன்,எஸ். சூரியபாபு,ஆண்,34,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
10,திரு,அருண் குமார்,தேவேந்திரன்,ஆண்,39,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
10,திரு,சீனிவாசுலு,எஸ் .ரமணய்யா ,ஆண்,36,Makkal Needhi Maiam,
10,திரு,சிவகுமார்,ஜெயசந்திரன் டி. கே.,ஆண்,48,சுயேட்சை வேட்பாளர்,
10,திரு,வாசு,எம். சக்கரபாணி,ஆண்,54,சுயேட்சை வேட்பாளர்,
10,திரு,நிக்கல் குமார்,ப. உதயகுமார்,ஆண்,24,Naam Tamilar Katchi,
10,திரு,சரவணன்,க புஷ்பநாதன்,ஆண்,33,சுயேட்சை வேட்பாளர்,
10,திரு,மணிகண்டன்,க. ச. முரளிதரன்,ஆண்,45,பாரதிய ஜனதா கட்சி,
10,திரு,ஆனந்த்,கெ. ஜெயராமன்,ஆண்,42,Amma Makkal Munnettra Kazagam, திரும்பப்பெறப் பட்டது 
10,திரு,ஜெகதீஷ்,எஸ். சூரியபாபு,ஆண்,31,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
10,திரு,ஓம் பிரகாஷ் ,பி. ராஜீ ,ஆண்,43,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
10,திரு,தமிழ்செல்வன்,டி. சந்தான கிருஷ்ணன்,ஆண்,61,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
11,திருமதி,புஷ்பா வெங்கடேசன்,எஸ். வெங்கடேசன்,பெண்,41,தேசிய முற்போக்கு திராவிட கழகம்,
11,திருமதி,சரண்யா,மு. கலைவாணன்,பெண்,28,திராவிட முன்னேற்றக் கழகம்,
11,திருமதி,கலையரசி,பாஸ்கரன்,பெண்,37,சுயேட்சை வேட்பாளர்,
11,திருமதி,நந்தினி,பெ. சதீஷ் குமார்,பெண்,23,Pattali Makkal Katchi,
11,திருமதி,காந்திமதி,பி. சரவணகுமார்,பெண்,44,பாரதிய ஜனதா கட்சி,
11,திருமதி,காயத்ரி,ஜெ. தமிழரசு,பெண்,31,Makkal Needhi Maiam,
11,திருமதி,உமாமகேஸ்வரி,கர்ணன்,பெண்,45,Naam Tamilar Katchi,
11,திருமதி,ஜெப ராணி,டி. பால் ராஜ்,பெண்,53,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
11,திருமதி,சுசிலா,இ. சௌந்தர்ராஜ்,பெண்,53,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
11,திருமதி,ஜெயபிரபா,டி. முத்து,பெண்,45,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
12,திரு,ஹரிகிருஷ்ணன்,ஆர். வரதராஜன்,ஆண்,29,பாரதிய ஜனதா கட்சி,
12,திரு,ஜமால்,காலேஷா,ஆண்,27,Naam Tamilar Katchi,
12,திரு,வெங்கடேஷ்,ஏ. உமாபதி,ஆண்,27,Amma Makkal Munnettra Kazagam,
12,திரு,ராமநாதன்,இரா. நடராஜன்,ஆண்,22,சுயேட்சை வேட்பாளர்,
12,திரு,மோகன் ராஜ்,டி. கஜேந்திரன்,ஆண்,32,சுயேட்சை வேட்பாளர்,
12,திரு,முரளி,பார்த்தசாரதி,ஆண்,54,சுயேட்சை வேட்பாளர்,
12,திரு,முரளி,இ. சுப்பிரமணி,ஆண்,37,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
12,திரு,மணிகண்டன்,மா. சங்கர்,ஆண்,30,Pattali Makkal Katchi,
12,திரு,குமார்,ஏழுமலை,ஆண்,59,சுயேட்சை வேட்பாளர்,
12,திரு,கிருஷ்ணன்,ஆர். கே. சுந்தரம்,ஆண்,47,சுயேட்சை வேட்பாளர்,
12,திரு,கவி கணேசன்,க வீராசாமி,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,
12,திரு,அருளானந்தன்,எம். ராமசந்திரன்,ஆண்,41,தேசிய முற்போக்கு திராவிட கழகம்,
12,திரு,சேகர்,சி. கண்ணப்பன்,ஆண்,56,Makkal Needhi Maiam,
12,திருமதி,சாந்தி,இ. சுப்பிரமணி,பெண்,55,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
12,திரு,வசந்த குமார்,முனுசாமி,ஆண்,35,சுயேட்சை வேட்பாளர்,
12,திரு,சதீஷ்குமார் ,க  வீராசாமி ,ஆண்,45,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
13,செல்வி,யோக பிரியா,ரமணகுமார்,பெண்,24,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
13,திருமதி,கோமதி,டி. ரமண குமார்,பெண்,46,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
13,திருமதி,சுசீலா,ம. ராஜா,பெண்,55,திராவிட முன்னேற்றக் கழகம்,
13,திருமதி,ராணி,ஆர் ஸ்ரீ திருமலை,பெண்,36,Pattali Makkal Katchi,
13,திருமதி,பிரபாவதி,பா பாஸ்கர்,பெண்,39,பாரதிய ஜனதா கட்சி,
13,திருமதி,லட்சுமி,வீ. செ. சண்முகம்,பெண்,55,Amma Makkal Munnettra Kazagam,
13,திருமதி,பவானி,மணிகுமார். கா,பெண்,38,Naam Tamilar Katchi,
13,திருமதி,நதியா,ரா. ஆனந்த்,பெண்,34,Makkal Needhi Maiam,
13,திருமதி,ராஜேஷ்வரி,ராஜேஷ்,பெண்,38,சுயேட்சை வேட்பாளர்,
13,திருமதி,உஷா தேவி,மு. ரவிக்குமார்,பெண்,39,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
14,திருமதி,ஜெபமாலை மேரி,டி. செபஸ்டின்,பெண்,36,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
14,திருமதி,மேகலா கண்ணன்,கண்ணன்,பெண்,45,தேசிய முற்போக்கு திராவிட கழகம்,
14,திருமதி,சோனியா,ரமேஷ் குமார். ந,பெண்,26,சுயேட்சை வேட்பாளர்,
14,திருமதி,கலைச்செல்வி,மு. லட்சுமணன்,பெண்,36,Naam Tamilar Katchi,
14,திருமதி,பானுமதி,ரா சந்தர்,பெண்,45,திராவிட முன்னேற்றக் கழகம்,
14,திருமதி,சித்ரா,ஆர். ராஜேஷ்,பெண்,36,Makkal Needhi Maiam,
14,திருமதி,உமாராமலட்சுமி,வே. செல்வகுமார்,பெண்,37,பாரதிய ஜனதா கட்சி,
14,திருமதி,கதிஜா பீவி,முகமது கனி,பெண்,41,Social Democratic Party of India,
14,திருமதி,சாந்தி,த கோ மோகன்,பெண்,47,Pattali Makkal Katchi,
14,திருமதி,காமாட்சி,ர. ரவிக்குமார்,பெண்,34,Amma Makkal Munnettra Kazagam,
14,திருமதி,சாக்ரா பானு,முஹமது அலி,பெண்,33,Social Democratic Party of India, திரும்பப்பெறப் பட்டது 
14,செல்வி,சுகுணா,ஆர். பிரகாஷ்,பெண்,42,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
14,திருமதி,சோபனா,கா. கார்த்திகேயன்,பெண்,47,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
14,திருமதி,எப்ஸி,டி. மேஷாக்தர்சத்தியா,பெண்,54,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
14,திருமதி,நிர்மலா,ஆர். சிவகுமார்,பெண்,42,Tamil Maanila Congress (Moopanar), திரும்பப்பெறப் பட்டது 
15,திருமதி,வனிதா ,குபேந்திரன் ,பெண்,43,Pattali Makkal Katchi,
15,திருமதி,மாலதி ,மாதவன் ச ,பெண்,39,பாரதிய ஜனதா கட்சி,
15,திருமதி,சாந்தகுமாரி ,நந்தகுமார் க,பெண்,44,சுயேட்சை வேட்பாளர்,
15,திருமதி,கோமதி ,மதுகுமார் மா ,பெண்,32,சுயேட்சை வேட்பாளர்,
15,திருமதி,பூங்கொடி ,பா.கெங்காதரன் ,பெண்,38,Naam Tamilar Katchi,
15,திருமதி,மோகனா ,காமராஜ் ,பெண்,37,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
15,திருமதி,நந்தினி ,இரா சண்முகம் ,பெண்,38,திராவிட முன்னேற்றக் கழகம்,
15,திருமதி,லாவண்யா ,ராஜேஷ் ,பெண்,31,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
15,திருமதி,ரம்யா ,கி ராஜசேகரன் ,பெண்,40,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
15,திருமதி,சித்ரா ,கோதண்டம் ,பெண்,39,Pattali Makkal Katchi, திரும்பப்பெறப் பட்டது 
15,திருமதி,கல்பனா ,ஏ சுதாகர் ,பெண்,41,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
15,திருமதி,நிர்மலா ,சு ருக்மாங்கதன் ,பெண்,52,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
16,திரு,ராஜா ,துரை ,ஆண்,39,பாரதிய ஜனதா கட்சி,
16,திரு,தேவேந்திரன் ,மு. செல்வராஜ் ,ஆண்,45,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
16,திரு,சூர்யா ,சிவசுந்தரம் ,ஆண்,23,Pattali Makkal Katchi,
16,திருமதி,சுபா ,அ தமிழரசன் ,பெண்,30,Amma Makkal Munnettra Kazagam,
16,திரு,ஐயப்பன் ,ம சண்முகம் ,ஆண்,33,Naam Tamilar Katchi,
16,திரு,விஜயகுமார்,வேணுகோபால்,ஆண்,56,சுயேட்சை வேட்பாளர்,
16,திரு,இராஜேந்திரன் ,மு ஆறுமுகம் ,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,
16,திரு,இளவரசன் ,எ வேணு ,ஆண்,38,சுயேட்சை வேட்பாளர்,
16,திருமதி,வேல்விழி,தேவேந்திரன் ,பெண்,38,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
16,திரு,ரமேஷ் ,அச்சுதன் ,ஆண்,53,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
16,திரு,உதயகுமார் ,மு ஆறுமுகம் ,ஆண்,44,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
16,திருமதி,அனிதா,ராஜா து ,பெண்,32,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
17,திரு,ஜெய்சங்கர்,ரத்தினம்,ஆண்,51,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
17,திருமதி,விண்ணரசி ,வெங்கடேஷ் ,பெண்,29,Amma Makkal Munnettra Kazagam,
17,திரு,விக்னேஸ்வரன்,சி.பன்னீர் செல்வம் ,ஆண்,49,பாரதிய ஜனதா கட்சி,
17,திருமதி,தமிழ்செல்வி ,ராஜா ,பெண்,36,Pattali Makkal Katchi,
17,திரு,சரவணமுத்து ,பிச்சைமுத்து மு ,ஆண்,41,Naam Tamilar Katchi,
17,திருமதி,கவிதா ,நாராயணன் ,பெண்,44,திராவிட முன்னேற்றக் கழகம்,
17,திருமதி,ரதியா,ஜெயஷங்கர் ,பெண்,42,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
17,திரு,அஜய் தென்னவன் ,நாராயணன் ,ஆண்,24,திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
17,திருமதி,சித்ரா பிரியா ,ப விக்னேஸ்வரன் ,பெண்,43,பாரதிய ஜனதா கட்சி, திரும்பப்பெறப் பட்டது 
18,திரு,ஸ்ரீதரன்,முனுசாமி ,ஆண்,54,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
18,திரு,விஜயன் ,எஸ் ஜெயபால் ,ஆண்,40,Viduthalai Chiruthaigal Katchi,
18,திரு,முனுசாமி ,கன்னியப்பன் ,ஆண்,43,தேசிய முற்போக்கு திராவிட கழகம்,
18,திரு,பாஸ்கரன் ,முனுசாமி ,ஆண்,56,சுயேட்சை வேட்பாளர்,
18,திரு,பாலாஜி ,கோவிந்தன் ,ஆண்,34,Naam Tamilar Katchi,
18,திரு,சுரேஷ் ,கணேசன் ,ஆண்,47,பாரதிய ஜனதா கட்சி,
18,திரு,குருமூர்த்தி ,ராமமூர்த்தி ,ஆண்,31,சுயேட்சை வேட்பாளர்,
18,திரு,கிஷோர்,முக்கேஷ் குமார் ,ஆண்,23,Makkal Needhi Maiam,
18,திரு,காமராஜ்,து சொக்கலிங்கம்,ஆண்,52,சுயேட்சை வேட்பாளர்,
18,திருமதி,மகேஸ்வரி,ரவி,பெண்,52,சுயேட்சை வேட்பாளர்,
18,திரு,அசோக்குமார் ,அன்பு ,ஆண்,32,Pattali Makkal Katchi,
18,செல்வி,பாரதி ,ஸ்ரீதரன் ,பெண்,24,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம், திரும்பப்பெறப் பட்டது 
18,திரு,பலராமன் ,பொன்னன்  ,ஆண்,52,சுயேட்சை வேட்பாளர், திரும்பப்பெறப் பட்டது 
18,திரு,அஜித்குமார் ,கி சண்முகம் ,ஆண்,25,Viduthalai Chiruthaigal Katchi, திரும்பப்பெறப் பட்டது 
19,திரு,ஷேக் பரீத்,இப்ராகிம் அலி,ஆண்,35,Amma Makkal Munnettra Kazagam,
19,திரு,பிரகாஷ்,பஞ்சாட்சரம்,ஆண்,47,சுயேட்சை வேட்பாளர்,
19,திரு,பழனி,பொன்னுசாமி,ஆண்,72,சுயேட்சை வேட்பாளர்,
19,திரு,துரைராஜ்,கருப்பையா,ஆண்,49,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,
19,திரு,சேகர்,சுப்பிரமணி,ஆண்,67,Pattali Makkal Katchi,
