City,Deaths,Mode of transport,Person
ALLAHABAD,0.0,Truck/Lorry,Victims
ALLAHABAD,0.0,Truck/Lorry,Total
ALLAHABAD,0.0,Bus,Offenders
ALLAHABAD,0.0,Bus,Victims
ALLAHABAD,0.0,Bus,Total
ALLAHABAD,4.0,SUV/Station Wagon/etc.,Offenders
ALLAHABAD,3.0,SUV/Station Wagon/etc.,Victims
ALLAHABAD,7.0,SUV/Station Wagon/etc.,Total
AMRITSAR,0.0,Car,Offenders
AMRITSAR,2.0,Car,Victims
AMRITSAR,2.0,Car,Total
AMRITSAR,0.0,Jeep,Offenders
AMRITSAR,0.0,Jeep,Victims
AMRITSAR,0.0,Jeep,Total
AMRITSAR,0.0,Tractor,Offenders
AMRITSAR,0.0,Tractor,Victims
AMRITSAR,0.0,Tractor,Total
AMRITSAR,0.0,Auto Rickshaw,Offenders
AMRITSAR,4.0,Auto Rickshaw,Victims
AMRITSAR,4.0,Auto Rickshaw,Total
AMRITSAR,0.0,Two Wheeler,Offenders
AMRITSAR,32.0,Two Wheeler,Victims
AMRITSAR,32.0,Two Wheeler,Total
AMRITSAR,0.0,Other Motor Vehicles,Offenders
AMRITSAR,4.0,Other Motor Vehicles,Victims
AMRITSAR,4.0,Other Motor Vehicles,Total
AMRITSAR,0.0,Bicycle,Offenders
AMRITSAR,6.0,Bicycle,Victims
AMRITSAR,6.0,Bicycle,Total
AMRITSAR,0.0,Hand Drawn Vehicle,Offenders
AMRITSAR,0.0,Hand Drawn Vehicle,Victims
AMRITSAR,0.0,Hand Drawn Vehicle,Total
AMRITSAR,0.0,Animal Drawn Vehicle,Offenders
AMRITSAR,0.0,Animal Drawn Vehicle,Victims
AMRITSAR,0.0,Animal Drawn Vehicle,Total
AMRITSAR,0.0,Pedestrian,Offenders
AMRITSAR,18.0,Pedestrian,Victims
AMRITSAR,18.0,Pedestrian,Total
AMRITSAR,0.0,Others,Offenders
AMRITSAR,0.0,Others,Victims
AMRITSAR,0.0,Others,Total
AMRITSAR,0.0,Truck/Lorry,Offenders
AMRITSAR,0.0,Truck/Lorry,Victims
AMRITSAR,0.0,Truck/Lorry,Total
AMRITSAR,0.0,Bus,Offenders
AMRITSAR,0.0,Bus,Victims
AMRITSAR,0.0,Bus,Total
AMRITSAR,0.0,SUV/Station Wagon/etc.,Offenders
AMRITSAR,0.0,SUV/Station Wagon/etc.,Victims
AMRITSAR,0.0,SUV/Station Wagon/etc.,Total
ASANSOL,0.0,Car,Offenders
ASANSOL,100.0,Car,Victims
ASANSOL,100.0,Car,Total
ASANSOL,0.0,Jeep,Offenders
ASANSOL,0.0,Jeep,Victims
ASANSOL,0.0,Jeep,Total
ASANSOL,0.0,Tractor,Offenders
ASANSOL,0.0,Tractor,Victims
ASANSOL,0.0,Tractor,Total
ASANSOL,0.0,Auto Rickshaw,Offenders
ASANSOL,0.0,Auto Rickshaw,Victims
ASANSOL,0.0,Auto Rickshaw,Total
ASANSOL,0.0,Two Wheeler,Offenders
ASANSOL,179.0,Two Wheeler,Victims
ASANSOL,179.0,Two Wheeler,Total
ASANSOL,0.0,Other Motor Vehicles,Offenders
ASANSOL,8.0,Other Motor Vehicles,Victims
ASANSOL,8.0,Other Motor Vehicles,Total
ASANSOL,0.0,Bicycle,Offenders
ASANSOL,0.0,Bicycle,Victims
ASANSOL,0.0,Bicycle,Total
ASANSOL,0.0,Hand Drawn Vehicle,Offenders
ASANSOL,0.0,Hand Drawn Vehicle,Victims
ASANSOL,0.0,Hand Drawn Vehicle,Total
ASANSOL,0.0,Animal Drawn Vehicle,Offenders
ASANSOL,0.0,Animal Drawn Vehicle,Victims
ASANSOL,0.0,Animal Drawn Vehicle,Total
ASANSOL,0.0,Pedestrian,Offenders
ASANSOL,27.0,Pedestrian,Victims
ASANSOL,27.0,Pedestrian,Total
ASANSOL,0.0,Others,Offenders
ASANSOL,0.0,Others,Victims
ASANSOL,0.0,Others,Total
ASANSOL,0.0,Truck/Lorry,Offenders
ASANSOL,0.0,Truck/Lorry,Victims
ASANSOL,0.0,Truck/Lorry,Total
ASANSOL,0.0,Bus,Offenders
ASANSOL,0.0,Bus,Victims
ASANSOL,0.0,Bus,Total
ASANSOL,0.0,SUV/Station Wagon/etc.,Offenders
ASANSOL,0.0,SUV/Station Wagon/etc.,Victims
ASANSOL,0.0,SUV/Station Wagon/etc.,Total
AURANGABAD,0.0,Car,Offenders
AURANGABAD,16.0,Car,Victims
AURANGABAD,16.0,Car,Total
AURANGABAD,0.0,Jeep,Offenders
AURANGABAD,8.0,Jeep,Victims
AURANGABAD,8.0,Jeep,Total
AURANGABAD,0.0,Tractor,Offenders
AURANGABAD,1.0,Tractor,Victims
AURANGABAD,1.0,Tractor,Total
AURANGABAD,0.0,Auto Rickshaw,Offenders
AURANGABAD,7.0,Auto Rickshaw,Victims
AURANGABAD,7.0,Auto Rickshaw,Total
AURANGABAD,6.0,Two Wheeler,Offenders
AURANGABAD,63.0,Two Wheeler,Victims
AURANGABAD,69.0,Two Wheeler,Total
AURANGABAD,0.0,Other Motor Vehicles,Offenders
AURANGABAD,3.0,Other Motor Vehicles,Victims
AURANGABAD,3.0,Other Motor Vehicles,Total
AURANGABAD,0.0,Bicycle,Offenders
AURANGABAD,0.0,Bicycle,Victims
AURANGABAD,0.0,Bicycle,Total
AURANGABAD,0.0,Hand Drawn Vehicle,Offenders
AURANGABAD,0.0,Hand Drawn Vehicle,Victims
AURANGABAD,0.0,Hand Drawn Vehicle,Total
AURANGABAD,0.0,Animal Drawn Vehicle,Offenders
AURANGABAD,0.0,Animal Drawn Vehicle,Victims
AURANGABAD,0.0,Animal Drawn Vehicle,Total
AURANGABAD,0.0,Pedestrian,Offenders
AURANGABAD,16.0,Pedestrian,Victims
AURANGABAD,16.0,Pedestrian,Total
AURANGABAD,0.0,Others,Offenders
AURANGABAD,0.0,Others,Victims
AURANGABAD,0.0,Others,Total
AURANGABAD,0.0,Truck/Lorry,Offenders
AURANGABAD,39.0,Truck/Lorry,Victims
AURANGABAD,39.0,Truck/Lorry,Total
AURANGABAD,0.0,Bus,Offenders
AURANGABAD,2.0,Bus,Victims
AURANGABAD,2.0,Bus,Total
AURANGABAD,0.0,SUV/Station Wagon/etc.,Offenders
AURANGABAD,2.0,SUV/Station Wagon/etc.,Victims
AURANGABAD,2.0,SUV/Station Wagon/etc.,Total
BENGALURU,4.0,Car,Offenders
BENGALURU,19.0,Car,Victims
BENGALURU,23.0,Car,Total
BENGALURU,1.0,Jeep,Offenders
BENGALURU,5.0,Jeep,Victims
BENGALURU,6.0,Jeep,Total
BENGALURU,0.0,Tractor,Offenders
BENGALURU,3.0,Tractor,Victims
BENGALURU,3.0,Tractor,Total
BENGALURU,4.0,Auto Rickshaw,Offenders
BENGALURU,5.0,Auto Rickshaw,Victims
BENGALURU,9.0,Auto Rickshaw,Total
BENGALURU,122.0,Two Wheeler,Offenders
BENGALURU,301.0,Two Wheeler,Victims
BENGALURU,423.0,Two Wheeler,Total
BENGALURU,0.0,Other Motor Vehicles,Offenders
BENGALURU,0.0,Other Motor Vehicles,Victims
BENGALURU,0.0,Other Motor Vehicles,Total
BENGALURU,0.0,Bicycle,Offenders
BENGALURU,5.0,Bicycle,Victims
BENGALURU,5.0,Bicycle,Total
BENGALURU,0.0,Hand Drawn Vehicle,Offenders
BENGALURU,0.0,Hand Drawn Vehicle,Victims
BENGALURU,0.0,Hand Drawn Vehicle,Total
BENGALURU,0.0,Animal Drawn Vehicle,Offenders
BENGALURU,0.0,Animal Drawn Vehicle,Victims
BENGALURU,0.0,Animal Drawn Vehicle,Total
BENGALURU,0.0,Pedestrian,Offenders
BENGALURU,163.0,Pedestrian,Victims
BENGALURU,163.0,Pedestrian,Total
BENGALURU,0.0,Others,Offenders
BENGALURU,0.0,Others,Victims
BENGALURU,0.0,Others,Total
BENGALURU,0.0,Truck/Lorry,Offenders
BENGALURU,7.0,Truck/Lorry,Victims
BENGALURU,7.0,Truck/Lorry,Total
BENGALURU,0.0,Bus,Offenders
BENGALURU,3.0,Bus,Victims
BENGALURU,3.0,Bus,Total
BENGALURU,1.0,SUV/Station Wagon/etc.,Offenders
BENGALURU,3.0,SUV/Station Wagon/etc.,Victims
BENGALURU,4.0,SUV/Station Wagon/etc.,Total
BHOPAL,0.0,Car,Offenders
BHOPAL,3.0,Car,Victims
BHOPAL,3.0,Car,Total
BHOPAL,0.0,Jeep,Offenders
BHOPAL,0.0,Jeep,Victims
BHOPAL,0.0,Jeep,Total
BHOPAL,0.0,Tractor,Offenders
BHOPAL,0.0,Tractor,Victims
BHOPAL,0.0,Tractor,Total
BHOPAL,0.0,Auto Rickshaw,Offenders
BHOPAL,0.0,Auto Rickshaw,Victims
BHOPAL,0.0,Auto Rickshaw,Total
BHOPAL,0.0,Two Wheeler,Offenders
BHOPAL,67.0,Two Wheeler,Victims
BHOPAL,67.0,Two Wheeler,Total
BHOPAL,0.0,Other Motor Vehicles,Offenders
BHOPAL,0.0,Other Motor Vehicles,Victims
BHOPAL,0.0,Other Motor Vehicles,Total
BHOPAL,0.0,Bicycle,Offenders
BHOPAL,0.0,Bicycle,Victims
BHOPAL,0.0,Bicycle,Total
BHOPAL,0.0,Hand Drawn Vehicle,Offenders
BHOPAL,0.0,Hand Drawn Vehicle,Victims
BHOPAL,0.0,Hand Drawn Vehicle,Total
BHOPAL,0.0,Animal Drawn Vehicle,Offenders
