VEHICLE NO,LOCATION,NO.OF BINS,IST TRIP,IIND TRIP,IIRD TRIP,REMARKS,Zone,Div,Shift
TN 04 AQ 4288 ,DURGADEVI NAGAR 6TH CROSS,1,9.30 AM, , ,DAY,4,38,1
TN 22 CF 5613 ,EH ROAD 2ND BRIDGE,1,11.10 PM, , ,NIGHT,4,38,2
TN 04 AC 7627 ,ENNORE HIGH ROAD,2, ,12.00 NOON, ,DAY,4,41,0
TN 04 AC 7627 ,ENNORE HIGH ROAD,2, ,12.00 NOON, ,DAY,4,41,1
TN 04 AQ 6408 ,A.A ROAD (JEEVA RAILWAY STATION ),2, , ,3.15PM,AFTERNOON,4,45,0
TN 22 BR 2956 ,A.A ROAD (KASTHURI BAI GANDHI STREET ),1,7.35AM,11.10AM, ,DAY,4,45,1
TN 22 BR 1249 ,A KALYANAPURAM 1ST STREET,1,9.25 AM, , ,DAY,4,46,0
TN 22 BR 1249 ,A KALYANAPURAM TNSCB OFFICE,1,9.45 AM, , ,DAY,4,46,1
TN 04 AY 6403 ,EH ROAD,1, ,11.40 AM, ,NIGHT,4,46,2
TN 04 AY 6435 ,EAST CEMETRY ROAD,3,09.15 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,EAST CEMETRY ROAD,3,09.15 AM, , ,DAY,4,48,1
TN 04 AQ 1951,BALA ARUNACHALAM STREET ( S.M.SILKS),1,7 .45AM,11.00AM,12.45PM, ,5,49,0
TN04 AD 1678,ARTHOON ROAD,2,7 .45AM,11.00AM,12.45PM, ,5,50,0
TN 04 AQ 7297,CEMETRY ROAD,4,7.00AM,9.30AM,12.00PM, ,5,51,0
TN 04 AD 6261,B.C.PRESS ROAD,2,8.00AM,11.15AM,1.15PM, ,5,52,0
TN 22 CH 6311,BASIN BRIDGE ROAD,2,7 .45AM,11.00AM,12.45PM, ,5,53,0
TN 04 AD 0623,ANNA PILLAI STREET,2,7 .45AM,11.00AM,12.45PM, ,5,54,0
TN 04 AQ 7295,AMMAN KOIL MARKET,1,7.20AM,10.30AM,12.15PM, ,5,55,0
TN 04 AD 1578,CORAL MERCHANT STREET,1,7.20AM,10.30AM,12.15PM, ,5,56,0
TN 22 BR 1242,AADHIYAPPA NAICKEN STREET,2,7 .35AM,10.45AM,12.30PM, ,5,57,0
TN 04 AD 2874,AVATHANA PAPIAR ROAD (CHENNAI GOVERNMENT SCHOOL),2,7 .35AM,10.45AM,12.30PM, ,5,58,0
TN 22 AQ 6261,E.V.R SALAI (NEAR NURSE HOSTEL),1,8.00AM,11.15AM,1.15PM, ,5,59,0
TN 04 AD1553,ANGAPPA NAICKEN STREET,5,8.00AM,11.15AM,1.15PM, ,5,60,0
TN 22 CF 5144,ATHITHANAR SALAI ( EGMORE COURT),2,8.00AM,11.15AM,1.15PM, ,5,61,0
TN 04 AQ 7378,ARUNACHALAM ROAD (NEAR KALAVAI ST),1,7 .35AM,10.45AM,12.30PM, ,5,62,0
TN 22 CF 8557,ANNA SALAI ( NEAR BOOMBUGAR),1,8.00AM,11.15AM,1.15PM, ,5,63,0
 TN 04 AY 6457,AMBEDKAR NAGAR,3,10.3, , , ,6,64,0
 TN 05 CH 2354,GKM COLONY 1ST MAIN ROAD(JN OF 25TH STREET),4,7.15, , , ,6,65,0
 TN 04 CH 1440,70 FEET ROAD,4,7.45, , , ,6,66,0
 TN 05 CF 5272,BISSAT ROAD,3,8.15, , , ,6,67,0
 TN 04 AQ 4874,MADHURASAMY MADAM,5, , ,12, ,6,68,0
  TN 05 AQ 4833,ANDERSON ROAD,1,7.2, , , ,6,69,0
 TN 05 CY 7839,JAMALIA(JN OF PETROL BUNK POINT),3, ,10.05, , ,6,70,0
 TN 05 AD 7485,BRISLY NAGAR,1, ,10.15, , ,6,71,0
 TN 05 BR 9571,DECASTOR ROAD,3, ,11.15, , ,6,72,0
 TN 05 CH 8625,COOKS ROAD,2,8.1, , , ,6,73,0
TN 05 AV 6284 ,K.H. ROAD TRUST SQUARE,12, , ,11.30 TO 12.45, ,6,74,0
 TN 04AQ 7048,BRICKLIN ROAD,4,7.2, , , ,6,75,0
 TN 05 AQ 6446,C R GARDEN,1, ,11.12, , ,6,76,0
 TN 05 AY 6478,DEMOLOUS ROAD,7, ,11, , ,6,77,0
 TN 05 AQ 4872,ANGALAMMAN KOIL STREET,2,7.25, , , ,6,78,0
TN 04 AP 9057,ANNA STREET,2,10.35,-,-, ,7,79,0
 TN 04 AP 9038,BANU NAGAR 19TH MAIN ROAD,3,9.55,-,-, ,7,80,0
TN 04 AY 6481,EAST PARK ROAD,6,10.45,-,-, ,7,81,0
TN 02 BU 0478,GANA MOORTHY NAGAR ,3,10:23 TO 10:27, , ,NIGHT,7,82,0
TN 02 BU 0478,GANA MOORTHY NAGAR ,3,10:23 TO 10:27, , ,NIGHT,7,82,2
TN 02 BU 0478,GNG ROAD ,2, ,04:55 TO 05:00, ,NIGHT,7,83,0
TN 02 BU 0478,NORTH AVENUE,7, ,01:28 TO 01:35, ,DAY,7,83,1
TN 02 BU 0478,GNG ROAD ,2, ,04:55 TO 05:00, ,NIGHT,7,83,2
 TN 04 6481,EAST AVENUE SAI BABA KOVIL,2,-,-,1.3, ,7,84,0
TN 02 BU 0478,GNG ROAD ,2,07:43 TO 07:47, , ,DAY,7,85,0
TN 02 BU 0478,GNG ROAD ,2,07:43 TO 07:47, , ,DAY,7,85,1
TN 22 CH 7684,CHURCH ROAD (CPS),5,-, ,12.05, ,7,87,0
TN 04 AP 9028,FIRST AVENUE,4,9.2,-,-, ,7,88,0
 TN 04 AP 9036,THIRUMANGALAM MAIN ROAD (DAV SCHOOL),3,10,-,-, ,7,89,0
 TN 04 1804,PADI PUTHU NAGAR 10TH STREET,2,-,11.55,-, ,7,90,0
TN 04 AP 9036,REDDY PALAYAM,2,7.15,-,-, ,7,91,0
 TN 22 CH 1357,VELLALAR STREET MANGAL ERI PARK,4,9,-,-, ,7,92,0
 TN 22 CF 6194,GOLDEN GEORGE NAGAR NEAR CICISILI PUSHPAM ROAD,5,12.45,-,-, ,7,93,0
TN 04 AC 6127,BABA NAGAR 1ST MAIN ROAD,1,8.20 AM,11.30AM, , ,8,94,0
TN 04 - 2841 ,18TH MAIN ROAD (13TH JN ),2,7.35 AM,11.10 AM, , ,8,95,0
TN 04 AQ 4857,KALAIGNAR KARUNANIDHI NAGAR 11TH STREET,1,7.15 AM,9.20AM,12.05 PM, ,8,96,0
TN 04 AQ 6252 ,SAKKARAVARTHI NAGAR,3,7.30 AM TO 7.45 AM,10.00 AM TO 10.15 AM,10.20 AM TO 10.30 AM, ,8,97,0
TN-01 AQ 4843 ,AYANAVARAM MAIN ROAD (AMBEDKAR NAGAR OPP SIDE),3, ,10.40 AM,12.20 PM, ,8,98,0
TN 22 CF 5473,13TH MAIN ROAD NEAR NEHRU NAGAR,1,8.20 AM,11.45 AM, , ,8,99,0
TN04 AY 6892 ,11TH MAIN ROAD TRANSFORMER,1,8.15 AM,12.20 PM, , ,8,100,0
TN 22 BR 9446,2ND MAIN ROAD F BLOCK,1,8.00AM,12.15PM, , ,8,101,0
TN 04 AY 6843,1ST CROSS STREET,1,7.20 AM, , , ,8,102,0
TN 04 AD 1184,BURNABY AVENUE,2,8.15 AM,12.15 AM, , ,8,103,0
TN 22 BR 9625,BOOPATHY NAGAR NEAR CHETRPET RAILWAY STATION,3, ,10.15 AM,1.15 PM, ,8,104,0
TN 04 A3 3506,100FT ROAD (HDFC BANK),1,9.20 PM,11.30 PM, , ,8,105,0
TN 22 CH 4665,COLLECTOR COLONY 5TH STREET,2,7.25 AM,10.40 AM, , ,8,106,0
TN 04 AQ 4837,APPARAO GARDEN(PILLAYAR KOIL),1,8.55 AM,-,12.10 PM, ,8,107,0
TN 04 AQ 6253,ASHATH NAGAR,2, , ,11.45 AM, ,8,108,0
TN02BU 0441,SVM NAGAR,14, ,11.15 AM, ,DAY,1,1,0
TN02BU 0441,THALANG KUPPAM,3,08.40 AM, , ,DAY,1,1,1
TN02BU 0421,ENNORE MARKET,8,10.55 PM, , ,NIGHT,1,2,0
TN02BU 0441,KH ROAD(ENNORE MARKET),6,07.40 AM, , ,DAY,1,2,1
TN02BU 0421,AS NAGAR 1ST STREET,2,09.30 PM, , ,NIGHT,1,3,0
TN02BU 0441,CHINNA KASI KOIL KUPPAM,2, ,01.10PM, ,DAY,1,3,1
TN02BU 0421,NETHAJI NAGAR,3,09.15 PM, , ,NIGHT,1,3,2
TN02BU 0421,KH ROAD MCC POINT,4,11.40 PM, , ,NIGHT,1,4,0
TN02BU 0421,LIFT GATE,2,`,03.10 AM, ,NIGHT,1,5,0
TN02BU 0407,MRF ROAD,4,08.15 AM, , ,DAY,1,5,1
TN02BU 0421,TH ROAD,4,`,02.45 AM, ,NIGHT,1,5,2
TN02BU 0407,MADHURA NAGAR,11, ,11.15 AM, ,DAY,1,6,0
TN02BU 0407,MADHURA NAGAR,11, ,11.15 AM, ,DAY,1,6,1
TN02BU 0407,CHARLES NAGAR,2,08.45 AM, , ,DAY,1,7,0
TN02BU 0407,LORRY DEPOT NEAR,2,09.10 AM, , ,DAY,1,7,1
TN02BU 0421,CHARLES NAGAR,2,`,01.30 AM, ,NIGHT,1,7,2
TN02BU 0407,PERIYAR NAGAR,4, ,11.40 AM, ,DAY,1,8,0
TN02BU 0407,TH ROAD(SUGAM HOSPITAL),4, ,11.30 AM, ,DAY,1,8,1
TN02BU 0407,PATTINATHAR KOIL,3,09.55 PM, , ,NIGHT,1,9,0
TN02BU 0407,TVT KUPPAM,3,10.10 PM, , ,NIGHT,1,9,2
TN02BU 0407,EAST TANK ROAD,2,11.00 PM, , ,NIGHT,1,10,0
TN02BU 0407,SOUTH MAADA STREET,9,11.15 PM, , ,NIGHT,1,10,2
TN02BU 0407,STATAE BANK COLONY,12, ,01.00 AM, ,NIGHT,1,11,0
TN02BU 0421,TH ROAD,4, ,12.40 AM, ,DAY,1,12,0
TN02BU 0421,TH ROAD,4, ,12.40 AM, ,DAY,1,12,1
TN02BU 0421,SEASACHALA GRAMANI STREET,4, ,11.10 AM, ,DAY,1,13,0
TN02BU 0421,VARATHARAJAN STREET,3, ,10.45 AM, ,DAY,1,13,1
TN02BU 0421,THIRUCHINNAKUPPAM,3,08.25 AM, , ,DAY,1,14,0
TN 02 BU 0442,25TH BLOCK MNT,3,6.40AM, , ,DAY,2,15,0
TN 02 BU 0442,LAKSHMI NAGAR,4,6.20AM, , ,DAY,2,15,1
TN 02 BU 0442,LAKSHMI NAGAR,4,9.00PM, , ,NIGHT,2,15,2
TN 02 BU 0442,ELANTHANOOR MAIN ROAD,3,8.15 AM, , ,DAY,2,16,0
TN 02 BU 0442,KANNIYAMMANPETTAI,4,9.00AM, , ,DAY,2,16,1
TN 02 BU 0442,KANNIYAMMANPETTAI,4,11.20PM, , ,NIGHT,2,16,2
TN 02 BU 0442,MRH ROAD,5,11.40PM, , ,NIGHT,2,17,0
TN 02 BU 0442,SAMUVEL NAGAR,11,10.00AM, , ,DAY,2,17,1
TN 02 BU 0442,GRAMMA STREET,1, ,4.10AM, ,NIGHT,2,18,0
TN 02 BU 0442,SANTHANAKRISHNAN STREET,2, ,1.40PM, ,DAY,2,18,1
TN 02 BU 0442,NEDUCHEZIAN SALAI,2, ,3.35AM, ,NIGHT,2,18,2
TN 02 BU 0442,1ST MAIN ROAD,2, ,1.45AM, ,NIGHT,2,19,0
TN 02 BU 0442,2ND MAIN ROAD ,1, ,12.05PM, ,DAY,2,19,1
TN 02 BU 0442,2ND MAIN ROAD ,1, ,2.35AM, ,NIGHT,2,19,2
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,4.55AM, ,NIGHT,2,20,0
TN 02 BU 0442,PADASALAI STREET,1, ,1.30PM, ,DAY,2,20,1
TN 02 BU 0442,SANTHANAKRISHNAN STREET,2, ,4.05AM, ,NIGHT,2,20,2
TN 02 BU 0442,BHARATHIYAR STREET,4, ,1.20PM, ,DAY,2,21,0
TN 02 BU 0442,GRAMMA STREET,1, ,1.50PM, ,DAY,2,21,1
TN 02 BU 0442,KAMARAJAR SALAI ,4, ,4.40AM, ,NIGHT,2,21,2
TN02 BU 0497,GNT ROAD ,4,6:20PM, , ,NOON,3,22,0
TN02BU 0433,KANADAPALAYAM,7,9.00AM, , ,DAY,3,22,1
TN02BU 0433,KANADAPALAYAM,7, ,2.00AM, ,NIGHT,3,22,2
TN02BU 0433,GNT SERVICE ROAD,14,9.30AM, , ,DAY,3,23,0
TN02BU 0433,AMBATHUR REDILLS ROAD,4, ,12.00PM, ,DAY,3,24,0
TN02BU 0433,BHARATHIDASAN NAGAR,5, ,12.20PM, ,DAY,3,24,1
TN02BU 0433,BHARATHIDASAN NAGAR,5, ,3.20AM, ,NIGHT,3,24,2
TN02BU 0433,BHARATIYAR STREET,8,7.45AM, , ,DAY,3,25,0
TN02BU 0433,BHARATIYAR STREET,8,7.45AM, , ,DAY,3,25,1
TN02BU 0433,GNT SERVICE ROAD,3, ,3.40AM, ,NIGHT,3,25,2
TN02BU 0340,200 FEET ROAD,5, ,11.30AM, ,DAY,3,26,0
TN02BU 0340,200 FEET ROAD,7, ,12.50 PM, ,DAY,3,26,1
TN02BU 0433,200 FEET ROAD,4,10:05PM, , ,NIGHT,3,26,2
TN02BU 0340,ALEX NAGAR MAIN RD,3,08:30AM, , ,DAY,3,27,0
TN02BU 0340,ASSI NAGAR MAIN RD,3,9.30AM, , ,DAY,3,27,1
TN02BU 0484,ASSI NAGAR MAIN RD,3,12.10PM, , ,NIGHT,3,27,2
TN02BU 0484,MOOLACHATRAM ROAD,2,12.30PM, , ,NIGHT,3,28,0
TN02BU 0340,PADMAGIRI NAGAR,3,07:50AM, , ,DAY,3,28,1
TN02BU 0340,PARTHA SARATHY STREET,2,07:00AM, , ,DAY,3,29,0
TN02BU 0340,PARTHA SARATHY STREET,3,06:45AM, , ,DAY,3,29,1
TN02BU 0484,PARTHA SARATHY STREET,2, ,1.45AM, ,NIGHT,3,29,2
TN02BO 0497,MRH ROAD,8, ,11:30AM, ,DAY,3,30,0
TN02BO 0497,MRH ROAD,8, ,11:30AM, ,DAY,3,30,1
TN02BU 0484,MRH ROAD,8,9:30PM, , ,NIGHT,3,30,2
TN02BU 0484,K.K.R GARDEN 2ND MAIN ROAD,6,11:15PM, , ,NIGHT,3,31,0
TN02BO 0497,K.K.R NAGAR 1ST MAIN ROAD,5, ,01:15PM, ,DAY,3,31,1
TN02BU 0484,MRH ROAD,2,10:20PM, , ,NIGHT,3,31,2
TN02BU 0433,KADPPA MAIN ROAD,2,11.45PM, , ,NIGHT,3,32,0
TN02BO 0497,TEACHER COLONY VV NAGAR,4,09:45AM, , ,DAY,3,32,1
TN02BU 0433,TEACHERS COLONY 3RD CROSS STREET,2,11.35PM, , ,NIGHT,3,32,2
TN02BU 0484,80 FEET ROAD,7, ,2.30AM, ,NIGHT,3,33,0
TN02BO 0497,CHANDRAPRABHU MAIN ROAD,6,11.40AM, , ,DAY,3,33,1
TN02BU 0484,CHANDRAPRABHU MAIN ROAD,6, ,2:05AM, ,NIGHT,3,33,2
TN 04 AY 7304 ,ARUL NAGAR MAIN ROAD,2, ,9.30 AM, ,DAY,4,34,0
TN 04 AV 6403 ,ARUL NAGAR MAIN ROAD,2,7.30 AM, , ,DAY,4,34,1
TN 22 CH 8343 ,MANALI SALAI MAIN ROAD ( BURIAL GROUND ),3, ,12.00 AM, ,NIGHT,4,34,2
TN 04 TQ 4743 ,ANNA SALAI 2ND MAIN ROAD,1,7.00 AM, , ,DAY,4,35,0
TN 04 TQ 4743 ,ANNA SALAI 2ND MAIN ROAD,1,7.00 AM, , ,DAY,4,35,1
TN 04 AC 6197 ,KKD NAGAR 3RD MAIN ROAD,5,10.00 PM, , ,NIGHT,4,35,2
TN 22 BR 3937 ,EH ROAD ( BRIDGE ),4,7.50 AM, , , ,4,36,0
TN 04 AY 6422 ,EH ROAD ( SA COLONY 8TH STREET ),1,10.00 PM, , ,NIGHT,4,36,2
TN 04 AV 6403 ,4TH CROSS STREET NEAR DIVISION OFFICE,2,7.40 AM, , ,DAY,4,37,0
TN 04 AV 6403 ,4TH CROSS STREET NEAR SCHOOL,1,7.50 AM, , ,DAY,4,37,1
TN 04 AQ 6422 ,SM MAIN ROAD OPP MS MAHAL,1, ,11.30 PM, ,NIGHT,4,37,2
TN 22 CF 6185 ,EH ROAD 1ST BRIDGE,1,9.35 AM, , ,DAY,4,38,0
TN 22 CF 6185 ,EH ROAD 1ST BRIDGE,1, ,12.00 NOON, ,DAY,4,38,1
TN 22 CF 5613 ,EH ROAD 3RD BRIDGE ( BUS STOP ),1,11.15 PM, , ,NIGHT,4,38,2
TN 04 AC 7627 ,ENNORE HIGH ROAD,2, , ,12.45 PM,DAY,4,41,0
TN 04 AC 7627 ,ENNORE HIGH ROAD,2, , ,12.45 PM,DAY,4,41,1
TN 22 BR 2956 ,A.A ROAD (KASTHURI BAI GANDHI STREET ),1,7.35AM,11.10AM, ,DAY,4,45,0
TN 22 BR 2956 ,B.V COLONY 18TH STREET ,4,9.20AM,12.15AM, ,DAY,4,45,1
TN 22 BR 1249 ,A KALYANAPURAM TNSCB OFFICE,1,9.45 AM, , ,DAY,4,46,0
TN 22 BR 1249 ,C KALYANAPURAM SCHOOL BACK SIDE GOOD SHED ROAD,4, ,1.15 PM, ,DAY,4,46,1
TN 04 AY 6403 ,GOOD SHED ROAD,3, ,12.35 PM, ,NIGHT,4,46,2
TN 04 AY 6435 ,M.S NAIDU STREET,2,07.50 AM, , ,DAY,4,48,0
TN 04 AY 6435 ,M.S NAIDU STREET,2,07.50 AM, , ,DAY,4,48,1
TN 22 CF 1678,G.A.ROAD 3RD STREET ( SHANTHI DOCTOR),2,7 .35AM,10.45AM,12.30PM, ,5,49,0
TN 04 AD 1678,EAST KALMANDAPAM ROAD,3,7 .35AM,10.45AM,12.30PM, ,5,50,0
TN 04 AQ 7297,N.N.GARDEN 8TH STREET POINT,8,8.00AM,11.15AM,1.15PM, ,5,51,0
TN 04 AD 6261,CHETTY THOTTHAM,1,7 .35AM,10.45AM,12.30PM, ,5,52,0
TN 22 CH 6311,BHARATH THEATRE,3,7 .45AM,11.00AM,12.45PM, ,5,53,0
TN 04 AD 0623,CHAKKARAI STREET,1,7.00AM,9.30AM,12.00PM, ,5,54,0
TN 22 CJ 1867,BABY STANLY HOSPITAL,4,7 .35AM,10.45AM,12.30PM, ,5,55,0
TN 22 CJ 4842,CORAL MERCHANT STREET (NEAR HOTEL),2,8.00AM,11.15AM,1.15PM, ,5,56,0
TN 22 CJ 1867,ANNA PILLAI STREET,5,7.20AM,10.30AM,12.15PM, ,5,57,0
TN 04 AD 2874,AVATHANA PAPIAR ROAD (CHENNAI GOVERNMENT SCHOOL),1,7.00AM,9.30AM,12.00PM, ,5,58,0
TN 22 CF 5598,EVENING BAZAR SALAI (NEAR PETROL BUNK ),7,7.20AM,10.30AM,12.15PM, ,5,59,0
TN 22 AQ 4269,ARBENOT LANE,1,7.00AM,9.30AM,12.00PM, ,5,60,0
TN 22 CF 6138,BOOPATHY NAGAR,1,8.00AM,11.15AM,1.15PM, ,5,61,0
TN 04 AQ 7378,ARUNACHALAM ROAD (NEAR NYNIYAPPA ST ),1,7 .45AM,11.00AM,12.45PM, ,5,62,0
TN 22 CF 8557,ANNA SALAI ( NEAR MOSQUE ),1,7 .45AM,11.00AM,12.45PM, ,5,63,0
 TN 04 AY 6457,ANJUGAM NAGAR 4TH STREET,2,8.05, , , ,6,64,0
 TN 05 CH 2354,JAMBULINGAM MAIN ROAD BURIAL GROUND ,6, ,11.4, , ,6,65,0
 TN 05 AQ 6276,CHANDRAN STREET,1, , ,11.45, ,6,66,0
 TN 05 CF 5272,BISSAT ROAD,3, ,10, , ,6,67,0
 TN 04 AQ 4874,MADHURASAMY MADAM,2, , ,11.4, ,6,68,0
  TN 05 AQ 4833,ANNAI SATHYA NAGAR,1,7.1, , , ,6,69,0
 TN 05 CY 7839,JAMALIA(OPP TO MCC),3, ,10.3, , ,6,70,0
 TN 05 AD 7485,CIT BUS STOP,1, , ,12.25, ,6,71,0
 TN 05 BR 9571,KANNIGAPURAM,7, ,1.25, , ,6,72,0
 TN 05 CH 8625,DECASTER ROAD,3,8.3, , , ,6,73,0
TN 05 AV 6284 ,K.H. ROAD TRUST SQUARE,11,8.35, , , ,6,74,0
 TN 04AQ 7048,BRICKLIN ROAD,9, ,10.45, , ,6,75,0
 TN 05 AQ 6446,CHINNATHAMBI STREET,1, , ,1.05, ,6,76,0
 TN 05 AY 6478,ELEPHANT GATE ROAD,1,8.15, , , ,6,77,0
 TN 05 AQ 4872,ASTABUJAM ROAD,2,7, , , ,6,78,0
TN 04 AP 9057,AYYANGULAM,4,8.15,-,-, ,7,79,0
TN 04 1357,BANU NAGAR 1ST MAIN ROAD,4,-,-,12, ,7,80,0
TN 04 AY 6481,KK ROAD,1,10.15,-,-, ,7,81,0
TN 02 BU 0478,INDAIN BANK COLONY,3,10:29 TO 10:33, , ,NIGHT,7,82,0
TN 02 BU 0478,INDAIN BANK COLONY,3,10:29 TO 10:33, , ,NIGHT,7,82,2
TN 02 BU 0478,GNG STREET,5, ,04:47 TO 04:53, ,NIGHT,7,83,0
TN 02 BU 0478,NORTH AVENUE,7,09:14 TO 09:20, , ,DAY,7,83,1
TN 02 BU 0478,GNG STREET,5, ,04:47 TO 04:53, ,NIGHT,7,83,2
 TN 04 6481,EAST AVENUE UCO BANK,1,-,-,1.5, ,7,84,0
TN 02 BU 0478,GNG ST,5,07:30 TO 07:40, , ,DAY,7,85,0
TN 02 BU 0478,GNG ST,5,07:30 TO 07:40, , ,DAY,7,85,1
TN 22 CH 7682,CTH ROAD (EB OFFICE),3,7.15,-,-, ,7,87,0
TN 04 AP 9028,FIRST AVENUE,4,10,-,-, ,7,88,0
 TN 04 AP 9036,THIRUMANGALAM MAIN ROAD (DHUWARAGA FLATS),1,10.45,-,-, ,7,89,0
 TN 04 7682,PADI PUTHU NAGAR 4TH STREET,1,-,-,12.5, ,7,90,0
 TN 22 CH 1357,VENUGOPAL STREET 20A BUS STAND,1,9.45,-,-, ,7,92,0
 TN 22 CF 6194,INDUSTRIAL ESTATE ROAD OPP BOI BANK,7,11.3,-,-, ,7,93,0
TN 04 AC 6127,BABA NAGAR 2ND MAIN ROAD ( NEAR 3RD MAIN ROAD ),3,9.00AM,12.10 PM, , ,8,94,0
TN 04 - 2841 ,18TH MAIN ROAD (EYE OPEN OPITICALS ),1,8.15 AM,11.45AM, , ,8,95,0
TN 04 AQ 4857,KONNUR HIGH ROAD,5,7.45 AM,9.50AM,12.30 PM, ,8,96,0
TN 04 AQ 6252 ,SOLAI STREET,5,8.30 AM 9.00 AM,10.45 AM TO 11.15 AM,12.30 PM TO 1.00 PM, ,8,97,0
TN-01 AQ 4843 ,AYANAVARAM ROAD (THIRUVALLUVAR NAGAR OPP SIDE),1, ,10.30 AM,12.10 PM, ,8,98,0
TN 22 CF 5473,14TH MAIN ROAD NEAR 12 MAIN RIOAD JN.,2,9.15 AM,12.20 PM, , ,8,99,0
TN 04 1297 ,2ND AVENUE NEAR LIC OFFICE,2,7.30 AM,10.30 AM, , ,8,100,0
TN 22 BR 9446,2ND MAIN ROAD THALLAPAKATTI HOTEL,2,8.15AM,12.00PM, , ,8,101,0
TN 04 AY 6843,1ST CROSS STREET(WEST),1, ,10.30 AM, , ,8,102,0
TN 04 AY 6858,DHOMOTHIRAN MOORTHY STREET,2,7.30AM,11.30AM, , ,8,103,0
TN 04 AQ 6251,BRICKLIN ROAD NEAR ARHINANT APPT,2,7.40 AM, ,11.25 AM, ,8,104,0
TN 04 6855 ,100FT ROAD VIJAY PARK,1,8.30 AM,11.50 AM, , ,8,105,0
TN 22 CH 4665,GOVINDAN STREET,2,7.15 AM,10.25 AM, , ,8,106,0
TN 04 AQ 4837,CHARI ROAD,1,-,-,12.30 PM, ,8,107,0
TN 04 AQ 6253,ASHATH NAGAR,2,7.25 AM, , , ,8,108,0
TN02BU 0421,SVM NAGAR 14TH STREET,12,10.00 PM, , ,NIGHT,1,1,0
TN02BU 0441,KAMARAJAR NAGAR,3,08.20.00, , ,DAY,1,2,0
TN02BU 0441,VALLUVAR NAGAR,2,08.10 AM, , ,DAY,1,2,1
TN02BU 0421,AS NAGAR RRC POINT,8,09.40 PM, , ,NIGHT,1,3,0
TN02BU 0441,ETPS - QUATRESS -1,2,07.05 AM, , ,DAY,1,3,1
TN02BU 0407,MRF ROAD,4,08.15 AM, , ,DAY,1,5,0
TN02BU 0407,NEITHAL NAGAR,3,07.40 AM, , ,DAY,1,5,1
TN02BU 0421,WARD 5 OFFICE,7,`,02.25 AM, ,NIGHT,1,5,2
TN02BU 0407,SAKTHY GANAPATHY NAGAR,4,06.40 AM, , ,DAY,1,6,0
TN02BU 0407,SAKTHY GANAPATHY NAGAR,4,06.40 AM, , ,DAY,1,6,1
TN02BU 0421,CHARLES NAGAR,2,`,01.30 AM, ,NIGHT,1,7,0
TN02BU 0407,MGR NAGAR,3,08.55 AM, , ,DAY,1,7,1
TN02BU 0421,HANSA APARTMENT,3,`,01.15 AM, ,NIGHT,1,7,2
TN02BU 0407,PERIYAR NAGAR,4,9.00 PM, , ,NIGHT,1,8,0
TN02BU 0407,TVT KUPPAM,3,10.10 PM, , ,NIGHT,1,9,0
TN02BU 0421,NORTH MAADA STREET,3,06.50 AM, , ,DAY,1,10,0
TN02BU 0407,TH ROAD,8, ,01.25 AM, ,NIGHT,1,12,0
TN02BU 0421,VARATHARAJAN STREET,3, ,10.45 AM, ,DAY,1,13,0
TN 02 BU 0442,25TH BLOCK MNT,3,9.25PM, , ,NIGHT,2,15,0
TN 02 BU 0442,ELANTHANOOR MAIN ROAD,3,10.35PM, , ,NIGHT,2,16,0
TN 02 BU 0442,MRB NAGAR,6,8.30AM, , ,DAY,2,16,1
TN 02 BU 0442,MRB NAGAR,6,11.00PM, , ,NIGHT,2,16,2
TN 02 BU 0442,SAMUVEL NAGAR,11,10.00AM, , ,DAY,2,17,0
TN 02 BU 0442,NEDUCHEZIAN SALAI,2, ,12.55PM, ,DAY,2,18,0
TN 02 BU 0442,1ST MAIN ROAD,2, ,1.30AM, ,NIGHT,2,19,0
TN 02 BU 0442,2ND MAIN ROAD ,2, ,12.00PM, ,DAY,2,19,1
TN 02 BU 0442,2ND MAIN ROAD ,2, ,2.20AM, ,NIGHT,2,19,2
TN 02 BU 0442,KAMARAJAR SALAI ,2, ,4.50AM, ,NIGHT,2,20,0
TN 02 BU 0442,GRAMMA STREET,1, ,1.50PM, ,DAY,2,21,0
TN 02 BU 0443,JALAGANDAMARIYAMMAN KOIL STREET,1, ,2.35PM, ,DAY,2,21,1
TN 02 BU 0442,LABBAIMEDU,1, ,3.55AM, ,NIGHT,2,21,2
TN02BU 0433,K.S. NAGAR,5,8.45AM, , ,DAY,3,22,0
TN02BU 0433,SHAKTHIVEL NAGAR,5,9.15AM, , ,DAY,3,22,1
TN02BU 0433,SHAKTHIVEL NAGAR,5, ,2.15AM, ,NIGHT,3,22,2
TN02BU 0484,GNT SERVICE ROAD,14, ,4.00AM, ,NIGHT,3,23,0
TN02BU 0433,AMBATHUR REDILLS ROAD,4, ,3.00AM, ,NIGHT,3,24,0
TN02BU 0433,ELUMALAI NAGAR,2, ,12.50PM, ,DAY,3,24,1
TN02BU 0433,ELUMALAI NAGAR,2,11.55PM, , ,NIGHT,3,24,2
TN02BU 0433,BHARATIYAR STREET,8,10:10PM, , ,NIGHT,3,25,0
TN02BU 0433,GNT SERVICE ROAD,3,10.00AM, , ,DAY,3,25,1
TN02BU 0433,M.G.R NAGAR,4, ,3.30AM, ,NIGHT,3,25,2
