Zone,Div,Address,Area,StreetLight
4,34,"Goyyathoppu Gandhi Nagar 3rd Street  Goyyathoppu Gandhi Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Goyyathoppu Gandhi Nagar Main Road  Goyyathoppu Gandhi Nagar, Kodungaiyur",Kodungaiyur,4
4,34,"HARBOUR COLONY 4TH CROSS STREET  Kodungaiyur, Tondiarpet",Tondiarpet,1
4,34,"Harbour Colony 1st Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Jai Balaji Nagar 1st Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jai Balaji Nagar 2nd Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jai Balaji Nagar 5th Street  Jai Balaji Nagar, Selavoyal",Selavoyal,1
4,34,"Jambuli New Colony 1st Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,1
4,34,"Jambuli New Colony 2nd Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,7
4,34,"Jambuli New Colony 3rd Streeet  Jambuli New Colony, Kodungaiyur",Kodungaiyur,3
4,34,"Jambuli New Colony 6th Street  Jambuli New Colony, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 11th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 1st Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 1st Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 2nd Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"K.K.R. Town 2nd Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,4
4,34,"K.K.R. Town 3rd Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"K.K.R. Town 4th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"K.K.R. Town 4th Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 5th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"K.K.R. Town 5th Main Road  Jambuli Village, Kodungaiyur",Kodungaiyur,3
4,34,"K.K.R. Town 6th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"K.K.R. Town 7th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"K.K.R. Town 9th Cross Street  Jambuli Village, Kodungaiyur",Kodungaiyur,2
4,34,"K.K.R. Twon East Cross Road  Jambuli Village, Kodungaiyur",Kodungaiyur,6
4,34,"K.K.R. Twon West Avenue Road  Jambuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Kadumapdi Amman Koil 2nd Cross Street  Chinnandimadam, Kodungaiyur",Kodungaiyur,6
4,34,"Kadumapdi Amman Koil 3rd Cross Street  Chinnandimadam, Kodungaiyur",Kodungaiyur,4
4,34,"Kadumpadi Amman Koil 1st Cross Street  Chinnandimadam, Kodungaiyur",Kodungaiyur,1
4,34,"Kadumpadi Amman Koil Street  Chinnandimadam, Kodungaiyur",Kodungaiyur,40
4,34,"Kalasathamman Koil Street  Selavoyal, Selavoyal",Selavoyal,2
4,34,"Kamaraj Salai  Chinna Kodungaiyur, Kodungaiyur",Kodungaiyur,44
4,34,"Kattabomman 1st Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,4
4,34,"Kattabomman 2nd Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,2
4,34,"Kattabomman 3rd Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,3
4,34,"Kattabomman 4th Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,2
4,34,"Kattabomman 6th Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,2
4,34,"Kattabomman 8th Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,1
4,34,"Kattabomman 9th Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,1
4,34,"Kattabomman Main Road  Kodungaiyur, Kodungaiyur",Kodungaiyur,16
4,34,"Kkr Town 13th Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"Lakshmi Amman Nagar 1st Street  Lakshmi Amman Nagar, Selavoyal",Selavoyal,2
4,34,"Lakshmi Amman Nagar 2nd Street  Lakshmi Amman Nagar, Selavoyal",Selavoyal,2
4,34,"Lakshmi Amman Nagar 3rd Street  Lakshmi Amman Nagar, Selavoyal",Selavoyal,3
4,34,"Lakshmi Amman Nagar Cross Street  Lakshmi Amman Nagar, Selavoyal",Selavoyal,2
4,34,"Lakshmiamman Koil Street  Selavoyal, Selavoyal",Selavoyal,3
4,34,"M.R.L Colony 3rd Street  Jumbuli Village, Kodungaiyur",Kodungaiyur,1
4,34,"METTU STREET  Kodungaiyur, Tondiarpet",Tondiarpet,3
4,34,"MILK COLONY MAIN ROAD  MILK  COLONY, MADHAVARAM",MADHAVARAM,14
4,34,"Manali Salai  Chinna Kodungaiyur, Kodungaiyur",Kodungaiyur,30
4,34,"Munuswamy Street  Iswarya Nagar, Selavoyal",Selavoyal,3
4,34,"N.S.K. Salai 3rd Street  N.S.K.Salai, Kodungaiyur",Kodungaiyur,3
4,34,"N.S.K. Salai 4th Street  N.S.K.Salai, Kodungaiyur",Kodungaiyur,3
4,34,"N.S.K. Salai 5th Street  N.S.K.Salai, Kodungaiyur",Kodungaiyur,2
4,34,"N.S.K. Salai 6th Street  N.S.K.Salai, Kodungaiyur",Kodungaiyur,3
4,34,"N.S.K. Salai Main Road  Chinnandimadam, Kodungaiyur",Kodungaiyur,1
4,34,"N.S.K. Salai Main Road  N.S.K.Salai, Kodungaiyur",Kodungaiyur,11
4,34,"Narasimma Reddiyar Nagar 2nd Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,1
4,34,"Narasimma Reddiyar Nagar 4th Street  Kodungaiyur, Kodungaiyur",Kodungaiyur,4
4,34,"Narayana Swamy Garden 1st Main Road  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Narayanaswamy Garden 10th Street  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,1
4,34,"Narayanaswamy Garden 2nd Main Road  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Narayanaswamy Garden 3rd Main Road  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Narayanaswamy Garden 9th Street  Narasimma Reddiyar Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Nethaji Nagar 1st Street  Nethaji Nagar, Kodungaiyur",Kodungaiyur,3
4,34,"Palpannai Salai  Parvathy Nagar, Selavoyal",Selavoyal,9
4,34,"Parvathy Nagar 3rd Street  Parvathy Nagar, Kodungaiyur",Kodungaiyur,2
4,34,"Periyanna (M) Lane (Macfair Lane)  Periamet, Vepery",Vepery,1
