City,Result,Cause of accident,Type
FARIDABAD,0.0,Vehicles parked at road  Shoulders,Injured
FARIDABAD,0.0,Vehicles parked at road  Shoulders,Died
FARIDABAD,64.0,Causes Not Known,Cases
FARIDABAD,57.0,Causes Not Known,Injured
FARIDABAD,21.0,Causes Not Known,Died
GHAZIABAD,58.0,Careless driving/overtaking,Cases
GHAZIABAD,4.0,Careless driving/overtaking,Injured
GHAZIABAD,62.0,Careless driving/overtaking,Died
GHAZIABAD,67.0,Over speeding,Cases
GHAZIABAD,10.0,Over speeding,Injured
GHAZIABAD,73.0,Over speeding,Died
GHAZIABAD,2.0,DUI,Cases
GHAZIABAD,0.0,DUI,Injured
GHAZIABAD,2.0,DUI,Died
GHAZIABAD,0.0,Physical Fatigue of Drivers,Cases
GHAZIABAD,0.0,Physical Fatigue of Drivers,Injured
GHAZIABAD,0.0,Physical Fatigue of Drivers,Died
GHAZIABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
GHAZIABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
GHAZIABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
GHAZIABAD,2.0,Animal Crossing,Cases
GHAZIABAD,0.0,Animal Crossing,Injured
GHAZIABAD,2.0,Animal Crossing,Died
GHAZIABAD,3.0,Weather Condition (Poor Visibility),Cases
GHAZIABAD,0.0,Weather Condition (Poor Visibility),Injured
GHAZIABAD,3.0,Weather Condition (Poor Visibility),Died
GHAZIABAD,4.0,Weather Condition (Others Causes),Cases
GHAZIABAD,0.0,Weather Condition (Others Causes),Injured
GHAZIABAD,4.0,Weather Condition (Others Causes),Died
GHAZIABAD,0.0,Lack of Road Infrastructure,Cases
GHAZIABAD,0.0,Lack of Road Infrastructure,Injured
GHAZIABAD,0.0,Lack of Road Infrastructure,Died
GHAZIABAD,0.0,Vehicles parked at road  Shoulders,Cases
GHAZIABAD,0.0,Vehicles parked at road  Shoulders,Injured
GHAZIABAD,0.0,Vehicles parked at road  Shoulders,Died
GHAZIABAD,11.0,Causes Not Known,Cases
GHAZIABAD,2.0,Causes Not Known,Injured
GHAZIABAD,11.0,Causes Not Known,Died
GWALIOR,22.0,Careless driving/overtaking,Cases
GWALIOR,19.0,Careless driving/overtaking,Injured
GWALIOR,5.0,Careless driving/overtaking,Died
GWALIOR,835.0,Over speeding,Cases
GWALIOR,792.0,Over speeding,Injured
GWALIOR,86.0,Over speeding,Died
GWALIOR,0.0,DUI,Cases
GWALIOR,0.0,DUI,Injured
GWALIOR,0.0,DUI,Died
GWALIOR,0.0,Physical Fatigue of Drivers,Cases
GWALIOR,0.0,Physical Fatigue of Drivers,Injured
GWALIOR,0.0,Physical Fatigue of Drivers,Died
GWALIOR,14.0,Defect in Mechanical Condition of Motor Vehicle,Cases
GWALIOR,7.0,Defect in Mechanical Condition of Motor Vehicle,Injured
GWALIOR,11.0,Defect in Mechanical Condition of Motor Vehicle,Died
GWALIOR,0.0,Animal Crossing,Cases
GWALIOR,0.0,Animal Crossing,Injured
GWALIOR,0.0,Animal Crossing,Died
GWALIOR,0.0,Weather Condition (Poor Visibility),Cases
GWALIOR,0.0,Weather Condition (Poor Visibility),Injured
GWALIOR,0.0,Weather Condition (Poor Visibility),Died
GWALIOR,34.0,Weather Condition (Others Causes),Cases
GWALIOR,33.0,Weather Condition (Others Causes),Injured
GWALIOR,6.0,Weather Condition (Others Causes),Died
GWALIOR,0.0,Lack of Road Infrastructure,Cases
GWALIOR,0.0,Lack of Road Infrastructure,Injured
GWALIOR,0.0,Lack of Road Infrastructure,Died
GWALIOR,0.0,Vehicles parked at road  Shoulders,Cases
GWALIOR,0.0,Vehicles parked at road  Shoulders,Injured
GWALIOR,0.0,Vehicles parked at road  Shoulders,Died
GWALIOR,0.0,Causes Not Known,Cases
GWALIOR,0.0,Causes Not Known,Injured
GWALIOR,0.0,Causes Not Known,Died
HYDERABAD,134.0,Careless driving/overtaking,Cases
HYDERABAD,167.0,Careless driving/overtaking,Injured
HYDERABAD,11.0,Careless driving/overtaking,Died
HYDERABAD,1785.0,Over speeding,Cases
HYDERABAD,1548.0,Over speeding,Injured
HYDERABAD,213.0,Over speeding,Died
HYDERABAD,37.0,DUI,Cases
HYDERABAD,44.0,DUI,Injured
HYDERABAD,12.0,DUI,Died
HYDERABAD,14.0,Physical Fatigue of Drivers,Cases
HYDERABAD,18.0,Physical Fatigue of Drivers,Injured
HYDERABAD,4.0,Physical Fatigue of Drivers,Died
HYDERABAD,37.0,Defect in Mechanical Condition of Motor Vehicle,Cases
HYDERABAD,47.0,Defect in Mechanical Condition of Motor Vehicle,Injured
HYDERABAD,9.0,Defect in Mechanical Condition of Motor Vehicle,Died
HYDERABAD,3.0,Animal Crossing,Cases
HYDERABAD,4.0,Animal Crossing,Injured
HYDERABAD,5.0,Animal Crossing,Died
HYDERABAD,0.0,Weather Condition (Poor Visibility),Cases
HYDERABAD,0.0,Weather Condition (Poor Visibility),Injured
HYDERABAD,0.0,Weather Condition (Poor Visibility),Died
HYDERABAD,0.0,Weather Condition (Others Causes),Cases
HYDERABAD,0.0,Weather Condition (Others Causes),Injured
HYDERABAD,0.0,Weather Condition (Others Causes),Died
HYDERABAD,0.0,Lack of Road Infrastructure,Cases
HYDERABAD,0.0,Lack of Road Infrastructure,Injured
HYDERABAD,0.0,Lack of Road Infrastructure,Died
HYDERABAD,54.0,Vehicles parked at road  Shoulders,Cases
HYDERABAD,64.0,Vehicles parked at road  Shoulders,Injured
HYDERABAD,0.0,Vehicles parked at road  Shoulders,Died
HYDERABAD,0.0,Causes Not Known,Cases
HYDERABAD,0.0,Causes Not Known,Injured
HYDERABAD,0.0,Causes Not Known,Died
INDORE,349.0,Careless driving/overtaking,Cases
INDORE,263.0,Careless driving/overtaking,Injured
INDORE,103.0,Careless driving/overtaking,Died
INDORE,313.0,Over speeding,Cases
INDORE,275.0,Over speeding,Injured
INDORE,42.0,Over speeding,Died
INDORE,2.0,DUI,Cases
INDORE,0.0,DUI,Injured
INDORE,0.0,DUI,Died
INDORE,0.0,Physical Fatigue of Drivers,Cases
INDORE,0.0,Physical Fatigue of Drivers,Injured
INDORE,0.0,Physical Fatigue of Drivers,Died
INDORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
INDORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
INDORE,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
INDORE,0.0,Animal Crossing,Cases
INDORE,0.0,Animal Crossing,Injured
INDORE,0.0,Animal Crossing,Died
INDORE,0.0,Weather Condition (Poor Visibility),Cases
INDORE,0.0,Weather Condition (Poor Visibility),Injured
INDORE,0.0,Weather Condition (Poor Visibility),Died
INDORE,0.0,Weather Condition (Others Causes),Cases
INDORE,0.0,Weather Condition (Others Causes),Injured
INDORE,0.0,Weather Condition (Others Causes),Died
INDORE,0.0,Lack of Road Infrastructure,Cases
INDORE,0.0,Lack of Road Infrastructure,Injured
INDORE,0.0,Lack of Road Infrastructure,Died
INDORE,0.0,Vehicles parked at road  Shoulders,Cases
INDORE,0.0,Vehicles parked at road  Shoulders,Injured
INDORE,0.0,Vehicles parked at road  Shoulders,Died
INDORE,664.0,Causes Not Known,Cases
INDORE,657.0,Causes Not Known,Injured
INDORE,37.0,Causes Not Known,Died
JABALPUR,450.0,Careless driving/overtaking,Cases
JABALPUR,474.0,Careless driving/overtaking,Injured
JABALPUR,35.0,Careless driving/overtaking,Died
JABALPUR,1072.0,Over speeding,Cases
JABALPUR,1085.0,Over speeding,Injured
JABALPUR,126.0,Over speeding,Died
JABALPUR,119.0,DUI,Cases
JABALPUR,118.0,DUI,Injured
JABALPUR,13.0,DUI,Died
JABALPUR,0.0,Physical Fatigue of Drivers,Cases
JABALPUR,0.0,Physical Fatigue of Drivers,Injured
JABALPUR,0.0,Physical Fatigue of Drivers,Died
JABALPUR,45.0,Defect in Mechanical Condition of Motor Vehicle,Cases
JABALPUR,34.0,Defect in Mechanical Condition of Motor Vehicle,Injured
JABALPUR,16.0,Defect in Mechanical Condition of Motor Vehicle,Died
JABALPUR,39.0,Animal Crossing,Cases
JABALPUR,32.0,Animal Crossing,Injured
JABALPUR,11.0,Animal Crossing,Died
JABALPUR,27.0,Weather Condition (Poor Visibility),Cases
JABALPUR,21.0,Weather Condition (Poor Visibility),Injured
JABALPUR,6.0,Weather Condition (Poor Visibility),Died
JABALPUR,23.0,Weather Condition (Others Causes),Cases
JABALPUR,17.0,Weather Condition (Others Causes),Injured
JABALPUR,6.0,Weather Condition (Others Causes),Died
JABALPUR,0.0,Lack of Road Infrastructure,Cases
JABALPUR,0.0,Lack of Road Infrastructure,Injured
JABALPUR,0.0,Lack of Road Infrastructure,Died
JABALPUR,24.0,Vehicles parked at road  Shoulders,Cases
JABALPUR,20.0,Vehicles parked at road  Shoulders,Injured
JABALPUR,4.0,Vehicles parked at road  Shoulders,Died
JABALPUR,0.0,Causes Not Known,Cases
JABALPUR,0.0,Causes Not Known,Injured
JABALPUR,0.0,Causes Not Known,Died
JAIPUR,963.0,Careless driving/overtaking,Cases
JAIPUR,792.0,Careless driving/overtaking,Injured
JAIPUR,306.0,Careless driving/overtaking,Died
JAIPUR,908.0,Over speeding,Cases
JAIPUR,735.0,Over speeding,Injured
JAIPUR,284.0,Over speeding,Died
JAIPUR,36.0,DUI,Cases
JAIPUR,28.0,DUI,Injured
JAIPUR,6.0,DUI,Died
JAIPUR,0.0,Physical Fatigue of Drivers,Cases
JAIPUR,0.0,Physical Fatigue of Drivers,Injured
JAIPUR,0.0,Physical Fatigue of Drivers,Died
JAIPUR,1.0,Defect in Mechanical Condition of Motor Vehicle,Cases
JAIPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
JAIPUR,1.0,Defect in Mechanical Condition of Motor Vehicle,Died
JAIPUR,4.0,Animal Crossing,Cases
JAIPUR,0.0,Animal Crossing,Injured
JAIPUR,4.0,Animal Crossing,Died
JAIPUR,0.0,Weather Condition (Poor Visibility),Cases
JAIPUR,0.0,Weather Condition (Poor Visibility),Injured
JAIPUR,0.0,Weather Condition (Poor Visibility),Died
JAIPUR,0.0,Weather Condition (Others Causes),Cases
JAIPUR,0.0,Weather Condition (Others Causes),Injured
JAIPUR,0.0,Weather Condition (Others Causes),Died
JAIPUR,0.0,Lack of Road Infrastructure,Cases
JAIPUR,0.0,Lack of Road Infrastructure,Injured
JAIPUR,0.0,Lack of Road Infrastructure,Died
JAIPUR,6.0,Vehicles parked at road  Shoulders,Cases
JAIPUR,1.0,Vehicles parked at road  Shoulders,Injured
JAIPUR,0.0,Vehicles parked at road  Shoulders,Died
JAIPUR,2.0,Causes Not Known,Cases
JAIPUR,0.0,Causes Not Known,Injured
JAIPUR,0.0,Causes Not Known,Died
JAMSHEDPUR,119.0,Careless driving/overtaking,Cases
JAMSHEDPUR,91.0,Careless driving/overtaking,Injured
JAMSHEDPUR,47.0,Careless driving/overtaking,Died
JAMSHEDPUR,0.0,Over speeding,Cases
JAMSHEDPUR,0.0,Over speeding,Injured
JAMSHEDPUR,0.0,Over speeding,Died
JAMSHEDPUR,0.0,DUI,Cases
JAMSHEDPUR,0.0,DUI,Injured
JAMSHEDPUR,0.0,DUI,Died
JAMSHEDPUR,0.0,Physical Fatigue of Drivers,Cases
JAMSHEDPUR,0.0,Physical Fatigue of Drivers,Injured
JAMSHEDPUR,0.0,Physical Fatigue of Drivers,Died
JAMSHEDPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
JAMSHEDPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
JAMSHEDPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
JAMSHEDPUR,0.0,Animal Crossing,Cases
JAMSHEDPUR,0.0,Animal Crossing,Injured
JAMSHEDPUR,0.0,Animal Crossing,Died
JAMSHEDPUR,0.0,Weather Condition (Poor Visibility),Cases
JAMSHEDPUR,0.0,Weather Condition (Poor Visibility),Injured
JAMSHEDPUR,0.0,Weather Condition (Poor Visibility),Died
JAMSHEDPUR,0.0,Weather Condition (Others Causes),Cases
JAMSHEDPUR,0.0,Weather Condition (Others Causes),Injured
JAMSHEDPUR,0.0,Weather Condition (Others Causes),Died
JAMSHEDPUR,0.0,Lack of Road Infrastructure,Cases
JAMSHEDPUR,0.0,Lack of Road Infrastructure,Injured
JAMSHEDPUR,0.0,Lack of Road Infrastructure,Died
JAMSHEDPUR,0.0,Vehicles parked at road  Shoulders,Cases
JAMSHEDPUR,0.0,Vehicles parked at road  Shoulders,Injured
JAMSHEDPUR,0.0,Vehicles parked at road  Shoulders,Died
JAMSHEDPUR,0.0,Causes Not Known,Cases
JAMSHEDPUR,0.0,Causes Not Known,Injured
JAMSHEDPUR,0.0,Causes Not Known,Died
JODHPUR,166.0,Careless driving/overtaking,Cases
JODHPUR,113.0,Careless driving/overtaking,Injured
JODHPUR,39.0,Careless driving/overtaking,Died
JODHPUR,293.0,Over speeding,Cases
JODHPUR,218.0,Over speeding,Injured
JODHPUR,145.0,Over speeding,Died
JODHPUR,3.0,DUI,Cases
JODHPUR,0.0,DUI,Injured
JODHPUR,2.0,DUI,Died
JODHPUR,0.0,Physical Fatigue of Drivers,Cases
JODHPUR,0.0,Physical Fatigue of Drivers,Injured
JODHPUR,0.0,Physical Fatigue of Drivers,Died
JODHPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
JODHPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
JODHPUR,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
JODHPUR,4.0,Animal Crossing,Cases
JODHPUR,4.0,Animal Crossing,Injured
JODHPUR,3.0,Animal Crossing,Died
JODHPUR,0.0,Weather Condition (Poor Visibility),Cases
JODHPUR,0.0,Weather Condition (Poor Visibility),Injured
JODHPUR,0.0,Weather Condition (Poor Visibility),Died
JODHPUR,0.0,Weather Condition (Others Causes),Cases
JODHPUR,0.0,Weather Condition (Others Causes),Injured
JODHPUR,0.0,Weather Condition (Others Causes),Died
JODHPUR,7.0,Lack of Road Infrastructure,Cases
JODHPUR,5.0,Lack of Road Infrastructure,Injured
JODHPUR,8.0,Lack of Road Infrastructure,Died
JODHPUR,8.0,Vehicles parked at road  Shoulders,Cases
JODHPUR,5.0,Vehicles parked at road  Shoulders,Injured
JODHPUR,9.0,Vehicles parked at road  Shoulders,Died
JODHPUR,0.0,Causes Not Known,Cases
JODHPUR,0.0,Causes Not Known,Injured
JODHPUR,0.0,Causes Not Known,Died
KANNUR,242.0,Careless driving/overtaking,Cases
KANNUR,285.0,Careless driving/overtaking,Injured
KANNUR,25.0,Careless driving/overtaking,Died
KANNUR,258.0,Over speeding,Cases
KANNUR,287.0,Over speeding,Injured
KANNUR,29.0,Over speeding,Died
KANNUR,0.0,DUI,Cases
KANNUR,0.0,DUI,Injured
KANNUR,0.0,DUI,Died
KANNUR,0.0,Physical Fatigue of Drivers,Cases
KANNUR,0.0,Physical Fatigue of Drivers,Injured
KANNUR,0.0,Physical Fatigue of Drivers,Died
KANNUR,4.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KANNUR,1.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KANNUR,3.0,Defect in Mechanical Condition of Motor Vehicle,Died
KANNUR,0.0,Animal Crossing,Cases
KANNUR,0.0,Animal Crossing,Injured
KANNUR,0.0,Animal Crossing,Died
KANNUR,0.0,Weather Condition (Poor Visibility),Cases
KANNUR,0.0,Weather Condition (Poor Visibility),Injured
KANNUR,0.0,Weather Condition (Poor Visibility),Died
KANNUR,0.0,Weather Condition (Others Causes),Cases
KANNUR,0.0,Weather Condition (Others Causes),Injured
KANNUR,0.0,Weather Condition (Others Causes),Died
KANNUR,0.0,Lack of Road Infrastructure,Cases
KANNUR,0.0,Lack of Road Infrastructure,Injured
KANNUR,0.0,Lack of Road Infrastructure,Died
KANNUR,0.0,Vehicles parked at road  Shoulders,Cases
KANNUR,0.0,Vehicles parked at road  Shoulders,Injured
KANNUR,0.0,Vehicles parked at road  Shoulders,Died
KANNUR,0.0,Causes Not Known,Cases
KANNUR,0.0,Causes Not Known,Injured
KANNUR,0.0,Causes Not Known,Died
KANPUR,192.0,Careless driving/overtaking,Cases
KANPUR,126.0,Careless driving/overtaking,Injured
KANPUR,190.0,Careless driving/overtaking,Died
KANPUR,134.0,Over speeding,Cases
KANPUR,66.0,Over speeding,Injured
KANPUR,131.0,Over speeding,Died
KANPUR,0.0,DUI,Cases
KANPUR,0.0,DUI,Injured
KANPUR,0.0,DUI,Died
KANPUR,0.0,Physical Fatigue of Drivers,Cases
KANPUR,0.0,Physical Fatigue of Drivers,Injured
KANPUR,0.0,Physical Fatigue of Drivers,Died
KANPUR,11.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KANPUR,16.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KANPUR,17.0,Defect in Mechanical Condition of Motor Vehicle,Died
KANPUR,53.0,Animal Crossing,Cases
KANPUR,33.0,Animal Crossing,Injured
KANPUR,50.0,Animal Crossing,Died
KANPUR,15.0,Weather Condition (Poor Visibility),Cases
KANPUR,8.0,Weather Condition (Poor Visibility),Injured
KANPUR,15.0,Weather Condition (Poor Visibility),Died
KANPUR,1.0,Weather Condition (Others Causes),Cases
KANPUR,0.0,Weather Condition (Others Causes),Injured
KANPUR,1.0,Weather Condition (Others Causes),Died
KANPUR,0.0,Lack of Road Infrastructure,Cases
KANPUR,0.0,Lack of Road Infrastructure,Injured
KANPUR,0.0,Lack of Road Infrastructure,Died
KANPUR,5.0,Vehicles parked at road  Shoulders,Cases
KANPUR,0.0,Vehicles parked at road  Shoulders,Injured
KANPUR,5.0,Vehicles parked at road  Shoulders,Died
KANPUR,5.0,Causes Not Known,Cases
KANPUR,0.0,Causes Not Known,Injured
KANPUR,5.0,Causes Not Known,Died
KOCHI,539.0,Careless driving/overtaking,Cases
KOCHI,492.0,Careless driving/overtaking,Injured
KOCHI,45.0,Careless driving/overtaking,Died
KOCHI,800.0,Over speeding,Cases
KOCHI,894.0,Over speeding,Injured
KOCHI,51.0,Over speeding,Died
KOCHI,0.0,DUI,Cases
KOCHI,0.0,DUI,Injured
KOCHI,0.0,DUI,Died
KOCHI,0.0,Physical Fatigue of Drivers,Cases
KOCHI,0.0,Physical Fatigue of Drivers,Injured
KOCHI,0.0,Physical Fatigue of Drivers,Died
KOCHI,1.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KOCHI,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KOCHI,1.0,Defect in Mechanical Condition of Motor Vehicle,Died
KOCHI,0.0,Animal Crossing,Cases
KOCHI,0.0,Animal Crossing,Injured
KOCHI,0.0,Animal Crossing,Died
KOCHI,5.0,Weather Condition (Poor Visibility),Cases
KOCHI,5.0,Weather Condition (Poor Visibility),Injured
KOCHI,1.0,Weather Condition (Poor Visibility),Died
KOCHI,0.0,Weather Condition (Others Causes),Cases
KOCHI,0.0,Weather Condition (Others Causes),Injured
KOCHI,0.0,Weather Condition (Others Causes),Died
KOCHI,14.0,Lack of Road Infrastructure,Cases
KOCHI,14.0,Lack of Road Infrastructure,Injured
KOCHI,3.0,Lack of Road Infrastructure,Died
KOCHI,0.0,Vehicles parked at road  Shoulders,Cases
KOCHI,0.0,Vehicles parked at road  Shoulders,Injured
KOCHI,0.0,Vehicles parked at road  Shoulders,Died
KOCHI,0.0,Causes Not Known,Cases
KOCHI,0.0,Causes Not Known,Injured
KOCHI,0.0,Causes Not Known,Died
KOLKATA,612.0,Careless driving/overtaking,Cases
KOLKATA,602.0,Careless driving/overtaking,Injured
KOLKATA,7.0,Careless driving/overtaking,Died
KOLKATA,389.0,Over speeding,Cases
KOLKATA,375.0,Over speeding,Injured
KOLKATA,13.0,Over speeding,Died
KOLKATA,345.0,DUI,Cases
KOLKATA,338.0,DUI,Injured
KOLKATA,2.0,DUI,Died
KOLKATA,32.0,Physical Fatigue of Drivers,Cases
KOLKATA,27.0,Physical Fatigue of Drivers,Injured
KOLKATA,2.0,Physical Fatigue of Drivers,Died
KOLKATA,47.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KOLKATA,46.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KOLKATA,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
KOLKATA,0.0,Animal Crossing,Cases
KOLKATA,0.0,Animal Crossing,Injured
KOLKATA,0.0,Animal Crossing,Died
KOLKATA,107.0,Weather Condition (Poor Visibility),Cases
KOLKATA,0.0,Weather Condition (Poor Visibility),Injured
KOLKATA,5.0,Weather Condition (Poor Visibility),Died
KOLKATA,48.0,Weather Condition (Others Causes),Cases
KOLKATA,0.0,Weather Condition (Others Causes),Injured
KOLKATA,3.0,Weather Condition (Others Causes),Died
KOLKATA,32.0,Lack of Road Infrastructure,Cases
KOLKATA,0.0,Lack of Road Infrastructure,Injured
KOLKATA,3.0,Lack of Road Infrastructure,Died
KOLKATA,25.0,Vehicles parked at road  Shoulders,Cases
KOLKATA,0.0,Vehicles parked at road  Shoulders,Injured
KOLKATA,4.0,Vehicles parked at road  Shoulders,Died
KOLKATA,22.0,Causes Not Known,Cases
KOLKATA,6.0,Causes Not Known,Injured
KOLKATA,17.0,Causes Not Known,Died
KOLLAM,105.0,Careless driving/overtaking,Cases
KOLLAM,92.0,Careless driving/overtaking,Injured
KOLLAM,14.0,Careless driving/overtaking,Died
KOLLAM,1124.0,Over speeding,Cases
KOLLAM,1107.0,Over speeding,Injured
KOLLAM,150.0,Over speeding,Died
KOLLAM,4.0,DUI,Cases
KOLLAM,4.0,DUI,Injured
KOLLAM,0.0,DUI,Died
KOLLAM,0.0,Physical Fatigue of Drivers,Cases
KOLLAM,0.0,Physical Fatigue of Drivers,Injured
KOLLAM,0.0,Physical Fatigue of Drivers,Died
KOLLAM,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KOLLAM,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KOLLAM,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
KOLLAM,0.0,Animal Crossing,Cases
KOLLAM,0.0,Animal Crossing,Injured
KOLLAM,0.0,Animal Crossing,Died
KOLLAM,0.0,Weather Condition (Poor Visibility),Cases
KOLLAM,0.0,Weather Condition (Poor Visibility),Injured
KOLLAM,0.0,Weather Condition (Poor Visibility),Died
KOLLAM,0.0,Weather Condition (Others Causes),Cases
KOLLAM,0.0,Weather Condition (Others Causes),Injured
KOLLAM,0.0,Weather Condition (Others Causes),Died
KOLLAM,0.0,Lack of Road Infrastructure,Cases
KOLLAM,0.0,Lack of Road Infrastructure,Injured
KOLLAM,0.0,Lack of Road Infrastructure,Died
KOLLAM,4.0,Vehicles parked at road  Shoulders,Cases
KOLLAM,3.0,Vehicles parked at road  Shoulders,Injured
KOLLAM,2.0,Vehicles parked at road  Shoulders,Died
KOLLAM,174.0,Causes Not Known,Cases
KOLLAM,175.0,Causes Not Known,Injured
KOLLAM,28.0,Causes Not Known,Died
KOTA,6.0,Careless driving/overtaking,Cases
KOTA,9.0,Careless driving/overtaking,Injured
KOTA,0.0,Careless driving/overtaking,Died
KOTA,338.0,Over speeding,Cases
KOTA,345.0,Over speeding,Injured
KOTA,59.0,Over speeding,Died
KOTA,1.0,DUI,Cases
KOTA,1.0,DUI,Injured
KOTA,0.0,DUI,Died
KOTA,0.0,Physical Fatigue of Drivers,Cases
KOTA,0.0,Physical Fatigue of Drivers,Injured
KOTA,0.0,Physical Fatigue of Drivers,Died
KOTA,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KOTA,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KOTA,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
KOTA,0.0,Animal Crossing,Cases
KOTA,0.0,Animal Crossing,Injured
KOTA,0.0,Animal Crossing,Died
KOTA,0.0,Weather Condition (Poor Visibility),Cases
KOTA,0.0,Weather Condition (Poor Visibility),Injured
KOTA,0.0,Weather Condition (Poor Visibility),Died
KOTA,0.0,Weather Condition (Others Causes),Cases
KOTA,0.0,Weather Condition (Others Causes),Injured
KOTA,0.0,Weather Condition (Others Causes),Died
KOTA,0.0,Lack of Road Infrastructure,Cases
KOTA,0.0,Lack of Road Infrastructure,Injured
KOTA,0.0,Lack of Road Infrastructure,Died
KOTA,0.0,Vehicles parked at road  Shoulders,Cases
KOTA,0.0,Vehicles parked at road  Shoulders,Injured
KOTA,0.0,Vehicles parked at road  Shoulders,Died
KOTA,8.0,Causes Not Known,Cases
KOTA,7.0,Causes Not Known,Injured
KOTA,1.0,Causes Not Known,Died
KOZHIKODE,627.0,Careless driving/overtaking,Cases
KOZHIKODE,634.0,Careless driving/overtaking,Injured
KOZHIKODE,63.0,Careless driving/overtaking,Died
KOZHIKODE,333.0,Over speeding,Cases
KOZHIKODE,337.0,Over speeding,Injured
KOZHIKODE,21.0,Over speeding,Died
KOZHIKODE,4.0,DUI,Cases
KOZHIKODE,2.0,DUI,Injured
KOZHIKODE,0.0,DUI,Died
KOZHIKODE,0.0,Physical Fatigue of Drivers,Cases
KOZHIKODE,0.0,Physical Fatigue of Drivers,Injured
KOZHIKODE,0.0,Physical Fatigue of Drivers,Died
KOZHIKODE,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
KOZHIKODE,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
KOZHIKODE,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
KOZHIKODE,0.0,Animal Crossing,Cases
KOZHIKODE,0.0,Animal Crossing,Injured
KOZHIKODE,0.0,Animal Crossing,Died
KOZHIKODE,8.0,Weather Condition (Poor Visibility),Cases
KOZHIKODE,7.0,Weather Condition (Poor Visibility),Injured
KOZHIKODE,4.0,Weather Condition (Poor Visibility),Died
KOZHIKODE,0.0,Weather Condition (Others Causes),Cases
KOZHIKODE,0.0,Weather Condition (Others Causes),Injured
KOZHIKODE,0.0,Weather Condition (Others Causes),Died
KOZHIKODE,0.0,Lack of Road Infrastructure,Cases
KOZHIKODE,0.0,Lack of Road Infrastructure,Injured
KOZHIKODE,0.0,Lack of Road Infrastructure,Died
KOZHIKODE,9.0,Vehicles parked at road  Shoulders,Cases
KOZHIKODE,12.0,Vehicles parked at road  Shoulders,Injured
KOZHIKODE,0.0,Vehicles parked at road  Shoulders,Died
KOZHIKODE,19.0,Causes Not Known,Cases
KOZHIKODE,20.0,Causes Not Known,Injured
KOZHIKODE,3.0,Causes Not Known,Died
LUCKNOW,354.0,Careless driving/overtaking,Cases
LUCKNOW,280.0,Careless driving/overtaking,Injured
LUCKNOW,141.0,Careless driving/overtaking,Died
LUCKNOW,375.0,Over speeding,Cases
LUCKNOW,236.0,Over speeding,Injured
LUCKNOW,174.0,Over speeding,Died
LUCKNOW,31.0,DUI,Cases
LUCKNOW,13.0,DUI,Injured
LUCKNOW,1.0,DUI,Died
LUCKNOW,19.0,Physical Fatigue of Drivers,Cases
LUCKNOW,11.0,Physical Fatigue of Drivers,Injured
LUCKNOW,8.0,Physical Fatigue of Drivers,Died
LUCKNOW,5.0,Defect in Mechanical Condition of Motor Vehicle,Cases
LUCKNOW,5.0,Defect in Mechanical Condition of Motor Vehicle,Injured
LUCKNOW,2.0,Defect in Mechanical Condition of Motor Vehicle,Died
LUCKNOW,11.0,Animal Crossing,Cases
LUCKNOW,10.0,Animal Crossing,Injured
LUCKNOW,11.0,Animal Crossing,Died
LUCKNOW,24.0,Weather Condition (Poor Visibility),Cases
LUCKNOW,11.0,Weather Condition (Poor Visibility),Injured
LUCKNOW,4.0,Weather Condition (Poor Visibility),Died
LUCKNOW,6.0,Weather Condition (Others Causes),Cases
LUCKNOW,0.0,Weather Condition (Others Causes),Injured
LUCKNOW,0.0,Weather Condition (Others Causes),Died
