City,Result,Cause of accident,Type
AMRITSAR,55.0,Over speeding,Cases
AMRITSAR,30.0,Over speeding,Injured
AMRITSAR,37.0,Over speeding,Died
AMRITSAR,1.0,DUI,Cases
AMRITSAR,1.0,DUI,Injured
AMRITSAR,0.0,DUI,Died
AMRITSAR,0.0,Physical Fatigue of Drivers,Cases
AMRITSAR,0.0,Physical Fatigue of Drivers,Injured
AMRITSAR,0.0,Physical Fatigue of Drivers,Died
AMRITSAR,41.0,Defect in Mechanical Condition of Motor Vehicle,Cases
AMRITSAR,28.0,Defect in Mechanical Condition of Motor Vehicle,Injured
AMRITSAR,26.0,Defect in Mechanical Condition of Motor Vehicle,Died
AMRITSAR,1.0,Animal Crossing,Cases
AMRITSAR,0.0,Animal Crossing,Injured
AMRITSAR,1.0,Animal Crossing,Died
AMRITSAR,0.0,Weather Condition (Poor Visibility),Cases
AMRITSAR,0.0,Weather Condition (Poor Visibility),Injured
AMRITSAR,0.0,Weather Condition (Poor Visibility),Died
AMRITSAR,0.0,Weather Condition (Others Causes),Cases
AMRITSAR,0.0,Weather Condition (Others Causes),Injured
AMRITSAR,0.0,Weather Condition (Others Causes),Died
AMRITSAR,0.0,Lack of Road Infrastructure,Cases
AMRITSAR,0.0,Lack of Road Infrastructure,Injured
AMRITSAR,0.0,Lack of Road Infrastructure,Died
AMRITSAR,0.0,Vehicles parked at road  Shoulders,Cases
AMRITSAR,0.0,Vehicles parked at road  Shoulders,Injured
AMRITSAR,0.0,Vehicles parked at road  Shoulders,Died
AMRITSAR,0.0,Causes Not Known,Cases
AMRITSAR,0.0,Causes Not Known,Injured
AMRITSAR,0.0,Causes Not Known,Died
ASANSOL,258.0,Careless driving/overtaking,Cases
ASANSOL,131.0,Careless driving/overtaking,Injured
ASANSOL,189.0,Careless driving/overtaking,Died
ASANSOL,153.0,Over speeding,Cases
ASANSOL,87.0,Over speeding,Injured
ASANSOL,113.0,Over speeding,Died
ASANSOL,0.0,DUI,Cases
ASANSOL,0.0,DUI,Injured
ASANSOL,0.0,DUI,Died
ASANSOL,0.0,Physical Fatigue of Drivers,Cases
ASANSOL,0.0,Physical Fatigue of Drivers,Injured
ASANSOL,0.0,Physical Fatigue of Drivers,Died
ASANSOL,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
ASANSOL,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
ASANSOL,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
ASANSOL,0.0,Animal Crossing,Cases
ASANSOL,0.0,Animal Crossing,Injured
ASANSOL,0.0,Animal Crossing,Died
ASANSOL,0.0,Weather Condition (Poor Visibility),Cases
ASANSOL,0.0,Weather Condition (Poor Visibility),Injured
ASANSOL,0.0,Weather Condition (Poor Visibility),Died
ASANSOL,0.0,Weather Condition (Others Causes),Cases
ASANSOL,0.0,Weather Condition (Others Causes),Injured
ASANSOL,0.0,Weather Condition (Others Causes),Died
ASANSOL,0.0,Lack of Road Infrastructure,Cases
ASANSOL,0.0,Lack of Road Infrastructure,Injured
ASANSOL,0.0,Lack of Road Infrastructure,Died
ASANSOL,0.0,Vehicles parked at road  Shoulders,Cases
ASANSOL,0.0,Vehicles parked at road  Shoulders,Injured
ASANSOL,0.0,Vehicles parked at road  Shoulders,Died
ASANSOL,16.0,Causes Not Known,Cases
ASANSOL,28.0,Causes Not Known,Injured
ASANSOL,12.0,Causes Not Known,Died
AURANGABAD,0.0,Careless driving/overtaking,Cases
AURANGABAD,0.0,Careless driving/overtaking,Injured
AURANGABAD,0.0,Careless driving/overtaking,Died
AURANGABAD,372.0,Over speeding,Cases
AURANGABAD,258.0,Over speeding,Injured
AURANGABAD,163.0,Over speeding,Died
AURANGABAD,0.0,DUI,Cases
AURANGABAD,0.0,DUI,Injured
AURANGABAD,0.0,DUI,Died
AURANGABAD,0.0,Physical Fatigue of Drivers,Cases
AURANGABAD,0.0,Physical Fatigue of Drivers,Injured
AURANGABAD,0.0,Physical Fatigue of Drivers,Died
AURANGABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
AURANGABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
AURANGABAD,0.0,Defect in Mechanical Condition of Motor Vehicle,Died
AURANGABAD,0.0,Animal Crossing,Cases
AURANGABAD,0.0,Animal Crossing,Injured
AURANGABAD,0.0,Animal Crossing,Died
AURANGABAD,0.0,Weather Condition (Poor Visibility),Cases
AURANGABAD,0.0,Weather Condition (Poor Visibility),Injured
AURANGABAD,0.0,Weather Condition (Poor Visibility),Died
AURANGABAD,0.0,Weather Condition (Others Causes),Cases
AURANGABAD,0.0,Weather Condition (Others Causes),Injured
AURANGABAD,0.0,Weather Condition (Others Causes),Died
AURANGABAD,0.0,Lack of Road Infrastructure,Cases
AURANGABAD,0.0,Lack of Road Infrastructure,Injured
AURANGABAD,0.0,Lack of Road Infrastructure,Died
AURANGABAD,0.0,Vehicles parked at road  Shoulders,Cases
AURANGABAD,0.0,Vehicles parked at road  Shoulders,Injured
AURANGABAD,0.0,Vehicles parked at road  Shoulders,Died
AURANGABAD,0.0,Causes Not Known,Cases
AURANGABAD,0.0,Causes Not Known,Injured
AURANGABAD,0.0,Causes Not Known,Died
BENGALURU,213.0,Careless driving/overtaking,Cases
BENGALURU,88.0,Careless driving/overtaking,Injured
BENGALURU,39.0,Careless driving/overtaking,Died
BENGALURU,2993.0,Over speeding,Cases
BENGALURU,2650.0,Over speeding,Injured
BENGALURU,596.0,Over speeding,Died
BENGALURU,27.0,DUI,Cases
BENGALURU,13.0,DUI,Injured
BENGALURU,11.0,DUI,Died
BENGALURU,0.0,Physical Fatigue of Drivers,Cases
BENGALURU,0.0,Physical Fatigue of Drivers,Injured
BENGALURU,0.0,Physical Fatigue of Drivers,Died
BENGALURU,0.0,Defect in Mechanical Condition of Motor Vehicle,Cases
BENGALURU,0.0,Defect in Mechanical Condition of Motor Vehicle,Injured
