மண்டலம் ,வார்டு எண்,மரியாதைத் தலைப்பு,வேட்பாளரின் பெயர்,வேட்பாளரின் தந்தை/கணவர் பெயர்,பாலினம்‌,வயது,அரசியல் கட்சியின் பெயர்,கட்சியின் பெயர் (s),Name of candidate,Party (s),Party name,இட ஒதுக்கீடு ,Reservation
9,115,திருமதி,வெ ஈஸ்வரி வெங்கடேசன்,வெங்கடேசன்,பெண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Eswari Venkatesan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,116,திரு,ஏஆர்பி எம் காமராஜ் எ தனசேகரன்,செல்வி,ஆண்,60,திராவிட முன்னேற்றக் கழகம்,திமுக,Kamaraj (A)DhanasekarARPM,DMK,Dravida Munnetra Kazhagam,பொது,General
9,117,திரு,பொ திருமலை,பொன்னுரங்கம்,ஆண்,43,திராவிட முன்னேற்றக் கழகம்,திமுக,Thirumalai,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
9,118,திருமதி,யு மல்லிகா,கோ யுவராஜ்,பெண்,63,திராவிட முன்னேற்றக் கழகம்,திமுக,Malliga,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,119,திருமதி,வே கமலா செழியன்,செழியன் கா வே,பெண்,61,திராவிட முன்னேற்றக் கழகம்,திமுக,Kamala chezhian,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,120,திருமதி,ரா மங்கை,ராஜ்குமார்,பெண்,33,திராவிட முன்னேற்றக் கழகம்,திமுக,Mangai,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
9,121,திரு,கி மதிவாணன்,கிருஷ்ணன்,ஆண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Mathivanan,DMK,Dravida Munnetra Kazhagam,பொது,General
9,122,திருமதி,வா ஷீபா,வாசி,பெண்,73,திராவிட முன்னேற்றக் கழகம்,திமுக,Sheeba,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,123,திருமதி,மோ சரஸ்வதி,என் மோகனரங்கம்,பெண்,52,இந்திய கம்யூனிஸ்ட் கட்சி (மார்க்சிஸ்ட்),சி.பி.எம் ,Sara swath i,CPI (M),Communist Party of India (Marxist),பெண்கள் (பொது) ,Women (General)
9,124,திருமதி,கி விமலா,டி கிருஷ்ணமூர்த்தி,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Vimala,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,125,திருமதி,அ ரேவதி,அன்புதாசன்,பெண்,42,திராவிட முன்னேற்றக் கழகம்,திமுக,Revathi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
9,126,செல்வி,செல்வி  அமிர்தா வர்ஷினி,ராஜேந்திரன்,பெண்,40,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Amirthavarshini,INC,Indian National Congress,பெண்கள் (பொது) ,Women (General)
10,127,திரு,பொ லோகு,பா பொன்னுரங்கம்,ஆண்,51,திராவிட முன்னேற்றக் கழகம்,திமுக,Logu,DMK,Dravida Munnetra Kazhagam,பொது,General
10,128,திருமதி,ஆர் ஸ்டெல்லா ஜாஸ்மின் ரத்னா,வி லோகேஸ்வரன்,பெண்,43,திராவிட முன்னேற்றக் கழகம்,திமுக,Stella Jasmine Rathna,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
10,129,திரு,மு ரவிசங்கர் என்கின்ற இராசா,முனுசாமி,ஆண்,61,திராவிட முன்னேற்றக் கழகம்,திமுக,Ravishankar (A) Rasa,DMK,Dravida Munnetra Kazhagam,பொது,General
10,130,திரு,சு பாஸ்கர்,எ சுந்தரம்,ஆண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Baskar,DMK,Dravida Munnetra Kazhagam,பொது,General
10,131,திருமதி,ம கோமதி,மு.மணி,பெண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Gomathi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
10,132,திருமதி,பா  கார்த்திகா,பாஸ்கர்,பெண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Karthika,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
10,133,திரு,கே ஏழுமலை ,குப்புசாமி,ஆண்,67,திராவிட முன்னேற்றக் கழகம்,திமுக,Elumalai,DMK,Dravida Munnetra Kazhagam,பொது,General
10,134,திருமதி, உமா ஆனந்தன்,ஆனந்தன்,பெண்,66,பாரதிய ஜனதா கட்சி,பாஜக,Uma Anandhan,BJP,Bharatiya Janata Party,பெண்கள் (பொது) ,Women (General)
10,135,திருமதி, சாந்தி என்கின்ற  யாழினி,பாஸ்கர்,பெண்,48,விடுதலைச் சிறுத்தைகள் கட்சி,விசிக,Shanthi (A) Azhini,VCK,Viduthalai Chiruthaigal Katchi,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
10,136,செல்வி,செல்வி து நிலவரசி,துரைராஜ் உ,பெண்,22,திராவிட முன்னேற்றக் கழகம்,திமுக,Nilavarasi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
10,137,திரு,க தனசேகரன்,கருப்பு தேவர்,ஆண்,60,திராவிட முன்னேற்றக் கழகம்,திமுக,Dhanasekaran,DMK,Dravida Munnetra Kazhagam,பொது,General
10,138,திரு,கே கண்ணன்,ஏ எல் கிருஷ்ணன்,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,திமுக,Kannan,DMK,Dravida Munnetra Kazhagam,பொது,General
10,139,திரு,ப  சுப்பிரமணி,பரமசிவம்,ஆண்,52,மறுமலர்ச்சி திராவிட முன்னேற்றக் கழகம்,ம.தி.மு.க,Subramani,MDMK,Marumalarchi Dravida Munnetra Kazhagam,பொது,General
10,140,திரு,எம் ஸ்ரீதரன்,மனோகரன்,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,திமுக,Sridharan,DMK,Dravida Munnetra Kazhagam,பொது,General
10,141,திரு, ராஜா அன்பழகன்,அன்பழகன்,ஆண்,42,திராவிட முன்னேற்றக் கழகம்,திமுக,Raja Anbazhagan,DMK,Dravida Munnetra Kazhagam,பொது,General
10,142,திரு,எம் கிருஷ்ணமூர்த்தி,நாராயணசாமி,ஆண்,53,திராவிட முன்னேற்றக் கழகம்,திமுக,Krishnamoorthy,DMK,Dravida Munnetra Kazhagam,பொது,General
11,143,திரு,வே ராஜன்,பி.வேலாயுதம்,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Rajan,DMK,Dravida Munnetra Kazhagam,பொது,General
11,144,திரு,ஏ ஸ்டாலின்,ஏகாம்பரம்,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Stalin,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
11,145,திரு,த சத்தியநாதன்,தன்சிங்,ஆண்,45,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Sathya Nathan,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
11,146,திரு,கு ஆலப்பாக்கம்  கே சண்முகம்,குப்புசாமி,ஆண்,66,திராவிட முன்னேற்றக் கழகம்,திமுக,Alapakkam K Shanmugam,DMK,Dravida Munnetra Kazhagam,பொது,General
11,147,திருமதி,மா ரமணி மாதவன்,எஸ்.ஜி.மாதவன்,பெண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Ramani Madhavan,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
11,148,திரு,வி கிரிதரன்,எம்.பி.விநாயகம்,ஆண்,39,அம்மா மக்கள் முன்னேற்றக் கழகம்,அமமுக,Giridharan,AMMK,Amma Makkal Munnettra Kazagam,பொது,General
11,149,திருமதி,ர செல்வி ரமேஷ்,டி.ரமேஷ்,பெண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Selvi Ramesh,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
11,150,திருமதி,க ஹேமலதா,கே கணபதி,பெண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Hemalatha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
11,151,திரு,ச சங்கர் கணேஷ்,எஸ் சண்முகம்,ஆண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Shankar Ganesh,DMK,Dravida Munnetra Kazhagam,பொது,General
11,152,திருமதி,ச பாரதி,இ அண்ணாவேலவன்,பெண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Bharathi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
11,153,திருமதி, சாந்தி ராமலிங்கம்,ஜி ராமலிங்கம்,பெண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Shanthi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
11,154,திரு,வ செல்வக்குமார்,வடிவேல்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Selvakumar,DMK,Dravida Munnetra Kazhagam,பொது,General
11,155,திரு,க ராஜு,கதிர்வேல்,ஆண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Raji,DMK,Dravida Munnetra Kazhagam,பொது,General
12,156,திரு,ஜெ செல்வேந்திரன் ,  டி  ஜெயவேல் ,ஆண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Selvendran.J,DMK,Dravida Munnetra Kazhagam,பொது,General
12,157,திருமதி,பா    உஷாராணி,  மு  பாண்டியன் ,பெண்,50,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Usharani,ADMK,All India Anna Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,158,திருமதி,கோ  க   பாரதி , ம   கோ  கருணாநிதி,பெண்,33,திராவிட முன்னேற்றக் கழகம்,திமுக,Bharathi Ko,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,159,திருமதி,எஸ்  அமுத பிரியா,கோ . செல்வராஜ்,பெண்,49,திராவிட முன்னேற்றக் கழகம்,திமுக,Amudha Priya.S,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
12,160,திருமதி,டி எம்   பிருந்தா ஸ்ரீ ,கோ .பி. முரளி கிருஷ்ணன்,பெண்,25,திராவிட முன்னேற்றக் கழகம்,திமுக,Brindha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,161,திருமதி,எஸ்    ரேணுகா,எம் . ஆர் . சீனிவாசன் ,பெண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Renuka,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,162,திரு,அ சாலமோன்,எ.அந்தோணி,ஆண்,58,திராவிட முன்னேற்றக் கழகம்,திமுக,Solomon,DMK,Dravida Munnetra Kazhagam,பொது,General
12,163,திருமதி,ஜெ   பூங்கொடி, கே . ஆர் . ஜெகதீஸ்வரன்,பெண்,34,திராவிட முன்னேற்றக் கழகம்,திமுக,Poongkodi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,164,திருமதி,ஜே தேவி,டி ஜேசுதாஸ்,பெண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Devi.J,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
12,165,திரு, நாஞ்சில் வி ஈஸ்வர பிரசாத், ஈ . வேலப்பன்பிள்ளை ,ஆண்,55,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Nanjil V Eswara Prasad,INC,Indian National Congress,பொது,General
12,166,திரு,என்   சந்திரன் ,நடேசன் .பி ,ஆண்,62,திராவிட முன்னேற்றக் கழகம்,திமுக,Chandran,DMK,Dravida Munnetra Kazhagam,பொது,General
12,167,திருமதி,சி   துர்கா தேவி  ,ஜே  நடராஜன் ,பெண்,31,திராவிட முன்னேற்றக் கழகம்,திமுக,Durga Devi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
13,168,திரு,தா மோகன்குமார்,தாமோதரன்,ஆண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Mohankumar,DMK,Dravida Munnetra Kazhagam,பொது,General
13,169,திரு,மு மகேஷ்குமார்,முனுசாமி,ஆண்,51,திராவிட முன்னேற்றக் கழகம்,திமுக,Mahesh Kumar,DMK,Dravida Munnetra Kazhagam,பொது,General
13,170,திரு,கே ஆர் கதிர்முருகன்,ராஜாராம்,ஆண்,46,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Kathir Murugan,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
13,171,திருமதி,ரா கீதா,எஸ். முரளி,பெண்,44,திராவிட முன்னேற்றக் கழகம்,திமுக,Geetha,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
13,172,திரு,ரா துரைராஜ்,ராமச்சந்திரன்,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Durairaj,DMK,Dravida Munnetra Kazhagam,பொது,General
13,173,திருமதி,து சுபாஷினி,துரை,பெண்,32,இந்திய தேசிய காங்கிரஸ் ,இ.தே.கா,Subhashini,INC,Indian National Congress,பெண்கள் (பொது) ,Women (General)
13,174,திருமதி,ம ராதிகா,சீனிவாசன்,பெண்,41,திராவிட முன்னேற்றக் கழகம்,திமுக,Radhika,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
13,175,திருமதி,மு மகேஸ்வரி முருகவேல்,முருகவேல்,பெண்,39,திராவிட முன்னேற்றக் கழகம்,திமுக,Mageshwari Murugavel,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
13,176,திரு,வே ஆனந்தம்,வேதம்,ஆண்,47,திராவிட முன்னேற்றக் கழகம்,திமுக,Anandham,DMK,Dravida Munnetra Kazhagam,பொது,General
13,177,திரு,பெ மணிமாறன் ,பெருமாள்,ஆண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Manimaran,DMK,Dravida Munnetra Kazhagam,பொது,General
13,178,திரு,எஸ் பாஸ்கரன்,பா பரமேஸ்வரி,ஆண்,55,திராவிட முன்னேற்றக் கழகம்,திமுக,Baskaran,DMK,Dravida Munnetra Kazhagam,பொது,General
13,179,திருமதி,ஜெ கயல்விழி,ஜெயக்குமார்,பெண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Kayalvizhi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
13,180,திருமதி,க விசாலாட்சி,துரைகபிலன்,பெண்,52,திராவிட முன்னேற்றக் கழகம்,திமுக,Vishalakshi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
14,181,திரு,த விஸ்வநாதன்,வி.தட்சிணாமூர்த்தி,ஆண்,54,திராவிட முன்னேற்றக் கழகம்,திமுக,Viswanathan,DMK,Dravida Munnetra Kazhagam,பொது,General
14,182,திரு,கேபிகே சதீஷ்குமார்,கே.பி.கந்தன்,ஆண்,32,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Sathishkumar KPK,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
14,183,திருமதி,சோமு டாக்டர் தமிழரசி,க.சோமு,பெண்,36,திராவிட முன்னேற்றக் கழகம்,திமுக,Tamizharasi Somu,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
14,184,திரு,எஸ்வி ரவிச்சந்திரன்,எஸ்.ஆர்.வேணுகோபால்,ஆண்,56,திராவிட முன்னேற்றக் கழகம்,திமுக,Ravichandran,DMK,Dravida Munnetra Kazhagam,பொது,General
14,185,திருமதி,தி சர்மிளாதேவி,ஜெ.திவாகர்,பெண்,37,திராவிட முன்னேற்றக் கழகம்,திமுக,Sharmila devi,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
14,186,திரு,ஜெ மணிகண்டன்,பி.ஏ.ஜெயச்சந்திரன்,ஆண்,45,திராவிட முன்னேற்றக் கழகம்,திமுக,Manikandan,DMK,Dravida Munnetra Kazhagam,பொது,General
14,187,திருமதி,ஜெ ஷெர்லி தாமஸ்,ஜெயராமன் ,பெண்,55,திராவிட முன்னேற்றக் கழகம்,திமுக,Sherli Thomas,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
14,188,திருமதி,செ சமீனா,சி.செல்வம்,பெண்,38,திராவிட முன்னேற்றக் கழகம்,திமுக,Shamina,DMK,Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
14,189,திரு,வ  பாபு,வரதராஜ்,ஆண்,46,திராவிட முன்னேற்றக் கழகம்,திமுக,Babu,DMK,Dravida Munnetra Kazhagam,பொது,General
14,190,திரு,பி சிவப்பிரகாசம்,பஞ்சலிங்கம்,ஆண்,48,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Sivaprakasam,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
14,191,திருமதி,ஜெ எல் லட்சுமி,லட்சுமணன்,பெண்,42,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Lakshmi,ADMK,All India Anna Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
15,192,திரு,எ மதியழகன்,வ எட்டியப்பன்,ஆண்,39,திராவிட முன்னேற்றக் கழகம்,திமுக,Mathiazhagan,DMK,Dravida Munnetra Kazhagam,பொது,General
15,193,திரு,து ச கோவிந்தசாமி,அ சந்திரன்,ஆண்,59,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Govindhaswamy,ADMK,All India Anna Dravida Munnetra Kazhagam,பொது,General
15,194,திருமதி,க விமலா கர்ணா,சு. கர்ணா,பெண்,39,சுயேச்சை,Independent,Vimala Kama,Independent,Independent,பொது,General
15,195,திரு,க ஏகாம்பரம்,கன்னையன்,ஆண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Ekambaram,DMK,Dravida Munnetra Kazhagam,பொது,General
15,196,திருமதி,க அஸ்வினி,க பாலாஜி,பெண்,25,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Ashwini,ADMK,All India Anna Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பெண்கள்),Scheduled Castes (Women)
15,197,திருமதி,ச மேனகா,சங்கர்,பெண்,35,அனைத்திந்திய அண்ணா திராவிட முன்னேற்றக் கழகம்,அஇஅதிமுக,Menaka,ADMK,All India Anna Dravida Munnetra Kazhagam,பெண்கள் (பொது) ,Women (General)
15,198,திரு,நா சுந்தரம்,வே நாராயணசாமி,ஆண்,66,சுயேச்சை,Independent,Sundaram,Independent,Independent,பொது,General
15,199,திரு,க சங்கர்,எஸ்.பி. கணேசன்,ஆண்,48,திராவிட முன்னேற்றக் கழகம்,திமுக,Shankar,DMK,Dravida Munnetra Kazhagam,பொது,General
15,200,திரு,அ முருகேசன்,சி.அண்ணாமலை,ஆண்,50,திராவிட முன்னேற்றக் கழகம்,திமுக,Murugesan,DMK,Dravida Munnetra Kazhagam,பட்டியல் சாதியினர் (பொது),Scheduled Castes (General)
