Title,Rice,Wheat,Atta,Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk,Groundnut Oil,Mustard Oil,Vanaspati/Dalda,Soya Oil,Sunflower Oil,Palm Oil,Jaggery,Tea,Salt,Potato,Onion,Tomato,Date,Lat,Lon,Zone
DINDORI,26,23,32,68,80,70,85,65,40,70,200,110,100,110,135,NR,45,230,28,20,20,30,2023-06-15,,,
NIWARI,30,24,28,68,153,110,110,85,43,65,220,129,129,110,160,NR,46,220,28,15,15,20,2023-06-15,,,
SEONI,46,33,35,72,125,91,106,82,40,54,194,121,106,122,126,NR,39,187,11,17,10,35,2023-06-15,,,
MUMBAI,37,46,55,99,146,140,139,104,46,58,193,152,155,126,131,86,76,310,26,23,20,26,2023-06-15,19.0785451,72.878176,WEST ZONE
NAGPUR,37,34,49,72,147,115,117,83,46,52,200,182,145,117,140,96,62,283,27,24,23,38,2023-06-15,21.1498134,79.0820556,WEST ZONE
PUNE,48,37,49,68,139,107,118,76,46,69,198,165,117,108,109,105,38,303,24,21,17,30,2023-06-15,18.521428,73.8544541,WEST ZONE
NASHIK,35,39,36,75,142,114,114,87,40,54,190,192,133,104,121,104,54,300,26,25,20,24,2023-06-15,20.0112475,73.7902364,WEST ZONE
MANGAON-RAIGAD,36,48,46,78,138,127,114,91,48,57,169,137,136,114,118,101,65,315,26,34,26,27,2023-06-15,18.2976135,73.2925142,WEST ZONE
DHARNI,33,30,33,74,146,104,112,82,40,40,182,181,128,110,177,NR,45,300,12,26,20,40,2023-06-15,21.5623789,76.8904785,WEST ZONE
LATUR,59,42,40,70,140,119,118,96,36,62,187,152,93,109,113,102,41,208,28,25,19,30,2023-06-15,18.3515907,76.7554236,WEST ZONE
AKLUJ,45,39,39,69,109,112,94,102,40,52,179,149,139,138,168,109,49,292,29,29,19,17,2023-06-15,,,
ARNI YAVATMAL,46,34,37,67,126,108,110,97,40,60,195,184,130,112,133,NR,53,302,12,23,20,30,2023-06-15,,,
CHANDRAPUR,33,36,46,80,130,122,121,103,40,58,187,170,168,98,146,NR,55,203,28,20,16,13,2023-06-15,,,
KARAD SATARA,41,34,45,71,152,123,122,98,40,70,187,168,131,114,120,102,48,269,28,22,20,27,2023-06-15,,,
AHEMEDNAGAR,51,35,42,71,136,108,111,101,39,51,173,188,112,119,130,113,44,220,26,21,11,24,2023-06-15,,,
KHULTABAD,48,30,35,65,105,101,100,95,38,46,187,NR,118,108,122,107,53,263,20,30,12,20,2023-06-15,,,
ISLAMPUR,53,42,46,67,136,115,109,104,39,67,180,176,110,127,146,109,48,323,30,32,21,24,2023-06-15,,,
KANKAVLI,46,42,41,75,137,125,130,110,41,53,173,172,139,124,129,108,51,338,20,28,21,21,2023-06-15,,,
PARTUR,60,30,40,60,140,109,109,97,40,55,164,198,159,106,144,107,40,409,10,22,10,19,2023-06-15,,,
GONDIA,49,38,39,65,131,106,107,86,42,46,185,185,106,113,144,110,44,200,20,18,16,9,2023-06-15,,,
JALGAON,40,35,39,73,151,119,117,98,40,60,209,157,138,113,122,116,52,365,27,20,22,19,2023-06-15,,,
AKOLA,45,29,46,69,140,99,105,108,40,65,170,160,160,110,109,109,54,283,26,16,13,19,2023-06-15,,,
JAIPUR,39,31,31,65,138,110,105,78,43,50,210,130,115,121,133,NR,42,280,17,18,20,18,2023-06-15,26.9154576,75.8189817,WEST ZONE
JODHPUR,37,34,36,64,118,111,108,76,41,33,185,165,NR,NR,135,NR,47,260,18,27,23,35,2023-06-15,26.2756829,73.0296973,WEST ZONE
KOTA,35,26,33,79,118,103,104,96,42,55,177,160,132,153,167,NR,49,240,25,18,18,16,2023-06-15,25.1737019,75.8574194,WEST ZONE
UDAIPUR,32,29,31,98,98,99,99,97,42,45,197,200,134,200,NR,135,54,333,23,13,13,30,2023-06-15,24.578721,73.6862571,WEST ZONE
BHARATPUR,38,25,30,74,137,118,118,88,42,58,198,117,108,110,NR,NR,45,295,26,17,16,20,2023-06-15,27.2652124,77.3691255,WEST ZONE
AJMER,38,30,32,65,110,105,100,75,40,49,193,140,110,145,141,111,38,320,20,11,13,16,2023-06-15,26.454041,74.6404656,WEST ZONE
BIKANER,35,32,37,67,104,105,97,87,43,49,165,147,151,130,136,NR,41,203,12,17,14,20,2023-06-15,28.0159286,73.3171367,WEST ZONE
BUNDI,42,31,35,63,115,97,99,90,39,58,168,137,133,131,178,NR,48,373,19,18,18,18,2023-06-15,,,
RAJSAMAND,36,30,31,68,118,102,98,80,41,60,176,144,125,127,144,NR,38,288,16,18,18,19,2023-06-15,,,
ALWAR,34,34,34,64,99,117,102,87,39,54,167,153,137,138,154,NR,38,306,16,15,17,16,2023-06-15,,,
BANSWARA,38,26,34,66,110,101,101,89,41,53,175,155,110,162,171,NR,46,363,23,21,18,24,2023-06-15,,,
BARAN,31,29,26,70,96,89,87,79,37,50,129,139,119,119,125,NR,37,200,11,8,19,17,2023-06-15,,,
BARMER,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
BHILWARA,44,31,35,67,116,101,97,87,42,51,193,178,133,168,183,135,43,292,20,28,38,30,2023-06-15,,,
CHHITORGARH,38,34,32,68,110,105,103,100,40,55,180,183,149,137,183,NR,48,320,19,15,15,15,2023-06-15,,,
CHURU,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
DHOLAPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
DUNGARPUR,39,30,33,63,116,118,115,113,44,55,198,179,NR,157,190,NR,53,325,29,25,25,29,2023-06-15,,,
HANUMANGARH,32,33,36,80,123,117,125,120,47,47,225,174,154,163,211,NR,43,363,17,23,21,29,2023-06-15,,,
JAISALMER,32,32,35,71,108,103,91,89,44,52,187,168,109,148,152,NR,43,254,18,22,25,20,2023-06-15,,,
JALORE,39,32,32,70,120,110,110,100,40,51,199,150,133,153,188,NR,41,263,22,26,27,28,2023-06-15,,,
JHALAWAR,39,24,28,67,117,102,94,86,42,49,182,150,123,123,168,NR,42,387,19,17,19,18,2023-06-15,,,
JHUNJHUNU,38,34,39,97,99,99,99,98,40,43,210,155,138,141,192,NR,38,207,17,17,17,26,2023-06-15,,,
KARAULI,38,24,30,60,100,100,110,80,40,NR,180,120,120,125,NR,NR,40,400,25,20,20,18,2023-06-15,,,
NAGAUR,31,31,34,64,105,105,83,86,38,51,159,164,115,161,NR,NR,41,308,14,18,19,22,2023-06-15,,,
PALI,59,30,29,68,119,119,98,99,39,57,NR,NR,NR,NR,NR,NR,37,275,17,29,29,17,2023-06-15,,,
RJ-PRATAPGARH,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
SIKAR,41,27,32,72,99,88,88,84,41,52,167,186,101,149,153,NR,34,307,21,22,13,27,2023-06-15,,,
SIROHI,39,33,36,66,122,121,105,105,40,51,200,169,135,163,191,NR,49,264,22,27,26,29,2023-06-15,,,
SRI GANGANAGAR,46,27,32,86,99,97,97,95,33,45,176,165,164,136,NR,NR,35,275,24,13,27,28,2023-06-15,,,
TONK,42,25,29,73,113,108,103,91,40,51,192,140,152,151,162,NR,47,277,14,18,21,18,2023-06-15,,,
SAWAI MADHOPUR,49,26,28,63,104,98,101,69,39,50,200,125,105,103,180,NR,38,280,24,13,21,17,2023-06-15,,,
PATNA,38,25,30,73,145,114,110,80,44,55,NR,110,116,116,145,112,44,280,26,20,20,24,2023-06-15,25.6093239,85.1235252,EAST ZONE
BHAGALPUR,37,27,34,71,137,105,107,84,44,56,NR,137,122,138,177,127,45,306,28,19,20,28,2023-06-15,25.286698,87.1322536,EAST ZONE
PURNIA,36,28,32,65,129,104,102,72,44,51,NR,124,109,114,NR,94,42,314,13,16,18,31,2023-06-15,26.0,87.5,EAST ZONE
DARBHANGA,36,24,38,66,120,102,105,74,43,46,NR,125,115,115,NR,105,44,195,15,18,18,21,2023-06-15,26.0831432,86.032571,EAST ZONE
GAYA,32,21,39,71,110,108,82,88,44,60,NR,150,146,155,169,133,43,361,20,20,25,35,2023-06-15,24.7964355,85.0079563,EAST ZONE
MUZZAFARPUR,39,23,29,69,141,111,106,73,42,55,NR,125,127,125,165,99,49,277,22,16,17,26,2023-06-15,26.1180626,85.3132056,EAST ZONE
SARAN,44,26,32,69,141,115,115,77,44,56,NR,126,130,118,NR,106,51,252,26,15,18,29,2023-06-15,25.9083549,84.7807476,EAST ZONE
MUNGER,33,25,33,75,119,118,117,79,42,55,NR,150,140,141,242,NR,43,257,27,18,18,28,2023-06-15,25.2208117,86.5172037,EAST ZONE
SAHARSA,38,28,35,64,110,97,95,77,42,50,NR,170,140,138,NR,NR,58,129,22,25,28,39,2023-06-15,25.8326416,86.6148928,EAST ZONE
MADHUBANI,37,25,31,67,128,107,107,75,43,52,151,128,119,119,152,99,48,280,16,19,20,34,2023-06-15,26.350072,86.2291469,EAST ZONE
ROHTAS (SASARAM),29,29,36,69,137,108,103,78,45,66,227,125,108,118,157,103,53,193,28,18,21,33,2023-06-15,24.9001003,84.0182111,EAST ZONE
MOTIHARI,37,26,28,65,100,100,97,83,42,55,168,159,138,135,137,128,42,278,18,15,20,22,2023-06-15,26.669512,84.9574106,EAST ZONE
SAMASTIPUR,45,25,29,65,102,98,97,75,43,54,165,142,110,140,159,98,48,309,18,16,18,17,2023-06-15,25.7744929,85.8662681,EAST ZONE
KATIHAR,34,24,27,63,115,106,97,72,42,52,NR,146,139,143,152,NR,46,310,19,18,24,27,2023-06-15,25.5609003,87.6476535,EAST ZONE
ARARIA,44,24,40,62,102,135,100,100,43,54,NR,138,145,145,201,145,49,351,21,19,19,44,2023-06-15,26.2649879,87.3716265,EAST ZONE
NAWADA,32,22,32,61,113,98,93,64,42,55,177,148,130,128,198,105,40,240,14,22,25,16,2023-06-15,24.818124,85.5185562,EAST ZONE
KHAGARIA,42,23,30,68,121,108,108,78,43,42,235,129,102,120,147,105,42,370,27,17,19,25,2023-06-15,25.4916868,86.6991085,EAST ZONE
BANKA,32,28,32,72,130,100,103,80,41,56,NR,134,112,130,177,107,41,205,14,15,20,14,2023-06-15,,,
ARWAL,31,23,29,67,127,107,107,76,42,50,NR,137,122,137,NR,107,41,277,25,15,19,29,2023-06-15,,,
AURANGABAD,30,23,30,71,107,100,103,75,44,56,230,153,140,153,215,147,43,187,25,15,21,23,2023-06-15,,,
BEGUSARAI,34,25,31,64,100,106,100,73,39,53,NR,126,121,119,NR,96,44,319,12,11,21,20,2023-06-15,,,
BHOJPUR ARA,44,24,28,71,137,109,107,69,47,55,247,149,165,150,218,NR,49,369,29,16,15,39,2023-06-15,,,
BUXAR,24,27,30,66,140,116,116,78,42,62,158,120,114,113,174,114,43,250,27,18,19,38,2023-06-15,,,
GOPALGANJ,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
JAMUI,35,29,33,66,124,109,108,71,45,57,NR,128,109,125,NR,118,39,254,29,16,15,20,2023-06-15,,,
JEHANABAD,33,29,34,71,141,114,109,79,42,53,NR,144,128,135,167,NR,47,232,28,16,20,33,2023-06-15,,,
KAIMUR,38,25,28,68,122,110,107,78,45,54,210,133,132,143,173,114,43,215,24,17,18,38,2023-06-15,,,
KISHANGANJ,34,23,35,70,120,112,100,85,40,57,NR,165,NR,157,185,140,51,312,27,14,15,20,2023-06-15,,,
LAKHISARAI,36,27,32,69,124,113,111,79,43,56,NR,141,124,134,NR,121,45,246,27,17,23,29,2023-06-15,,,
MEDHEPURA,39,28,34,71,135,109,115,81,45,55,NR,121,106,121,125,101,45,338,12,17,21,30,2023-06-15,,,
NALANDA,36,30,34,70,110,108,102,92,45,58,253,152,132,143,180,NR,52,368,24,11,20,20,2023-06-15,,,
SHEIKHPURA,37,26,33,69,125,108,109,82,42,55,NR,144,135,141,NR,NR,51,240,28,20,20,35,2023-06-15,,,
SHEOHAR,38,23,33,68,122,109,104,77,42,53,173,137,110,127,178,105,45,196,27,20,17,20,2023-06-15,,,
SITAMARHI,29,23,32,77,127,109,109,77,43,55,NR,131,117,144,183,143,41,300,28,17,17,22,2023-06-15,,,
SIWAN,33,26,30,62,136,92,109,71,43,54,192,118,98,110,190,79,43,206,25,15,16,22,2023-06-15,,,
SUPAUL,40,28,36,70,118,98,100,87,NR,NR,145,135,120,152,160,123,NR,NR,NR,NR,NR,NR,2023-06-15,,,
VAISHALI,35,26,29,65,142,110,105,67,42,60,142,106,107,115,175,96,48,210,25,10,19,14,2023-06-15,,,
WEST CHAMPARAN,44,25,39,77,123,125,101,101,42,50,170,156,170,147,207,123,47,292,16,16,19,15,2023-06-15,,,
RANCHI,42,35,30,65,132,106,104,75,42,56,210,121,103,94,114,90,50,240,27,20,20,30,2023-06-15,23.3700501,85.3250387,EAST ZONE
GUMLA,39,29,42,90,105,95,95,90,44,54,187,154,121,137,187,121,39,265,22,16,15,14,2023-06-15,23.0916741,84.5738481,EAST ZONE
SAHIBGANJ,37,29,36,74,140,100,110,91,42,55,200,155,123,178,NR,NR,50,390,20,16,25,48,2023-06-15,25.2820998,87.6185078,EAST ZONE
BOKARO,32,31,35,69,125,93,97,80,NR,NR,170,175,130,145,170,125,NR,NR,NR,20,18,25,2023-06-15,23.6991279,85.9910689,EAST ZONE
LOHARDAGA,28,25,34,68,121,101,103,74,43,56,NR,149,135,148,188,122,41,250,24,12,13,11,2023-06-15,23.4692006,84.7356842,EAST ZONE
SIMDEGA,35,NR,33,68,139,108,107,75,43,NR,NR,130,128,132,129,111,43,NR,27,15,16,30,2023-06-15,22.6664325,84.5502679,EAST ZONE
DHANBAD,36,30,32,70,145,115,110,80,44,59,210,128,110,125,135,112,45,250,25,16,20,22,2023-06-15,23.7952809,86.4309638,EAST ZONE
JAMSHEDPUR (EAST SINGBHUM),45,34,34,75,115,95,95,85,45,58,200,170,140,165,170,115,45,220,25,19,24,41,2023-06-15,22.80278,86.18545,EAST ZONE
GIRIDHI,32,28,31,85,95,105,108,94,42,55,NR,190,130,180,205,178,40,307,18,17,25,26,2023-06-15,24.1913,86.2996,EAST ZONE
SERAIKELLA,32,26,34,64,126,94,103,73,43,57,169,119,141,108,187,97,45,213,25,18,16,34,2023-06-15,,,
WEST SINGHBHUM,29,36,36,70,120,119,119,80,42,55,144,146,119,133,133,107,42,267,22,14,15,15,2023-06-15,,,
DALTONGANJ,36,28,31,87,109,98,96,94,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
DEOGHAR,33,33,36,70,115,104,100,88,43,60,210,163,150,154,170,102,43,262,30,16,19,18,2023-06-15,,,
RAMGARH,34,33,36,60,141,107,101,75,43,NR,NR,126,124,153,190,100,44,279,25,19,23,18,2023-06-15,,,
PAKUR,51,33,40,78,115,113,116,91,44,50,170,185,132,168,141,115,50,414,28,19,19,38,2023-06-15,,,
JAMTARA,34,27,32,66,139,105,105,80,45,62,130,130,104,135,155,105,44,367,28,16,21,15,2023-06-15,,,
LATEHAR,32,29,30,63,109,101,101,74,42,59,NR,121,139,127,150,98,43,245,28,18,14,19,2023-06-15,,,
GODDA,39,29,35,75,140,113,110,80,43,61,217,130,127,127,138,125,60,393,28,20,25,60,2023-06-15,,,
KODERMA,30,26,28,65,120,105,110,80,43,58,185,120,105,115,130,95,50,200,10,20,20,40,2023-06-15,,,
BHUBANESHWAR,30,36,38,69,141,112,100,80,44,52,NR,135,126,NR,115,93,50,227,25,20,20,47,2023-06-15,20.2602964,85.8394521,EAST ZONE
CUTTACK,38,37,39,71,146,121,103,78,45,52,NR,149,109,NR,119,105,53,250,27,19,19,37,2023-06-15,20.4686,85.8792,EAST ZONE
SAMBALPUR,34,38,42,66,134,103,96,72,45,52,NR,146,107,NR,119,105,43,247,28,18,18,19,2023-06-15,21.4706422,83.9836858,EAST ZONE
ROURKELA,31,37,40,66,140,105,103,73,43,52,NR,134,102,103,114,94,47,240,26,19,18,39,2023-06-15,22.2539994,84.857752,EAST ZONE
BERHAMPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,21.4930851,86.6327298,EAST ZONE
JEYPORE,35,35,32,68,140,110,109,80,45,52,NR,128,103,NR,120,98,48,210,27,21,21,40,2023-06-15,18.8989174,82.5590761,EAST ZONE
BALASORE,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,21.5017098,86.9216712,EAST ZONE
BARIPADA,30,45,34,71,138,109,96,75,44,52,160,120,105,160,117,95,53,230,25,18,22,40,2023-06-15,21.9297099,86.7316561,EAST ZONE
BALANGIR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,20.7497833,83.4409722,EAST ZONE
ANGUL,33,NR,39,68,135,100,100,76,44,54,NR,130,NR,NR,114,85,43,374,25,17,18,19,2023-06-15,,,
BOUDHGARH,30,NR,NR,82,127,108,110,83,NR,NR,NR,150,150,NR,125,105,NR,NR,NR,20,20,30,2023-06-15,,,
DHENKANAL,32,36,40,70,145,102,100,80,40,52,147,140,150,145,120,104,60,400,28,18,20,40,2023-06-15,,,
JAGATSINGHPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
KANDHAMAL,33,37,40,70,143,120,110,80,46,58,NR,147,133,NR,118,102,52,NR,27,19,20,43,2023-06-15,,,
KEONJHAR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
MALKANGIRI,45,NR,30,68,134,108,102,72,40,48,NR,127,93,NR,115,91,47,320,24,20,20,16,2023-06-15,,,
NABARANGPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
NAYAGARH,32,NR,40,68,120,110,105,89,42,52,NR,140,125,NR,121,90,50,NR,26,19,19,29,2023-06-15,,,
NUAPADA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
PARALAKHEMUNDI GAJAPATI,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
PURI,30,37,40,67,132,107,102,79,41,52,NR,135,124,NR,118,97,49,227,25,17,21,28,2023-06-15,,,
RAYAGADA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
SONEPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
BHADRAK,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
JHARSUGUDA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
KENDRAPARA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
JAJPUR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
KALAHANDI,33,36,42,96,125,81,115,82,43,48,195,149,149,171,141,104,54,330,28,19,21,29,2023-06-15,,,
KOLKATA,43,NR,34,69,134,110,111,100,44,51,NR,127,124,112,127,100,58,260,20,23,27,52,2023-06-15,22.5414185,88.3576912,EAST ZONE
SILIGURI,35,28,34,71,110,101,101,97,45,51,179,159,115,143,167,120,53,212,15,21,30,33,2023-06-15,26.7164127,88.4309916,EAST ZONE
PURULIA,28,NR,33,65,104,98,103,78,42,53,160,161,101,163,169,105,43,272,21,9,19,13,2023-06-15,23.032189,89.5911025,EAST ZONE
KHARAGPUR,46,31,36,67,142,109,115,100,44,54,190,130,100,103,130,100,60,238,27,20,26,30,2023-06-15,25.1331731,86.5250404,EAST ZONE
RAMPURHAT,46,24,33,75,117,105,117,105,45,56,190,140,115,127,135,97,55,300,19,16,20,32,2023-06-15,24.1763069,87.7859569,EAST ZONE
MALDA,43,25,37,74,129,109,109,124,43,44,NR,159,129,139,169,124,49,318,20,19,24,25,2023-06-15,25.0057449,88.1398483,EAST ZONE
RAIGANJ,39,31,36,72,123,126,108,101,42,42,180,138,97,139,155,108,52,255,10,13,18,35,2023-06-15,25.6806539,88.1246458,EAST ZONE
ALIPURDUAR,34,NR,44,110,123,107,110,118,42,54,NR,152,107,138,157,102,42,300,10,20,25,28,2023-06-15,,,
ASANSOL,48,NR,39,73,134,100,115,102,42,64,NR,116,105,105,127,100,44,300,26,20,20,32,2023-06-15,,,
BALURGHAT,45,28,35,73,146,122,110,102,43,48,NR,125,100,110,125,97,45,400,10,20,20,42,2023-06-15,,,
BANKURA,35,NR,34,65,118,112,137,110,45,55,242,140,123,122,145,106,43,283,26,20,28,39,2023-06-15,,,
BARASAT,39,37,41,74,114,NR,118,118,50,60,200,163,120,139,170,115,53,232,30,25,23,22,2023-06-15,,,
BARDHAMAN,47,NR,36,80,125,120,120,105,42,54,220,125,100,110,130,100,45,260,25,16,20,50,2023-06-15,,,
BARUIPUR,55,NR,35,73,95,97,145,102,43,55,NR,133,127,132,143,95,38,215,25,16,21,19,2023-06-15,,,
BERHAMPORE,48,27,43,76,129,109,120,113,42,58,250,144,107,133,152,104,44,220,13,18,15,21,2023-06-15,,,
CHINSURAH,42,NR,36,75,120,100,150,110,44,58,230,131,130,100,130,95,50,250,27,20,27,40,2023-06-15,,,
COOCH BEHAR,44,NR,37,73,117,115,105,103,42,60,NR,133,107,125,150,110,47,293,28,20,30,30,2023-06-15,,,
HOWRAH,49,NR,32,77,130,112,111,114,44,54,NR,125,125,115,131,NR,58,293,27,20,25,45,2023-06-15,,,
JALAPIGURI,49,28,43,75,120,110,105,108,43,56,NR,138,134,135,140,107,50,300,17,10,20,18,2023-06-15,,,
JHARGRAM,37,NR,34,79,128,112,112,88,44,54,NR,131,120,112,141,109,41,273,29,23,22,34,2023-06-15,,,
KALIMPONG,35,32,38,91,122,128,123,93,44,50,NR,161,105,152,166,NR,53,383,13,17,24,27,2023-06-15,,,
KRISHNAGAR,54,NR,44,76,138,129,140,131,76,73,191,130,143,149,190,98,100,395,23,25,23,42,2023-06-15,,,
TAMLUK,43,NR,43,77,120,110,140,111,44,56,NR,134,125,109,138,100,50,293,26,20,20,38,2023-06-15,,,
PORT BLAIR,44,40,67,80,142,130,118,93,52,73,NR,194,220,NR,154,123,69,325,20,40,40,67,2023-06-15,11.6645348,92.7390448,NORTH EAST ZONE
MAYABUNDER,39,NR,65,85,148,137,124,95,51,66,203,173,188,NR,131,114,68,315,18,40,40,70,2023-06-15,12.7701746,92.8313119,NORTH EAST ZONE
CAR NICOBAR,40,NR,66,90,140,150,140,130,55,68,246,240,194,NR,250,155,85,285,23,50,50,75,2023-06-15,,,
ITANAGAR,34,NR,40,90,130,120,120,90,55,72,NR,130,120,130,200,NR,NR,NR,15,20,40,40,2023-06-15,27.0979659,93.6237291,NORTH EAST ZONE
NAMSAI,23,NR,35,80,120,120,110,100,50,68,NR,190,220,163,225,NR,70,300,30,27,37,60,2023-06-15,,,
PASIGHAT,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
TAWANG,38,42,40,90,130,130,120,110,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
GUWAHATI,35,35,37,70,130,90,102,85,44,65,213,142,146,140,160,125,55,200,11,23,26,30,2023-06-15,26.1805978,91.753943,NORTH EAST ZONE
BARPETA,35,27,31,71,118,99,111,81,43,70,NR,162,154,169,111,140,45,205,12,20,30,34,2023-06-15,26.3414221,91.0167433,NORTH EAST ZONE
TINSUKIA,35,NR,34,70,140,94,108,80,45,72,NR,139,140,128,145,NR,58,178,11,18,25,NR,2023-06-15,27.5201658,95.5306347,NORTH EAST ZONE
DHUBRI,36,NR,35,68,125,120,100,95,45,70,NR,143,129,122,132,104,50,240,12,18,20,32,2023-06-15,,,
GOALPARA,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,2023-06-15,,,
GOLAGHAT,38,30,36,76,115,102,102,100,45,59,NR,163,163,171,177,166,66,265,12,19,25,15,2023-06-15,,,
MANGALDAI,39,33,40,69,109,95,102,100,43,70,NR,161,145,142,180,135,60,280,14,20,31,48,2023-06-15,,,
MUSHALPUR,39,34,34,74,110,NR,110,78,43,71,NR,150,142,170,164,105,46,210,10,19,31,31,2023-06-15,,,
UDALGURI,36,27,36,74,131,106,111,81,44,70,NR,136,143,142,154,106,50,258,20,21,29,35,2023-06-15,,,
BAJALI,65,NR,36,75,120,120,110,96,43,70,NR,160,NR,163,180,NR,60,400,10,24,25,20,2023-06-15,,,
HOJAI,31,NR,35,70,126,82,116,88,44,72,NR,118,100,113,127,102,58,200,10,19,25,20,2023-06-15,,,
JORHAT,46,28,45,75,139,92,113,107,47,72,233,149,157,135,166,110,61,213,13,22,24,33,2023-06-15,,,
BONGAIGAON,35,NR,31,70,115,95,109,105,41,72,NR,140,152,149,174,109,50,348,10,18,30,40,2023-06-15,,,
MORIGAON,35,NR,38,80,120,110,112,95,44,60,NR,155,140,148,153,110,60,243,10,20,30,23,2023-06-15,,,
SONARI,36,33,32,73,120,NR,108,97,44,72,NR,155,99,128,NR,NR,68,206,12,18,23,NR,2023-06-15,,,
TAMULPUR,37,34,35,76,114,81,111,84,45,67,NR,123,115,145,NR,105,56,285,10,17,21,20,2023-06-15,,,
SIVASAGAR,42,40,46,78,120,95,117,97,45,72,NR,160,175,150,170,NR,63,297,10,21,26,NR,2023-06-15,,,
BISWANATH CHARIALI,40,NR,32,76,121,NR,103,106,44,74,NR,143,140,175,175,NR,53,225,12,15,20,19,2023-06-15,,,
DIBRUGARH,45,NR,41,70,147,121,109,90,46,72,NR,137,140,121,140,NR,59,263,23,19,23,42,2023-06-15,,,
KARIMGANJ,33,NR,35,72,114,110,103,79,43,70,NR,139,133,102,147,104,53,239,14,22,24,31,2023-06-15,,,
MAJULI,44,NR,40,80,120,80,114,90,48,70,NR,143,160,157,NR,NR,58,243,15,15,25,37,2023-06-15,,,
SONITPUR TEZPUR,36,NR,35,69,119,108,110,99,42,69,226,156,172,142,171,NR,46,297,10,15,18,37,2023-06-15,,,
HAFLONG,40,NR,45,80,120,NR,110,110,50,72,NR,180,NR,170,200,NR,80,250,30,23,27,35,2023-06-15,,,
AS-LAKHIMPUR,36,NR,36,72,115,98,105,89,45,70,NR,135,115,110,141,NR,52,225,15,18,26,35,2023-06-15,,,
DIPHU,32,NR,35,82,140,130,120,85,46,72,NR,139,NR,141,178,110,69,265,15,20,30,27,2023-06-15,,,
