Zone,Div,Area,Location,Street,latitude,longitude
6,73, PULIANTHOPE,PULIANTHOPE,PULLIANTHOPE HIGH ROAD,13.0989521,80.26566338
6,73, PULIANTHOPE,PULIANTHOPE,PULLIANTHOPE HIGH ROAD,13.09855344,80.2670826
6,73, OTTERI,OTTERI,NEW FERRANCE ROAD,13.09931476,80.25532657
6,74, NAMMALWARPET,NAMMALWARPET,CHINNABABU STREET,13.0957475,80.24506654
6,74, KILPAUK,RANGANADHAPURAM,RANGANADHAPURM SLUM,13.09349925,80.24288596
6,74, KILPAUK,KILPAUK,MEDAVAKKAM 2ND STREET,13.0874039,80.24592946
6,74, KILPAUK,KILPAUK,MEDAVAKKAM TANK ROAD,13.08971922,80.24110893
6,75, OTTERI,OTTERI,VENKATAMMAL SAMATHI STREET,13.09150137,80.2532172
6,75, OTTERI,OTTERI,VENKATAMMAL SAMATHI STREET,13.09142755,80.25244195
6,75, OTTERI,S.S.PURAM SLUM,S.S.PURAM `A BLOCK 3RD STREET,13.09332738,80.25079386
6,76, CHOOLAI,CHOOLAI,ANGALAMMAN KOIL STREET,13.09579212,80.26240562
6,76, CHOOLAI,THATTANGULAM,MUNUSAMY STREET,13.09658829,80.26313631
6,76, KOSAPET,KOSAPET,DEVARAJ (M) STREET,13.09605822,80.2569753
6,76, KOSAPET,KOSAPET,SACHIDANANDAM  STREET (NEW STREET UPTO DOBIKHANA),13.09510831,80.257661
6,76, CHOOLAI,CHOOLAI,ANGALAMMAN KOIL STREET,13.09633779,80.2622806
6,76, CHOOLAI,CHOOLAI,ANGALAMMAN KOIL STREET,13.09497029,80.26252657
6,76, PATTALAM,PATTALAM,PERAMBUR BARRACKS ROAD (VEDA VINAYAGAR SALAI),13.09413197,80.25895337
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 1ST STREET,13.09441592,80.25897673
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 11TH STREET,13.09451868,80.26189495
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 13TH STREET,13.09450522,80.26227641
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 6TH STREET,13.09382935,80.26011863
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 6TH STREET,13.09392835,80.26037676
6,76, PATTALAM,K.M.GARDEN,KALYANA MASTRI GARDEN 6TH STREET,13.09397818,80.26090771
6,77, PULIANTHOPE,PULIANTHOPE,SIVA RAO ROAD,13.09871904,80.26273755
6,78, PURASAIWAKKAM,PURASAIWAKKAM,MUTHU (G) STREET,13.09275951,80.25665238
8,100, ANNA NAGAR,ANNA NAGAR,IIIRD AVENUE,13.07810105,80.21764007
8,100, ANNA NAGAR,ANNA NAGAR,7TH MAIN ROAD TNSCB TENEMENT ROAD,13.07923221,80.20432945
8,100, ANNA NAGAR,ANNA NAGAR,8TH MAIN ROAD,13.07848423,80.21212244
8,100, ANNA NAGAR,ANNA NAGAR,VITH  AVENUE,13.09247552,80.21052371
8,101, ANNA NAGAR,ANNA NAGAR,IIIRD AVENUE,13.07944449,80.21791437
8,101, ANNA NAGAR,ANNA NAGAR,3RD AVENUE,13.08858116,80.21825948
8,102, KILPAUK,KILPAUK,GUJJI MAIN ROAD,13.08885903,80.22999985
8,102, KILPAUK,KILPAUK,GUJJI MAIN ROAD,13.0900527,80.22828565
8,102, ANNA NAGAR EAST,G BLOCK,MAHATMA GANDHI ROAD,13.08619832,80.226961
8,102, ANNA NAGAR,SHENOY NAGAR (WEST),FIRST CROSS STREET (WEST),13.07680806,80.22346882
8,102, AMINJIKARAI,AMINJIKARAI,THIRUVEETHI AMMAN KOIL STREET MAIN ROAD,13.0744724,80.22430834
8,104, PURASAIWAKKAM,KILPAUK,MILLERS RD,13.08926096,80.25087793
8,104, PURASAIWAKKAM,KILPAUK,MILLERS RD,13.08938833,80.25087881
8,104, PURASAIWAKKAM,PURASAIWAKKAM,RAJA ANNAMALAI ROAD,13.08201416,80.25472232
8,104, PURASAIWAKKAM,PURASAIWAKKAM,PERUMAL STREET,13.08311052,80.25333304
8,104, PURASAIWAKKAM,NADAR COLONY,PERIYAR EVR I LANE,13.08020673,80.25106543
8,104, KILPAUK,KILPAUK,PULLAPURAM I STEET (MAIN ROAD),13.07725513,80.24690401
8,104, CHETPET,NEW BHOOPATHY NAGAR,NEW BHOOPATHY NAGAR SLUM MAIN ROAD,13.07483234,80.24372648
8,104, CHETPET,NEW BHOOPATHY NAGAR,NEW BHOOPATHY NAGAR SLUM MAIN ROAD,13.07469203,80.24268442
8,104, CHETPET,CHETPET,RAILWAY BORDER ROAD,13.07396115,80.24086808
8,104, PURASAIWAKKAM,PURASAIWAKKAM,SADASIVAM STREET,13.08747948,80.25154483
8,104, PURASAIWAKKAM,PURASAIWAKKAM,SUNDARAM LANE,13.08747071,80.25082725
8,104, PURASAIWAKKAM,KILPAUK,MILLERS RD,13.08757483,80.25083834
8,106, AMINJIKARAI,AMINJIKARAI,PERUMAL KOIL STREET,13.073583,80.22636036
8,106, AMINJIKARAI,MUTHIRULANDI COLONY,AMMAN KOIL STREET (MH COLONY,13.06836937,80.22184979
8,106, AMINJIKARAI,MUTHIRULANDI COLONY,MUTHIRULAND COLONY II MAIN ROAD,13.0678036,80.22211542
8,107, SHENOY NAGAR,SHENOY NAGAR,HARRINGTON ROAD,13.07278867,80.2316955
8,107, SHENOY NAGAR,SHENOY NAGAR,(AVVAIPURAM) SLUM ROAD,13.06876152,80.22894464
8,107, CHETPET,CHETPET,MC NICHOLS ROAD (ZONAL OFFICE SIDE),13.07355509,80.23976106
8,107, CHETPET,CHETPET,MC NICHOLS ROAD (ZONAL OFFICE SIDE),13.0735596,80.23983542
8,107, CHETPET,MANGALAPURAM,MANGALAPURAM MAIN ROAD,13.07241021,80.246
8,107, CHETPET,CHETPET,RAILWAY BORDER ROAD,13.07396556,80.24086515
8,107, CHETPET,SRINIVASA NAGAR,MAYAR SATHIYAMOORTHY SALAI,13.07417616,80.25187555
8,107, CHETPET,AYANAVARAM,MAYAR RAMANATHAN SALAI,13.07161708,80.24902696
8,108, CHOOLAIMEDU,CHOOLAIMEDU,ANNANEDUMPATHAI,13.06575947,80.2226094
8,94, VILLIVAKKAM,VILLIVAKKAM,NORTH JAGANATHAN NAGAR 3RD MAIN ROAD,13.1129043,80.20048342
8,94, VILLIVAKKAM,HIGHCOURT COLONY,ANNAI SATHIYA NAGAR,13.1031389,80.19762055
8,95, ANNA NAGAR WEST,I BLOCK SHANTHI COLONY,18TH MAIN ROAD,13.09494598,80.1990338
8,95, VILLIVAKKAM,VILLIVAKKAM,NEW AVADI ROAD,13.09876171,80.21381052
8,96, AYANAVARAM,KONNUR HIGH ROAD,KONNUR HIGH ROAD,13.09935123,80.22354025
8,96, AYANAVARAM,KONNUR HIGH ROAD,KONNUR HIGH ROAD,13.10013846,80.22793816
8,96, AYANAVARAM,KALAIGNAR KARUNANIDHI NAGAR,KALAIGNAR KARUNANIDHI NAGAR 5TH   STREET,13.09789856,80.23184435
