Month ,Type,City,Rate
2023-07-04,19 Kg,Mumbai,1733.5
2023-07-01,19 Kg,Chennai,1945.00
2023-07-01,19 Kg,Delhi,1773.00
2023-07-01,19 Kg,Kolkata,1895.50
2023-07-01,19 Kg,Mumbai,1733.5
2023-06-01,19 Kg,Chennai,1937.00
2023-06-01,19 Kg,Delhi,1773.00
2023-06-01,19 Kg,Kolkata,1875.50
2023-06-01,19 Kg,Mumbai,1725.0
2023-05-01,19 Kg,Chennai,2021.50
2023-05-01,19 Kg,Delhi,1856.50
2023-05-01,19 Kg,Kolkata,1960.50
2023-05-01,19 Kg,Mumbai,1808.5
2023-04-01,19 Kg,Chennai,2192.50
2023-04-01,19 Kg,Delhi,2028.00
2023-04-01,19 Kg,Kolkata,2132.00
2023-04-01,19 Kg,Mumbai,1980.0
2023-03-01,19 Kg,Chennai,2268.00
2023-03-01,19 Kg,Delhi,2119.50
2023-03-01,19 Kg,Kolkata,2221.50
2023-03-01,19 Kg,Mumbai,2071.5
2023-02-01,19 Kg,Chennai,1917.00
2023-02-01,19 Kg,Delhi,1769.00
2023-02-01,19 Kg,Kolkata,1869.50
2023-02-01,19 Kg,Mumbai,1721.0
2023-01-01,19 Kg,Chennai,1917.00
2023-01-01,19 Kg,Delhi,1769.00
2023-01-01,19 Kg,Kolkata,1869.50
2023-01-01,19 Kg,Mumbai,1721.0
2022-12-01,19 Kg,Chennai,1891.50
2022-12-01,19 Kg,Delhi,1744.00
2022-12-01,19 Kg,Kolkata,1845.50
2022-12-01,19 Kg,Mumbai,1696.0
2022-11-01,19 Kg,Chennai,1893.00
2022-11-01,19 Kg,Delhi,1744.00
2022-11-01,19 Kg,Kolkata,1846.00
2022-11-01,19 Kg,Mumbai,1696.0
2022-10-01,19 Kg,Chennai,2009.50
2022-10-01,19 Kg,Delhi,1859.50
2022-10-01,19 Kg,Kolkata,1959.00
2022-10-01,19 Kg,Mumbai,1811.5
2022-09-01,19 Kg,Chennai,2045.00
2022-09-01,19 Kg,Delhi,1885.00
2022-09-01,19 Kg,Kolkata,1995.50
2022-09-01,19 Kg,Mumbai,1844.0
2022-08-01,19 Kg,Chennai,2141.00
2022-08-01,19 Kg,Delhi,1976.50
2022-08-01,19 Kg,Kolkata,2095.50
2022-08-01,19 Kg,Mumbai,1936.5
2022-07-06,19 Kg,Chennai,2177.50
2022-07-06,19 Kg,Delhi,2012.50
2022-07-06,19 Kg,Kolkata,2132.00
2022-07-06,19 Kg,Mumbai,1972.5
2022-07-01,19 Kg,Chennai,2186.00
2022-07-01,19 Kg,Delhi,2021.00
2022-07-01,19 Kg,Kolkata,2140.00
2022-07-01,19 Kg,Mumbai,1981.0
2022-06-01,19 Kg,Chennai,2373.00
2022-06-01,19 Kg,Delhi,2219.00
2022-06-01,19 Kg,Kolkata,2322.00
2022-06-01,19 Kg,Mumbai,2171.5
2022-05-19,19 Kg,Chennai,2507.00
2022-05-19,19 Kg,Delhi,2354.00
2022-05-19,19 Kg,Kolkata,2454.00
2022-05-19,19 Kg,Mumbai,2306.0
2022-05-07,19 Kg,Chennai,2499.00
2022-05-07,19 Kg,Delhi,2346.00
2022-05-07,14.2 Kg,Delhi ,999.5
2022-05-07,19 Kg,Kolkata,2445.50
2022-05-07,14.2 Kg,Kolkata ,1026.0
2022-05-07,19 Kg,Mumbai,2297.5
2022-05-07,14.2 Kg,Mumbai ,999.5
2022-05-01,19 Kg,Chennai,2508.00
2022-05-01,19 Kg,Delhi,2355.50
2022-05-01,19 Kg,Delhi ,2355.5
2022-05-01,19 Kg,Kolkata,2455.00
2022-05-01,19 Kg,Kolkata ,2455.0
2022-05-01,19 Kg,Mumbai,2307.0
2022-05-01,19 Kg,Mumbai ,2307.0
2022-04-01,19 Kg,Chennai,2406.00
2022-04-01,19 Kg,Delhi,2253.00
2022-04-01,19 Kg,Delhi ,2253.0
2022-04-01,19 Kg,Kolkata,2351.50
2022-04-01,19 Kg,Kolkata ,2351.5
2022-04-01,19 Kg,Mumbai,2205.0
2022-04-01,19 Kg,Mumbai ,2205.0
2022-03-22,19 Kg,Chennai,2137.50
2022-03-22,19 Kg,Delhi,2003.50
2022-03-22,19 Kg,Delhi ,2003.5
2022-03-22,19 Kg,Kolkata,2087.00
2022-03-22,19 Kg,Kolkata ,2087.0
2022-03-22,19 Kg,Mumbai,1954.5
2022-03-22,19 Kg,Mumbai ,1954.5
2022-03-01,19 Kg,Chennai,2145.50
2022-03-01,19 Kg,Delhi,2012.00
2022-03-01,19 Kg,Delhi ,2012.0
2022-03-01,19 Kg,Kolkata,2095.00
2022-03-01,19 Kg,Kolkata ,2095.0
2022-03-01,19 Kg,Mumbai,1963.0
2022-03-01,19 Kg,Mumbai ,1963.0
2022-02-01,19 Kg,Chennai,2040.00
2022-02-01,19 Kg,Delhi,1907.00
2022-02-01,19 Kg,Delhi ,1907.0
2022-02-01,19 Kg,Kolkata,1987.00
2022-02-01,19 Kg,Kolkata ,1987.0
2022-02-01,19 Kg,Mumbai,1857.0
2022-02-01,19 Kg,Mumbai ,1857.0
2022-01-01,19 Kg,Chennai,2131.00
2022-01-01,19 Kg,Delhi,1998.50
2022-01-01,19 Kg,Delhi ,1998.5
2022-01-01,19 Kg,Kolkata,2076.00
2022-01-01,19 Kg,Kolkata ,2076.0
2022-01-01,19 Kg,Mumbai,1948.5
2022-01-01,19 Kg,Mumbai ,1948.5
2021-12-01,19 Kg,Chennai,2234.50
2021-12-01,19 Kg,Delhi,2101.00
2021-12-01,19 Kg,Delhi ,2101.0
2021-12-01,19 Kg,Kolkata,2177.00
2021-12-01,19 Kg,Kolkata ,2177.0
2021-12-01,19 Kg,Mumbai,2051.0
2021-12-01,19 Kg,Mumbai ,2051.0
2021-11-01,19 Kg,Chennai,2133.00
2021-11-01,19 Kg,Delhi,2000.50
2021-11-01,19 Kg,Delhi ,2000.5
2021-11-01,19 Kg,Kolkata,2073.50
2021-11-01,19 Kg,Kolkata ,2073.5
2021-11-01,19 Kg,Mumbai,1950.0
2021-11-01,19 Kg,Mumbai ,1950.0
2021-10-06,19 Kg,Chennai,1865.00
2021-10-06,19 Kg,Delhi,1734.00
2021-10-06,19 Kg,Delhi ,1734.0
2021-10-06,19 Kg,Kolkata,1803.00
2021-10-06,19 Kg,Kolkata ,1803.0
2021-10-06,19 Kg,Mumbai,1683.0
2021-10-06,19 Kg,Mumbai ,1683.0
2021-10-01,19 Kg,Chennai,1867.50
2021-10-01,19 Kg,Delhi,1736.50
2021-10-01,19 Kg,Delhi ,1736.5
2021-10-01,19 Kg,Kolkata,1805.50
2021-10-01,19 Kg,Kolkata ,1805.5
2021-10-01,19 Kg,Mumbai,1685.0
2021-10-01,19 Kg,Mumbai ,1685.0
2021-09-01,19 Kg,Chennai,1831.00
2021-09-01,19 Kg,Delhi,1693.00
2021-09-01,19 Kg,Delhi ,1693.0
2021-09-01,19 Kg,Kolkata,1770.50
2021-09-01,19 Kg,Kolkata ,1770.5
