Zone,Div,Location,Type,Address,latitude,longitude
11,148, Kamarajar Salai ,UPHC," Kamarajar High Rd, Periyar Nagar, Dhanalakshmi Nagar, Mettukuppam, Chennai 600 095",13.055512,80.184072
11,153, Shakthinagar ,UPHC,"  Sakthi Nagar Main Road, Porur, Chennai 600 116",13.03684812,80.16975979
11,154, Ramapuram ,UPHC," Bajanai Koil Street, Ramapuram, Chennai 600 089",13.035022,80.173908
12,156, Mugalivakkam  ,UPHC,"Padasalai St, Opp Panchayat Office, Mugalivakkam, Chennai 600 125",13.02122904,80.16698055
12,160, Alandur ,UPHC," No.12,Appavoo street, Alandur, Chennai 600 016",13.00321944,80.20646616
12,162, Pazhavanthangal ,UPHC," No.2,new colony,II cross st, Pazhavanthangal,Chennai 600 114.",12.98816199,80.21415164
12,163, Adambakkam 1 ,UPHC," Mannadiamman koil street, Adambakkam,Chennai 600 088",12.99415743,80.20359601
12,166, Nanganallur ,UPHC," K.K.Nagar main road, Chennai 600 114",12.974467,80.181604
13,170, Ekatuthangal  ,UPHC,"No.46,south face road, Guindy industrial estate, Ekkattuthangal, Chennai 600 032 ",13.017859,80.20578
13,171, Kanammapet ,UPHC," No.1,Hospital road,Kanammapet, Chennai 600 017",13.02995023,80.2261539
13,172, Kotturpuram ,UPHC," No.23, Dhandayudhapani 2nd Street, Chennai 600 085",13.0229947,80.2402407
13,173, Mandaveli ,UPHC," No.10, Velayutham Raja st (D), Mandaveli, Chennai 600 028",13.02395011,80.26484203
13,174, VHS  ,UPHC,"No.7, five fuerlong road, maduvankarai, Chennai 600 032",12.99941082,80.21437186
13,176, Adyar ,UPHC," No.1, 1st Avenue, Besant Nagar, Chennai 600 090",13.001099,80.26359
13,177, Sastri nagar ,UPHC," No.4, Sasthri Nagar, Adambakkam, Chennai 600 088",12.98908975,80.20524486
13,177, Adambakkam ,UPHC,"  No.153, TNHB 3rd st, Adambakkam, Chennai",12.99155134,80.21206924
13,179, Velachery ,UPHC,"  No.2 Seva nagar, Gandhi road,Velachery, Chennai 600 042",12.9863037,80.229941
13,180, SRKV ,UPHC," Sri Ramakrishna Vivekananda, No.72/144, LB Road, Opp. Thiyagaraja Theatre, Tiruvanmiyur, Chennai 600 041",12.98296411,80.23674913
4,35,Kodungaiyur I,UPHC,"No.15, Anna Salai, kodungaiyur, Chennai - 600 118",13.130689,80.258365
13,182, Thiruvanmiyur ,UPHC," No 2,8th st,Kamaraj nagar, Thiruvanmiyur, Chennai 600 041",12.98483459,80.25712955
14,169, Puzhuthivakkam ,UPHC," No.3.Raghavan street,Puzhuthivakkam, Chennai 600 091",12.97133367,80.20059822
14,185, Palavakkam  ,UPHC,"East coast road, Palavakkam, Chennai 600 041",12.96457313,80.25352403
14,188, Madipakkam  ,UPHC,"Kulakkarai St, Madipakkam, Near Bus Stand, Chennai 600 091",12.96249546,80.20054674
14,190, Pallikaranai ,UPHC,"  No.1 Thulukanathamman Main Road, Panchayat Office ,Pallikaranai Chennai 600 100",12.93331138,80.20401843
14,191, Jalladayanpet ,UPHC," No.1, Thiruvalluvar Street, Pudhu Nagar, Jalladayanpet, Perumbakkam Main Road, Chennai 600 100 ( Near Vidhya Mat. School)",12.912397,80.196558
15,192, Neelangarai ,UPHC," No.2/5, Kalaingar Karunanithi Main St, Kabaliswar Nagar, Neelangarai Chennai 600 115",12.94986263,80.25590549
