City,Incidents,Type of road,Injury
DHANBAD,49,State Highways,Cases
DHANBAD,28,State Highways,Injured
DHANBAD,26,State Highways,Died
DHANBAD,0,Expressways,Cases
DHANBAD,0,Expressways,Injured
DHANBAD,0,Expressways,Died
DHANBAD,3095,Other Roads,Cases
DHANBAD,2569,Other Roads,Injured
DHANBAD,881,Other Roads,Died
DURG BHILAINAGAR,146,National Highways,Cases
DURG BHILAINAGAR,114,National Highways,Injured
DURG BHILAINAGAR,33,National Highways,Died
DURG BHILAINAGAR,71,State Highways,Cases
DURG BHILAINAGAR,52,State Highways,Injured
DURG BHILAINAGAR,19,State Highways,Died
DURG BHILAINAGAR,0,Expressways,Cases
DURG BHILAINAGAR,0,Expressways,Injured
DURG BHILAINAGAR,0,Expressways,Died
DURG BHILAINAGAR,22,Other Roads,Cases
DURG BHILAINAGAR,16,Other Roads,Injured
DURG BHILAINAGAR,11,Other Roads,Died
FARIDABAD,121,National Highways,Cases
FARIDABAD,100,National Highways,Injured
FARIDABAD,60,National Highways,Died
FARIDABAD,0,State Highways,Cases
FARIDABAD,0,State Highways,Injured
FARIDABAD,0,State Highways,Died
FARIDABAD,9,Expressways,Cases
FARIDABAD,4,Expressways,Injured
FARIDABAD,8,Expressways,Died
FARIDABAD,386,Other Roads,Cases
FARIDABAD,372,Other Roads,Injured
FARIDABAD,17,Other Roads,Died
GHAZIABAD,52,National Highways,Cases
GHAZIABAD,5,National Highways,Injured
GHAZIABAD,55,National Highways,Died
GHAZIABAD,16,State Highways,Cases
GHAZIABAD,2,State Highways,Injured
GHAZIABAD,17,State Highways,Died
GHAZIABAD,7,Expressways,Cases
GHAZIABAD,1,Expressways,Injured
GHAZIABAD,7,Expressways,Died
GHAZIABAD,394,Other Roads,Cases
GHAZIABAD,317,Other Roads,Injured
GHAZIABAD,162,Other Roads,Died
GWALIOR,207,National Highways,Cases
GWALIOR,173,National Highways,Injured
GWALIOR,47,National Highways,Died
GWALIOR,0,State Highways,Cases
GWALIOR,0,State Highways,Injured
GWALIOR,0,State Highways,Died
GWALIOR,0,Expressways,Cases
GWALIOR,0,Expressways,Injured
GWALIOR,0,Expressways,Died
GWALIOR,79,Other Roads,Cases
GWALIOR,10,Other Roads,Injured
GWALIOR,85,Other Roads,Died
HYDERABAD,369,National Highways,Cases
HYDERABAD,298,National Highways,Injured
HYDERABAD,64,National Highways,Died
HYDERABAD,129,State Highways,Cases
HYDERABAD,117,State Highways,Injured
HYDERABAD,17,State Highways,Died
HYDERABAD,0,Expressways,Cases
HYDERABAD,0,Expressways,Injured
HYDERABAD,0,Expressways,Died
HYDERABAD,806,Other Roads,Cases
HYDERABAD,787,Other Roads,Injured
HYDERABAD,83,Other Roads,Died
INDORE,238,National Highways,Cases
INDORE,282,National Highways,Injured
INDORE,54,National Highways,Died
INDORE,231,State Highways,Cases
INDORE,225,State Highways,Injured
INDORE,36,State Highways,Died
INDORE,0,Expressways,Cases
INDORE,0,Expressways,Injured
INDORE,0,Expressways,Died
INDORE,1566,Other Roads,Cases
INDORE,1477,Other Roads,Injured
INDORE,173,Other Roads,Died
JABALPUR,432,National Highways,Cases
JABALPUR,407,National Highways,Injured
JABALPUR,102,National Highways,Died
JABALPUR,302,State Highways,Cases
JABALPUR,312,State Highways,Injured
JABALPUR,23,State Highways,Died
JABALPUR,0,Expressways,Cases
JABALPUR,0,Expressways,Injured
JABALPUR,0,Expressways,Died
JABALPUR,1632,Other Roads,Cases
JABALPUR,1288,Other Roads,Injured
JABALPUR,123,Other Roads,Died
JAIPUR,535,National Highways,Cases
JAIPUR,453,National Highways,Injured
JAIPUR,212,National Highways,Died
JAIPUR,84,State Highways,Cases
JAIPUR,62,State Highways,Injured
JAIPUR,29,State Highways,Died
JAIPUR,44,Expressways,Cases
JAIPUR,34,Expressways,Injured
JAIPUR,28,Expressways,Died
JAIPUR,1182,Other Roads,Cases
JAIPUR,1190,Other Roads,Injured
JAIPUR,107,Other Roads,Died
JAMSHEDPUR,0,National Highways,Cases
JAMSHEDPUR,0,National Highways,Injured
JAMSHEDPUR,0,National Highways,Died
JAMSHEDPUR,54,State Highways,Cases
JAMSHEDPUR,24,State Highways,Injured
JAMSHEDPUR,19,State Highways,Died
JAMSHEDPUR,0,Expressways,Cases
JAMSHEDPUR,0,Expressways,Injured
JAMSHEDPUR,0,Expressways,Died
JAMSHEDPUR,1277,Other Roads,Cases
JAMSHEDPUR,1017,Other Roads,Injured
JAMSHEDPUR,337,Other Roads,Died
JODHPUR,150,National Highways,Cases
JODHPUR,99,National Highways,Injured
JODHPUR,88,National Highways,Died
JODHPUR,49,State Highways,Cases
JODHPUR,30,State Highways,Injured
JODHPUR,23,State Highways,Died
JODHPUR,0,Expressways,Cases
JODHPUR,0,Expressways,Injured
JODHPUR,0,Expressways,Died
JODHPUR,65,Other Roads,Cases
JODHPUR,67,Other Roads,Injured
JODHPUR,28,Other Roads,Died
KANNUR,156,National Highways,Cases
KANNUR,164,National Highways,Injured
KANNUR,16,National Highways,Died
KANNUR,94,State Highways,Cases
KANNUR,118,State Highways,Injured
KANNUR,17,State Highways,Died
KANNUR,0,Expressways,Cases
KANNUR,0,Expressways,Injured
KANNUR,0,Expressways,Died
KANNUR,282,Other Roads,Cases
KANNUR,216,Other Roads,Injured
KANNUR,95,Other Roads,Died
KANPUR,69,National Highways,Cases
KANPUR,38,National Highways,Injured
KANPUR,69,National Highways,Died
KANPUR,182,State Highways,Cases
KANPUR,119,State Highways,Injured
KANPUR,181,State Highways,Died
KANPUR,41,Expressways,Cases
KANPUR,20,Expressways,Injured
KANPUR,42,Expressways,Died
KANPUR,254,Other Roads,Cases
KANPUR,291,Other Roads,Injured
KANPUR,24,Other Roads,Died
KOCHI,330,National Highways,Cases
KOCHI,282,National Highways,Injured
KOCHI,20,National Highways,Died
KOCHI,225,State Highways,Cases
KOCHI,192,State Highways,Injured
KOCHI,19,State Highways,Died
KOCHI,0,Expressways,Cases
KOCHI,0,Expressways,Injured
KOCHI,0,Expressways,Died
KOCHI,126,Other Roads,Cases
KOCHI,74,Other Roads,Injured
KOCHI,124,Other Roads,Died
KOLKATA,16,National Highways,Cases
KOLKATA,0,National Highways,Injured
KOLKATA,16,National Highways,Died
KOLKATA,11,State Highways,Cases
KOLKATA,5,State Highways,Injured
KOLKATA,6,State Highways,Died
KOLKATA,0,Expressways,Cases
KOLKATA,0,Expressways,Injured
KOLKATA,0,Expressways,Died
KOLKATA,805,Other Roads,Cases
KOLKATA,932,Other Roads,Injured
KOLKATA,62,Other Roads,Died
KOLLAM,757,National Highways,Cases
KOLLAM,763,National Highways,Injured
