Date,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Month,Year
2010-01-01,22.222222222222232,18.518518518518512,10.000000000000009,5.307321166351997,74.34715821812597,68.6250257678829,88.26135105204872,,74.60317460317458,16.666666666666675,12.797167425391986,-12.685622194083113,-3.0732860520094607,0.0,-6.451612903225811,16.666666666666675,,25.69316081330868,9.090909090909083,84.12698412698411,13.315696649029963,33.33333333333333,1,2009
2010-02-01,21.111111111111125,22.222222222222232,12.749999999999995,-3.0303030303030276,30.427046263345183,47.336065573770504,66.01642710472278,,95.78454332552691,16.666666666666675,17.279124315871776,-12.143290831815424,-2.4390243902439046,0.0,-7.6612903225806495,14.861111111111125,,21.071428571428562,9.090909090909083,34.00000000000001,5.780346820809257,-25.555555555555554,2,2010
2010-03-01,11.111111111111116,18.71345029239766,14.999999999999991,-5.882352941176472,12.794918330308525,38.377192982456144,65.79481157254192,,58.73780561242923,16.666666666666675,20.96635030198446,-15.268046276682423,-2.2083510663451045,0.0,-7.166123778501632,15.515125261713948,,18.045112781954884,9.090909090909083,1.2145748987854255,-13.354815610454708,-60.67755595886267,3,2010
2010-04-01,8.108108108108114,16.666666666666675,11.5,-5.882352941176472,19.83240223463687,39.93288590604027,77.69999999999999,,41.11111111111112,16.666666666666675,17.983870967741943,-13.718487394957979,-1.7857142857142905,0.0,-3.362068965517251,6.794871794871793,,-5.309734513274334,9.090909090909083,-8.285714285714285,-9.090909090909093,-0.7142857142857117,4,2010
2010-05-01,5.263157894736836,12.777777777777777,10.000000000000009,-5.882352941176472,16.129032258064523,43.75,68.25688073394495,,24.329896907216497,16.666666666666675,12.947448591012956,-7.823129251700678,-4.82758620689655,0.0,4.859813084112141,-8.743169398907103,,-15.789473684210531,2.564102564102577,-4.444444444444439,6.000000000000005,70.0,5,2010
2010-06-01,5.263157894736836,16.666666666666675,10.250569476082006,-5.882352941176472,15.874177029992698,53.40314136125652,64.7829647829648,,19.669117647058833,16.666666666666675,20.749479528105486,-6.2987012987012925,3.7398373983739797,0.0,10.962566844919785,-2.892561983471076,,-16.52173913043479,0.0,-6.363636363636371,9.090909090909083,52.40641711229947,6,2010
2010-07-01,5.263157894736836,19.196717771539618,17.966830466830473,-5.698949291914124,-0.177600177600179,37.460815047021946,41.85055496828751,,15.397923875432529,16.666666666666675,30.022334902812986,-4.10116199589885,6.972851008079206,0.0,15.146217418944685,-1.0663292969456006,,-17.24137931034483,0.0,-13.636363636363635,0.0,53.55113636363635,7,2010
2010-08-01,6.297348484848486,15.789473684210531,17.04545454545454,-5.8171745152354575,-20.535521485640253,18.90243902439026,15.75211575211577,,3.409090909090895,16.666666666666675,42.2799422799423,6.818181818181834,8.777997364953883,0.0,32.00757575757576,15.043290043290058,,-17.525773195876294,0.0,-15.340909090909093,18.560606060606055,-18.181818181818176,8,2010
2010-09-01,-2.3255813953488413,15.789473684210531,18.0952380952381,-0.48754424631002324,-21.750625826231264,22.219791438780724,14.56282359804566,,-7.8540507111935725,10.236220472440948,38.83146556413881,5.3221288515406195,7.873474299467076,0.0,34.62301587301588,15.75963718820863,,-20.066611157368865,0.0,-20.726672171758885,65.07936507936508,14.28571428571428,9,2010
2010-10-01,-2.7272727272727337,18.157894736842106,17.249999999999986,-3.6800000000000055,-25.653594771241828,14.273504273504267,-0.8333333333333415,,-7.109004739336489,0.0,41.55555555555554,4.926470588235277,11.851851851851848,0.0,23.803191489361698,28.074074074074073,,-22.580645161290324,0.0,-40.88414634146341,7.187500000000013,12.916666666666664,10,2010
2010-11-01,5.769230769230771,9.523809523809534,17.359413202933993,0.5555555555555536,-33.47685683530679,-12.926829268292671,-23.842999414176912,-30.060422960725084,-7.922272047832591,0.0,30.670685757347414,10.625470987189157,23.163841807909602,0.0,26.998223801065734,40.312093628088434,,-23.688394276629566,0.0,-25.66964285714286,26.694915254237284,-14.999999999999991,11,2010
2010-12-01,0.0,12.121212121212132,12.249443207126953,5.555555555555558,-33.26271186440678,-11.485534727489421,-23.29359976258778,-32.35294117647059,-5.080213903743314,0.0,16.8193717277487,7.419053549190546,28.11004784688995,0.0,26.959247648902828,38.87272727272728,,-23.41437632135306,6.818181818181812,-20.45454545454546,58.56643356643356,45.45454545454546,12,2010
2011-01-01,0.0,12.5,4.784688995215314,5.976095617529897,-25.68687688383957,-11.497876721142708,-18.885448916408677,-32.04334365325078,-13.444976076555015,0.0,10.313901345291487,5.207646671061306,31.996148908857514,0.0,29.401088929219597,45.488721804511286,,-23.529411764705888,16.666666666666675,-28.300816696914698,66.43456891255377,39.25438596491227,1,2010
2011-02-01,0.917431192660545,9.090909090909083,1.9955654101995624,13.095238095238093,-2.419760178071373,-5.424200278164126,-12.248152849656602,-26.470588235294112,-26.59279778393351,0.0,8.771929824561408,8.100243698395971,38.01169590643274,0.0,33.67042059296714,50.44867307325145,,-23.303834808259584,16.666666666666675,6.4414768263943545,-6.241012366983034,-9.269442262372362,2,2011
